type,label,website,hostname,level
government_agency,"Embassy of France, Kabul",https://af.ambafrance.org/,af.ambafrance.org,central
government_agency,"Embassy of Germany, Kabul",https://afghanistan.diplo.de/,afghanistan.diplo.de,central
government_agency,Afghan Independent Human Rights Commission,https://www.aihrc.org.af,aihrc.org.af,
university,Afghan International Islamic University,https://aiiu.edu.af/,aiiu.edu.af,university
university,Afghanistan Public Policy Research Organization,http://www.appro.org.af/,appro.org.af,university
university,Asas Medical University,https://asas.edu.af/,asas.edu.af,university
university,Afghanistan Technical Vocational Institute,http://atvi.edu.af,atvi.edu.af,university
university,Alberoni University,http://au.afghanistan.af/en,au.afghanistan.af,university
university,American University of Afghanistan,http://www.auaf.edu.af/,auaf.edu.af,university
university,Balkh University,http://ba.edu.af/en,ba.edu.af,university
university,Bakhtar Institute of Higher Education,http://www.bakhtar.edu.af/,bakhtar.edu.af,university
university,Bamiyan University,http://bu.edu.af,bu.edu.af,university
university,Dawat University,http://www.dawat.edu.af/,dawat.edu.af,university
university,Afghanistan Institute Of Higher Education,http://www.dis.af/,dis.af,university
government_agency,Delegation of the European Union to Afghanistan,https://www.eeas.europa.eu/delegations/afghanistan_en,eeas.europa.eu,
government_agency,World Health Organization - Afghanistan,http://www.emro.who.int/countries/afg/index.html,emro.who.int,
government_agency,"Embassy of Finland, Kabul",https://finlandabroad.fi/web/afg,finlandabroad.fi,central
university,Ghazni University,http://gu.edu.af/en,gu.edu.af,university
university,Herat University,http://hu.edu.af,hu.edu.af,university
university,Jami University,https://jami.edu.af,jami.edu.af,university
university,Saripul University,https://ju.edu.af,ju.edu.af,university
university,Kardan Institute of Higher Education,http://www.kardan.edu.af/,kardan.edu.af,university
university,Higher Education Institute of Karwan,http://www.karwan.edu.af/,karwan.edu.af,university
university,Kandahar University,https://kdru.edu.af,kdru.edu.af,university
university,Kabul Education University,http://keu.edu.af/,keu.edu.af,university
university,Khurasan University,http://www.khurasan.org/,khurasan.org,university
university,Kabul University of Medical Sciences,http://www.kmu.edu.af/,kmu.edu.af,university
university,Kabul Polytechnic University,http://kpu.edu.af/en,kpu.edu.af,university
university,Kabul University,http://www.ku.edu.af/,ku.edu.af,university
university,Kabul University,https://www.ku.edu.af/dr,ku.edu.af,university
university,Kabul University,https://www.ku.edu.af/ps,ku.edu.af,university
university,Kunduz University,http://kundoz.edu.af,kundoz.edu.af,university
government_agency,embassy of Bulgaria in Afghanistan,https://www.mfa.bg/embassies/afghanistan,mfa.bg,central
university,Mili University,https://www.mili.edu.af,mili.edu.af,university
government_agency,embassy of the Czech republic in Afghanistan,https://www.mzv.cz/kabul,mzv.cz,central
government_agency,"Embassy of the Netherlands, Kabul",https://www.nederlandwereldwijd.nl/landen/afghanistan/over-ons/ambassade-in-kabul,nederlandwereldwijd.nl,central
university,National Military Academy of Afghanistan,http://www.nmaa.edu.af,nmaa.edu.af,university
government_agency,"Embassy of Norway, Kabul",https://www.norway.no/afghanistan,norway.no,central
university,Noman Sadat University,https://www.nsu.edu.af,nsu.edu.af,university
university,Nangarhar University,https://nu.edu.af/,nu.edu.af,university
government_agency,"Embassy of Pakistan, Kabul",https://www.pakembassykabul.org,pakembassykabul.org,central
supreme_court,National Assembly of Afghanistan,http://www.parliament.af,parliament.af,central
parliament,National Assembly of Afghanistan,http://www.parliament.af,parliament.af,central
university,Paktia University,http://www.pu.edu.af/,pu.edu.af,university
university,Rana University,http://ru.edu.af,ru.edu.af,university
university,Salam University,http://www.salam.edu.af/,salam.edu.af,university
university,Sharq University,http://sharq.edu.af/,sharq.edu.af,university
university,"Spinghar Institute of Higher Education, Kabul",https://spingharkabul.edu.af/,spingharkabul.edu.af,university
university,Spinghar Institute of Higher Education,https://spingharuniversity.edu.af/,spingharuniversity.edu.af,university
government_agency,"Embassy of Sweden, Kabul",https://www.swedenabroad.se/sv/utlandsmyndigheter/afghanistan-kabul/,swedenabroad.se,central
university,Tabesh University,https://tabesh.edu.af,tabesh.edu.af,university
university,Takhar University,http://www.tu.edu.af/,tu.edu.af,university
government_agency,UNESCO office Afghanistan,http://www.unesco.org/new/en/kabul/,unesco.org,
