subdomain,http_status
angotic.gov.ao,"Could not resolve host: angotic.gov.ao"
cccc.gov.ao,"Could not resolve host: cccc.gov.ao"
cuanzanorte.gov.ao,"Could not resolve host: cuanzanorte.gov.ao"
culturaemb.gov.ao,"Could not resolve host: culturaemb.gov.ao"
desenvolvimento.gov.ao,"Could not resolve host: desenvolvimento.gov.ao"
angola-portal.gov.ao,"Could not resolve host: angola-portal.gov.ao"
agt.gov.ao,"Could not resolve host: agt.gov.ao"
bn.gov.ao,"Could not resolve host: bn.gov.ao"
clese.gov.ao,"Could not resolve host: clese.gov.ao"
dinam.gov.ao,"Could not resolve host: dinam.gov.ao"
cdn.sepe.gov.ao,"Could not resolve host: cdn.sepe.gov.ao"
autodiscover.ine.gov.ao,"Failed to connect to autodiscover.ine.gov.ao port 443 after 445 ms: Could not connect to server"
autodiscover.mintrans.gov.ao,"Failed to connect to autodiscover.mintrans.gov.ao port 443 after 439 ms: Could not connect to server"
cpanel.gov.ao,"Could not resolve host: cpanel.gov.ao"
cpanel.bienaldeluanda.gov.ao,"Could not resolve host: cpanel.bienaldeluanda.gov.ao"
cpanel.luis.gov.ao,"Could not resolve host: cpanel.luis.gov.ao"
dinfa.gov.ao,"Could not resolve host: dinfa.gov.ao"
dndac.gov.ao,"Could not resolve host: dndac.gov.ao"
csst.gov.ao,"Failed to connect to csst.gov.ao port 443 after 397 ms: Could not connect to server"
aipex.gov.ao,"Failed to connect to aipex.gov.ao port 443 after 506 ms: Could not connect to server"
distritodetalatona.gov.ao,"Could not resolve host: distritodetalatona.gov.ao"
egti.gov.ao,"Could not resolve host: egti.gov.ao"
angola-info.gov.ao,"Could not resolve host: angola-info.gov.ao"
ctn.gov.ao,"Could not resolve host: ctn.gov.ao"
biga.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'biga.gov.ao'"
autodiscover.minjusdh.gov.ao,"Could not resolve host: autodiscover.minjusdh.gov.ao"
bne.gov.ao,"Could not resolve host: bne.gov.ao"
boletiminformativo.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'boletiminformativo.gov.ao'"
