subdomain,mx
100vjet.bashkiakorce.gov.al,none
absa.gov.al,none
admin.drshdurres.gov.al,none
admin.qnk.gov.al,none
administrata.gov.al,none
akad.gov.al,none
akbn.gov.al,none
akce.gov.al,none
akreditim.dpa.gov.al,none
akshi.gov.al,10 akshi-gov-al.mail.protection.outlook.com.
albadentgroup.srd.gov.al,none
albarchive.gov.al,none
albis.justice.gov.al,none
amf.gov.al,none
amvv.qeverisjavendore.gov.al,none
app.gov.al,10 app-gov-al.mail.protection.outlook.com.
aqtn.gov.al,none
arrsh.gov.al,10 arrsh-gov-al.mail.protection.outlook.com.; 32767 ms60537004.msv1.invalid.
ars.qkev.gov.al,none
arsimi.gov.al,none
asd.gov.al,none
ashr.gov.al,none
asp.gov.al,none
ata.gov.al,none
atelie.shkodrarinore.gov.al,none
atk-kredi.gov.al,none
atrako.gov.al,none
autodiscover.absa.gov.al,none
autodiscover.app.gov.al,none
autodiscover.asd.gov.al,none
autodiscover.bashkiacerrik.gov.al,none
autodiscover.bashkiadelvine.gov.al,none
autodiscover.bashkiadevoll.gov.al,none
autodiscover.bashkiadivjake.gov.al,none
autodiscover.bashkiadropull.gov.al,none
autodiscover.bashkiafushearrez.gov.al,none
autodiscover.bashkiahas.gov.al,none
autodiscover.bashkiakelcyre.gov.al,none
autodiscover.bashkiaklos.gov.al,none
autodiscover.bashkiakonispol.gov.al,none
autodiscover.bashkiakorce.gov.al,none
autodiscover.bashkialibohove.gov.al,none
autodiscover.bashkialibrazhd.gov.al,none
autodiscover.bashkiamalesiemadhe.gov.al,none
autodiscover.bashkiapatos.gov.al,none
autodiscover.bashkiaprrenjas.gov.al,none
autodiscover.bashkiapuke.gov.al,none
autodiscover.bashkiapustec.gov.al,none
autodiscover.bashkiaroskovec.gov.al,none
autodiscover.bashkiaskrapar.gov.al,none
autodiscover.dhkn.gov.al,none
autodiscover.dpm.gov.al,none
autodiscover.dpttv.gov.al,none
autodiscover.drshdurres.gov.al,none
autodiscover.drshkukes.gov.al,none
autodiscover.dshtd.gov.al,none
autodiscover.instat.gov.al,none
autodiscover.iqt.gov.al,none
autodiscover.ishp.gov.al,none
autodiscover.iskk.gov.al,none
autodiscover.issh.gov.al,none
autodiscover.kolonja.gov.al,none
autodiscover.kruja.gov.al,none
autodiscover.kshnj.gov.al,none
autodiscover.mail.gov.al,none
autodiscover.memaliaj.gov.al,none
autodiscover.newsletter.ata.gov.al,none
autodiscover.peqini.gov.al,none
autodiscover.polican.gov.al,none
autodiscover.prefektidurres.gov.al,none
autodiscover.prefektielbasan.gov.al,none
autodiscover.prespanationalpark.gov.al,none
autodiscover.qarkufier.gov.al,none
autodiscover.qarkushkoder.gov.al,none
autodiscover.qarkutirane.gov.al,none
autodiscover.qeverisjavendore.gov.al,none
autodiscover.qnk.gov.al,none
autodiscover.shijak.gov.al,none
autodiscover.srd.gov.al,none
autodiscover.sre.gov.al,none
autodiscover.srsh.gov.al,none
autodiscover.tirana.gov.al,none
avokatipopullit.gov.al,10 avokatipopullit-gov-al.mail.protection.outlook.com.
avokaturashtetit.gov.al,none
awp.moi.gov.al,none
azhr1.gov.al,none
azrt.gov.al,none
bashkiacerrik.gov.al,10 mail.bashkiacerrik.gov.al.
bashkiadelvine.gov.al,none
bashkiadevoll.gov.al,none
bashkiadivjake.gov.al,none
bashkiadropull.gov.al,none
bashkiafushearrez.gov.al,none
bashkiagramsh.gov.al,10 bashkiagramsh-gov-al.mail.protection.outlook.com.
bashkiahas.gov.al,none
bashkiakelcyre.gov.al,none
bashkiaklos.gov.al,none
bashkiakonispol.gov.al,none
bashkiakorce.gov.al,none
bashkiakurbin.gov.al,none
bashkialibohove.gov.al,none
bashkialibrazhd.gov.al,none
bashkiamalesiemadhe.gov.al,0 mail.bashkiamalesiemadhe.gov.al.
bashkiamaliq.gov.al,none
bashkiamallakaster.gov.al,none
bashkiamat.gov.al,0 mail.bashkiamat.gov.al.
bashkiamirdite.gov.al,none
bashkiapatos.gov.al,0 mail.bashkiapatos.gov.al.
bashkiapermet.gov.al,50 mx3.zoho.eu.; 10 mx.zoho.eu.; 20 mx2.zoho.eu.
bashkiaprrenjas.gov.al,none
bashkiapuke.gov.al,0 _dc-mx.8f1aecf082d7.bashkiapuke.gov.al.
bashkiapustec.gov.al,none
bashkiaroskovec.gov.al,none
bashkiaskrapar.gov.al,none
bfiniq.gov.al,32767 bfiniq-gov-al.mail.protection.outlook.com.
biomedical.gov.al,none
blog.drshdurres.gov.al,none
blog.qnk.gov.al,none
blogs.drshdurres.gov.al,none
blogs.qnk.gov.al,none
botem.gov.al,none
bujqesia.gov.al,none
canada.gov.al,none
cats.tatime.gov.al,none
cesk.gov.al,10 cesk-gov-al.mail.protection.outlook.com.
cfcu.financa.gov.al,none
cirt.gov.al,none
claims.amf.gov.al,none
cpanel.absa.gov.al,none
cpanel.aku.gov.al,none
cpanel.asd.gov.al,none
cpanel.azhr1.gov.al,none
cpanel.bashkiacerrik.gov.al,none
cpanel.bashkiadelvine.gov.al,none
cpanel.bashkiadevoll.gov.al,none
cpanel.bashkiadivjake.gov.al,none
cpanel.bashkiadropull.gov.al,none
cpanel.bashkiafushearrez.gov.al,none
cpanel.bashkiahas.gov.al,none
cpanel.bashkiakelcyre.gov.al,none
cpanel.bashkiaklos.gov.al,none
cpanel.bashkiakonispol.gov.al,none
cpanel.bashkiakorce.gov.al,none
cpanel.bashkialibohove.gov.al,none
cpanel.bashkialibrazhd.gov.al,none
cpanel.bashkiamalesiemadhe.gov.al,none
cpanel.bashkiamallakaster.gov.al,none
cpanel.bashkiamat.gov.al,none
cpanel.bashkiamirdite.gov.al,none
cpanel.bashkiapatos.gov.al,none
cpanel.bashkiaprrenjas.gov.al,none
cpanel.bashkiapuke.gov.al,none
cpanel.bashkiapustec.gov.al,none
