hostname,score,sources,label,level
adpolice.gov.ae,8,wikidata;wikidata,Abu Dhabi Police,
almajles.gov.ae,8,wikidata;wikidata,Federal National Council,central
economy.gov.ae,8,wikidata;wikidata,Ministry of Economy,central
moe.gov.ae,8,wikidata;wikidata,Ministry of Education,central
mof.gov.ae,8,wikidata;wikidata,Ministry of Finance,
mofaic.gov.ae,8,wikidata;wikidata;wikidata;wikidata,Ministry of Foreign Affairs of the UAE | Ministry of Foreign Affairs and International Cooperation,central
moh.gov.ae,8,wikidata;wikidata,Ministry of Health and Prevention,central
mohesr.gov.ae,8,wikidata;wikidata,Ministry of Higher Education and Scientific Research,central
nma.gov.ae,8,wikidata;wikidata,National Media Authority,
space.gov.ae,8,wikidata;wikidata,United Arab Emirates Space Agency,
wam.ae,7,wikidata;wikidata,Emirates News Agency,
government.ae,6,un_desa,UN/DESA national portal,
vae.ahk.de,6,wikidata;wikidata,German Emirati Joint Council for Industry and Commerce,
adafsa.gov.ae,5,wikidata,Abu Dhabi Agriculture and Food Safety Authority,
adfca.gov.ae,5,wikidata,Family Care Authority,
ajmanpolice.gov.ae,5,wikidata,Ajman Police Force,
dewa.gov.ae,5,wikidata,Dubai Electricity and Water Authority,
dha.gov.ae,5,wikidata,Dubai Health Authority,
dubaipolice.gov.ae,5,wikidata,Dubai Police Force,
emi.qcc.gov.ae,5,wikidata,Emirates Metrology Institute,
etcc.gov.ae,5,wikidata,Q138571897,
fanr.gov.ae,5,wikidata,Federal Authority for Nuclear Regulation,
fcsa.gov.ae,5,wikidata,Federal Competitiveness and Statistics Authority,central
fcsc.gov.ae,5,wikidata,Federal Competitiveness and Statistics Centre,
icp.gov.ae,5,wikidata,"Federal Authority for Identity, Citizenship, Customs and Port Security",
mfnca.gov.ae,5,wikidata,"Ministry of State for Federal National Council Affairs, United Arab Emirates",central
moi.gov.ae,5,wikidata,Ministry of the Interior,
qcc.gov.ae,5,wikidata,Abu Dhabi Quality and Conformity Council,
sca.gov.ae,5,wikidata,Capital Market Authority,
sdc.gov.ae,5,wikidata,Sharjah Department of Culture,
uaecma.gov.ae,5,wikidata,Capital Market Authority,
adach.ae,4,wikidata,UAE Public Library and Cultural Center,
ae.usembassy.gov,4,wikidata,embassy of the United States in the United Arab Emirates,central
alc.ae,4,wikidata,Q125497794,
angolaembassy.ae,4,wikidata,embassy of Angola in the United Arab Emirates,central
bhmc.ae,4,wikidata,embassy of Bosnia and Herzegovina in the United Arab Emirates,central
centralbank.ae,4,wikidata,Central Bank of the United Arab Emirates,
emiratespost.ae,4,wikidata,Emirates Post,
esma.ae,4,wikidata,Emirates Authority for Standardization and Metrology,
maldivesembassy.ae,4,wikidata,"Embassy of Maldives, Abu Dhabi",central
nla.ae,4,wikidata,National Library and Archives (UAE),
nrf.ae,4,wikidata,National Research Foundation,
pakistanconsulate.ae,4,wikidata,"Consulate-General of Pakistan, Dubai",
rta.ae,4,wikidata,Roads and Transport Authority,
saa.shj.ae,4,wikidata,Sharjah Archaeology Authority,
vnembassy-abudhabi.mofa.gov.v,4,wikidata,"Embassy of the Vietnam, UAE",
zho.ae,4,wikidata,Zayed Higher Organization for Humanitarian Care and Special Needs,
abudhabi.mae.lu,3,wikidata,embassy of Luxembourg in the United Arab Emirates,central
abudhabi.mae.ro,3,wikidata,"Embassy of Romania, Abu Dhabi",central
abudhabi.mfa.ee,3,wikidata,embassy of Estonia in Abu Dhabi,central
ae.ambafrance.org,3,wikidata,"Embassy of France, Abu Dhabi",central
ambasadat.net,3,wikidata,"Embassy of Kosovo, Abu Dhabi",central
citibnq.com,3,wikidata,Capital Market Authority,
dubai.consulfrance.org,3,wikidata,Consulate General of France in Dubai,
dubai.diplo.de,3,wikidata,"Consulate General of Germany, Dubai",
eeas.europa.eu,3,wikidata,Delegation of the European Union to United Arab Emirates,
embassy-algeria-uae.com,3,wikidata,"Embassy of Algeria, Abu Dhabi",central
embcr-uae.org,3,wikidata,embassy of Costa Rica in the United Arab Emirates,central
fae.um.dk,3,wikidata,embassy of Denmark in the United Arab Emirates,central
finlandabroad.fi,3,wikidata,embassy of Finland in the United Arab Emirates,central
frenchwam.com,3,wikidata,Emirates News Agency,
gcatholic.org,3,wikidata,Apostolic Nunciature to United Arab Emirates,central
mfa.gr,3,wikidata,embassy of Greece in the United Arab Emirates,central
moccae.gov.ae,3,wikidata;wikidata;wikidata;wikidata,Ministry of Climate Change and Environment,
mzv.cz,3,wikidata,embassy of the Czech republic in the United Arab Emirates,central
mzv.sk,3,wikidata,embassy of Slovakia in the United Arab Emirates,central
norway.no,3,wikidata,Embassy of Norway in the United Arab Emirates,central
pakistanembassyuae.org,3,wikidata,"Embassy of Pakistan, Abu Dhabi",central
roc-taiwan.org,3,wikidata,Commercial Office of Taipei to Dubai,
swedenabroad.se,3,wikidata,"Embassy of Sweden, Abu Dhabi",central
uae.diplo.de,3,wikidata,"Embassy of Germany, Abu Dhabi",central
uae.mfa.lt,3,wikidata,embassy of Lithuania in the United Arab Emirates,central
uae.mid.ru,3,wikidata,embassy of Russia in the United Arab Emirates,central
