type,label,website,hostname,level
government_agency,embassy of Luxembourg in the United Arab Emirates,https://abudhabi.mae.lu,abudhabi.mae.lu,central
government_agency,"Embassy of Romania, Abu Dhabi",http://abudhabi.mae.ro,abudhabi.mae.ro,central
government_agency,embassy of Estonia in Abu Dhabi,https://abudhabi.mfa.ee/,abudhabi.mfa.ee,central
government_agency,UAE Public Library and Cultural Center,http://www.adach.ae/en,adach.ae,
government_agency,Abu Dhabi Agriculture and Food Safety Authority,https://www.adafsa.gov.ae,adafsa.gov.ae,
government_agency,Family Care Authority,https://adfca.gov.ae/,adfca.gov.ae,
government_agency,Abu Dhabi Police,https://www.adpolice.gov.ae/en,adpolice.gov.ae,
government_agency,Abu Dhabi Police,http://www.adpolice.gov.ae/,adpolice.gov.ae,
government_agency,"Embassy of France, Abu Dhabi",https://ae.ambafrance.org/,ae.ambafrance.org,central
government_agency,embassy of the United States in the United Arab Emirates,https://ae.usembassy.gov,ae.usembassy.gov,central
government_agency,Ajman Police Force,https://www.ajmanpolice.gov.ae/portal/,ajmanpolice.gov.ae,
government_agency,Q125497794,https://alc.ae/ar,alc.ae,
supreme_court,Federal National Council,https://www.almajles.gov.ae,almajles.gov.ae,central
parliament,Federal National Council,https://www.almajles.gov.ae,almajles.gov.ae,central
government_agency,"Embassy of Kosovo, Abu Dhabi",https://ambasadat.net/eba/,ambasadat.net,central
government_agency,embassy of Angola in the United Arab Emirates,https://angolaembassy.ae,angolaembassy.ae,central
government_agency,embassy of Bosnia and Herzegovina in the United Arab Emirates,https://bhmc.ae,bhmc.ae,central
government_agency,Central Bank of the United Arab Emirates,https://www.centralbank.ae/en,centralbank.ae,
government_agency,Capital Market Authority,https://citibnq.com/,citibnq.com,
government_agency,Department of Economic Development - Dubai,https://ded.ae/,ded.ae,central-1
government_agency,Dubai Electricity and Water Authority,https://www.dewa.gov.ae/,dewa.gov.ae,
government_agency,Dubai Health Authority,https://www.dha.gov.ae/,dha.gov.ae,
government_agency,Dubai Municipality,https://www.dm.gov.ae/,dm.gov.ae,central-1
government_agency,Consulate General of France in Dubai,https://dubai.consulfrance.org/,dubai.consulfrance.org,
government_agency,"Consulate General of Germany, Dubai",https://dubai.diplo.de/,dubai.diplo.de,
government_agency,Department of Economic Development - Dubai,http://www.dubaided.gov.ae/Arabic/Pages/default.aspx,dubaided.gov.ae,central-1
government_agency,Dubai Police Force,https://www.dubaipolice.gov.ae/,dubaipolice.gov.ae,
government_agency,Environment Agency Abu Dhabi,https://www.ead.ae/,ead.ae,central-1
ministry,Ministry of Economy,https://www.economy.gov.ae/english/Pages/default.aspx,economy.gov.ae,central
government_agency,Ministry of Economy,https://www.economy.gov.ae/english/Pages/default.aspx,economy.gov.ae,central
government_agency,Delegation of the European Union to United Arab Emirates,https://eeas.europa.eu/delegations/united-arab-emirates_en,eeas.europa.eu,
government_agency,"Embassy of Algeria, Abu Dhabi",http://www.embassy-algeria-uae.com/,embassy-algeria-uae.com,central
government_agency,embassy of Costa Rica in the United Arab Emirates,http://embcr-uae.org,embcr-uae.org,central
government_agency,Emirates Metrology Institute,https://emi.qcc.gov.ae,emi.qcc.gov.ae,
government_agency,Emirates Post,https://emiratespost.ae/,emiratespost.ae,
government_agency,Emirates Authority for Standardization and Metrology,http://www.esma.ae,esma.ae,
government_agency,Q138571897,https://www.etcc.gov.ae,etcc.gov.ae,
government_agency,embassy of Denmark in the United Arab Emirates,https://fae.um.dk,fae.um.dk,central
government_agency,Federal Authority for Nuclear Regulation,https://www.fanr.gov.ae/en,fanr.gov.ae,
government_agency,Federal Competitiveness and Statistics Authority,http://fcsa.gov.ae/,fcsa.gov.ae,central
government_agency,Federal Competitiveness and Statistics Centre,https://fcsc.gov.ae/,fcsc.gov.ae,
government_agency,embassy of Finland in the United Arab Emirates,https://finlandabroad.fi/web/are,finlandabroad.fi,central
government_agency,Emirates News Agency,http://www.frenchwam.com/,frenchwam.com,
government_agency,Apostolic Nunciature to United Arab Emirates,http://www.gcatholic.org/dioceses/nunciature/nunc191.htm,gcatholic.org,central
government_agency,Human Resources Authority,https://www.hra.ae,hra.ae,central-1
government_agency,"Federal Authority for Identity, Citizenship, Customs and Port Security",https://icp.gov.ae/en/,icp.gov.ae,
government_agency,"Embassy of Maldives, Abu Dhabi",https://maldivesembassy.ae/,maldivesembassy.ae,central
government_agency,embassy of Greece in the United Arab Emirates,https://www.mfa.gr/missionsabroad/uae.html,mfa.gr,central
government_agency,"Ministry of State for Federal National Council Affairs, United Arab Emirates",http://www.mfnca.gov.ae,mfnca.gov.ae,central
government_agency,Ministry of Climate Change and Environment,https://www.moccae.gov.ae/en,moccae.gov.ae,
ministry,Ministry of Climate Change and Environment,https://www.moccae.gov.ae/ar,moccae.gov.ae,
ministry,Ministry of Climate Change and Environment,https://www.moccae.gov.ae/en,moccae.gov.ae,
government_agency,Ministry of Climate Change and Environment,https://www.moccae.gov.ae/ar,moccae.gov.ae,
government_agency,Ministry of Education,https://www.moe.gov.ae/en/,moe.gov.ae,central
ministry,Ministry of Education,https://www.moe.gov.ae/en/,moe.gov.ae,central
ministry,Ministry of Finance,https://www.mof.gov.ae/en,mof.gov.ae,
government_agency,Ministry of Finance,https://www.mof.gov.ae/en,mof.gov.ae,
ministry,Ministry of Foreign Affairs of the UAE,https://www.mofaic.gov.ae/,mofaic.gov.ae,central
government_agency,Ministry of Foreign Affairs and International Cooperation,https://www.mofaic.gov.ae/,mofaic.gov.ae,central
ministry,Ministry of Foreign Affairs and International Cooperation,https://www.mofaic.gov.ae/,mofaic.gov.ae,central
government_agency,Ministry of Foreign Affairs of the UAE,https://www.mofaic.gov.ae/,mofaic.gov.ae,central
