domain,level,name
147pilar.gob.ar,local,Línea 147 de la Municipalidad del Pilar (Buenos Aires)
abc.gob.ar,central-1,Dirección General de Cultura y Educación (Provincia de Buenos Aires)
agcba.gob.ar,central-1,Auditoría General de la Ciudad de Buenos Aires
agip.gob.ar,central-1,Administración Gubernamental de Ingresos Públicos (CABA)
alpacorral.gob.ar,local,Municipalidad de Alpa Corral (Córdoba)
alumine.gob.ar,local,Municipalidad de Aluminé (Neuquén)
apos.gob.ar,central-1,Administración Provincial de Obra Social (La Rioja)
armstrong.gob.ar,local,Municipalidad de Armstrong (Santa Fe)
asip.gob.ar,central-1,Agencia Santacruceña de Ingresos Públicos (Santa Cruz)
atalivaroca.gob.ar,local,Comisión de Fomento de Ataliva Roca (La Pampa)
ater.gob.ar,central-1,Administradora Tributaria de Entre Ríos
atm.gob.ar,central-1,Administración Tributaria Mendoza
avellaneda.gob.ar,local,Municipalidad de Avellaneda (Buenos Aires)
bahia.gob.ar,local,Municipalidad de Bahía Blanca (Buenos Aires)
bahiablanca.gob.ar,local,Municipalidad de Bahia Blanca (Buenos Aires)
bahiaemprende.gob.ar,local,Bahía Emprende - Municipalidad de Bahía Blanca (Buenos Aires)
baldissera.gob.ar,local,Municipalidad de General Baldissera (Córdoba)
barilocheturismo.gob.ar,local,Turismo de San Carlos de Bariloche (Río Negro)
bellaitalia.gob.ar,local,Comuna de Bella Italia (Santa Fe)
bialetmasse.gob.ar,local,Municipalidad de Bialet Massé (Córdoba)
bovril.gob.ar,local,Municipalidad de Bovril (Entre Ríos)
buenosaires.gob.ar,central-1,Ciudad Autónoma de Buenos Aires
buenosairescompras.gob.ar,central-1,Buenos Aires Compras - portal de compras del Gobierno de la Ciudad de Buenos Aires
cabalango.gob.ar,local,Comuna de Cabalango (Córdoba)
cafesg.gob.ar,central-1,Comisión Administradora para el Fondo Especial de Salto Grande (Entre Ríos)
camiloaldao.gob.ar,local,Municipalidad de Camilo Aldao (Córdoba)
campana.gob.ar,local,Municipalidad de Campana (Buenos Aires)
campogrande.gob.ar,local,Municipalidad de Campo Grande
canuelas.gob.ar,local,Municipalidad de Cañuelas (Buenos Aires)
catamarca.gob.ar,central-1,Provincia de Catamarca
cba.gob.ar,central-1,Provincia de Córdoba
cesba.gob.ar,central-1,Consejo Económico y Social de la Ciudad de Buenos Aires
chaco.gob.ar,central-1,Provincia del Chaco
chubut.gob.ar,central-1,Provincia del Chubut
cipolletti.gob.ar,local,Municipalidad de Cipolletti (Río Negro)
ciudadmalvinas.gob.ar,local,Municipalidad de Malvinas Argentinas
coloniapellegrini.gob.ar,local,Municipalidad de Colonia Carlos Pellegrini (Corrientes)
complejoteatral.gob.ar,central-1,Complejo Teatral de Buenos Aires (Gobierno de la Ciudad de Buenos Aires)
comunadealejandra.gob.ar,local,Comuna de Alejandra (Santa Fe)
comunadepilar.gob.ar,local,Comuna de Pilar (Santa Fe)
comunicaciontucuman.gob.ar,central-1,Secretaría de Comunicación Pública (Tucumán)
concejocdg.gob.ar,local,Concejo Municipal de Cañada de Gómez (Santa Fe)
concejoreconquista.gob.ar,local,Concejo Municipal de Reconquista (Santa Fe)
concejovillamaria.gob.ar,local,Concejo Deliberante de Villa María (Córdoba)
concordia.gob.ar,local,Municipalidad de Concordia (Entre Ríos)
conquistadores.gob.ar,local,Municipalidad de Los Conquistadores (Entre Ríos)
cordoba.gob.ar,local,Municipalidad de Córdoba
coronda.gob.ar,local,Municipalidad de Coronda (Santa Fe)
corrientes.gob.ar,central-1,Provincia de Corrientes
corrientesexporta.gob.ar,central-1,Corrientes Exporta (Gobierno de Corrientes)
corrientesprensa.gob.ar,central-1,Prensa del Gobierno de Corrientes
corrientesturismo.gob.ar,central-1,Turismo de la Provincia de Corrientes
cruzdelosmilagros.gob.ar,local,Municipalidad de Cruz de los Milagros (Corrientes)
cuestablanca.gob.ar,local,Comuna de Cuesta Blanca (Córdoba)
dalmaciovelez.gob.ar,local,Municipalidad de Dalmacio Vélez (Córdoba)
defensoriabariloche.gob.ar,local,Defensoría del Pueblo de San Carlos de Bariloche (Río Negro)
defensoriaformosa.gob.ar,central-1,Defensoría del Pueblo de Formosa
defensoriatucuman.gob.ar,central-1,Defensoría del Pueblo de Tucumán
