qid,label
Q44754,Buenos Aires Province
Q44756,Catamarca Province
Q44757,Chaco Province
Q44758,Corrientes Province
Q44759,Córdoba Province
Q44761,Formosa Province
Q44762,Entre Ríos Province
Q44764,Jujuy Province
Q44795,La Pampa Province
Q44796,La Rioja Province
Q44797,Mendoza Province
Q44798,Misiones Province
Q44800,Neuquén Province
Q44802,Río Negro Province
Q44803,Salta Province
Q44805,San Juan Province
Q44818,San Luis Province
Q44821,Santa Cruz Province
Q44823,Santa Fe Province
Q44827,Santiago del Estero Province
Q44829,Tucumán Province
Q44832,"Tierra del Fuego, Antarctica and South Atlantic Islands Province"
Q45007,Chubut Province
