subdomain,parent_domain,http_status,mx
147pilar.gob.ar,gob.ar,Could not resolve host: 147pilar.gob.ar,none
2015.defensoriaformosa.gob.ar,gob.ar,301,none
2015elecciones.gob.ar,gob.ar,Could not resolve host: 2015elecciones.gob.ar,none
abc.gob.ar,gob.ar,TLS connect error: error:0A00018A:SSL routines::dh key too small,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 0 aspmx.l.google.com.
accesible.corrientesprensa.gob.ar,gob.ar,Could not resolve host: accesible.corrientesprensa.gob.ar,none
acn.afip.gob.ar,gob.ar,Could not resolve host: acn.afip.gob.ar,none
acraiz.gob.ar,gob.ar,403,10 mail.sgp.gov.ar.
acumar.sgp.gob.ar,gob.ar,Resolving timed out after 3000 milliseconds,none
ad.sintys.gob.ar,gob.ar,Could not resolve host: ad.sintys.gob.ar,none
administracion.aftic.gob.ar,gob.ar,Could not resolve host: administracion.aftic.gob.ar,none
administracion.correo.gna.gob.ar,gob.ar,Could not resolve host: administracion.correo.gna.gob.ar,none
administraciontest.aftic.gob.ar,gob.ar,Could not resolve host: administraciontest.aftic.gob.ar,none
afi.gob.ar,gob.ar,Operation timed out after 3001 milliseconds with 0 bytes received,10 relay1.side.gob.ar.
afsca.gob.ar,gob.ar,Could not resolve host: afsca.gob.ar,none
aftic.gob.ar,gob.ar,Could not resolve host: aftic.gob.ar,none
agcba.gob.ar,gob.ar,SSL certificate problem: unable to get local issuer certificate,0 agcba-gob-ar.mail.protection.outlook.com.
agendadigital.gob.ar,gob.ar,Could not resolve host: agendadigital.gob.ar,none
aggo-conicet.gob.ar,gob.ar,200,1 smtp.aggo-conicet.gob.ar.; 2 aggo.laplata-conicet.gob.ar.
agip.gob.ar,gob.ar,403,10 smtp2.agip.gob.ar.
alpacorral.gob.ar,gob.ar,301,0 alpacorral.gob.ar.
alumine.gob.ar,gob.ar,200,1000 mxbackup.wnpower.com.; 0 mail.alumine.gob.ar.
ambiente.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'ambiente.gob.ar',10 pmg2.multidominio.gob.ar.; 20 pmg1.multidominio.gob.ar.
amparo.iosper.gob.ar,gob.ar,Could not resolve host: amparo.iosper.gob.ar,none
anses.gob.ar,gob.ar,307,5 mx3.anses.gob.ar.; 5 mx2.anses.gob.ar.
antares.dir.riogrande.gob.ar,gob.ar,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
antifraude.ssn.gob.ar,gob.ar,Could not resolve host: antifraude.ssn.gob.ar,none
apex-calendario.dir.riogrande.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'apex-calendario.dir.riogrande.gob.ar',none
apex-impuestos.dir.riogrande.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'apex-impuestos.dir.riogrande.gob.ar',none
apex.dir.riogrande.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'apex.dir.riogrande.gob.ar',none
apexapp.dir.riogrande.gob.ar,gob.ar,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
api-test.ssta.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'api-test.ssta.gob.ar',none
api.ssta.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'api.ssta.gob.ar',none
apielecciones.buenosaires.gob.ar,gob.ar,Could not resolve host: apielecciones.buenosaires.gob.ar,none
