type,label,website,hostname,level
government_agency,Intellectual Property Agency of Armenia,https://aipo.am/hy,aipo.am,
government_agency,Intellectual Property Agency of Armenia,https://aipo.am/ru,aipo.am,
government_agency,Intellectual Property Agency of Armenia,https://aipo.am/en,aipo.am,
government_agency,"embassy of France, Yerevan",https://am.ambafrance.org/,am.ambafrance.org,central
government_agency,embassy of Lithuania in Armenia,http://am.mfa.lt,am.mfa.lt,central
government_agency,"Embassy of the United States, Yerevan",https://am.usembassy.gov/,am.usembassy.gov,central
government_agency,Armenian Nuclear Regulatory Authority,https://anra.am,anra.am,
government_agency,Q25486289,https://arbitrage.am/?lang=en,arbitrage.am,
government_agency,Q25486289,https://arbitrage.am/?lang=ru,arbitrage.am,
government_agency,Q25486289,http://arbitrage.am/,arbitrage.am,
government_agency,National Archives of Armenia,http://armarchives.am/,armarchives.am,
government_agency,"Embassy of Russia, Yerevan",https://armenia.mid.ru,armenia.mid.ru,central
government_agency,United Nations Office in Armenia,https://armenia.un.org/,armenia.un.org,
government_agency,Statistical Committee of Armenia,http://armstat.am/,armstat.am,
government_agency,National Statistical Service,https://armstat.am,armstat.am,
government_agency,Statistical Committee of Armenia,https://armstat.am,armstat.am,
government_agency,Civil Aviation Committee of Armenia,https://aviation.am,aviation.am,central
government_agency,Cadastre Committee,https://cadastre.am/ru,cadastre.am,
government_agency,Cadastre Committee,https://cadastre.am/en,cadastre.am,
government_agency,Cadastre Committee,https://cadastre.am,cadastre.am,
government_agency,Court of Cassation of Armenia,https://cassationcourt.am,cassationcourt.am,
government_agency,Central Bank of Armenia,https://cba.am,cba.am,
government_agency,Constitutional Court of Armenia,https://concourt.am/,concourt.am,central
government_agency,DataLex,https://datalex.am,datalex.am,
government_agency,Ministry of Education and Science,http://www.edu.am/,edu.am,central
ministry,Ministry of Education and Science,http://www.edu.am/,edu.am,central
government_agency,Delegation of the European Union to Armenia,https://eeas.europa.eu/delegations/armenia_en,eeas.europa.eu,
government_agency,"Embassy of Romania, Yerevan",https://erevan.mae.ro,erevan.mae.ro,central
government_agency,"Embassy of Germany, Yerevan",https://eriwan.diplo.de,eriwan.diplo.de,central
ministry,"Ministry of Education, Science, Culture and Sports of Armenia",https://escs.am,escs.am,
government_agency,Armenian Automobile Federation,https://faa.am/,faa.am,
government_agency,Language Committee,https://langcom.am,langcom.am,
ministry,Ministry of Foreign Affairs of Armenia,https://mfa.am,mfa.am,central
government_agency,Ministry of Foreign Affairs of Armenia,https://mfa.am,mfa.am,central
government_agency,embassy of Bulgaria in Armenia,https://www.mfa.bg/embassies/armenia,mfa.bg,central
government_agency,"Embassy of Greece, Yerevan",https://www.mfa.gr/missionsabroad/armenia.html,mfa.gr,central
government_agency,Ministry of Defence of Armenia,https://mil.am,mil.am,central
ministry,Ministry of Defence of Armenia,https://mil.am,mil.am,central
government_agency,Ministry of Economy of the Republic of Armenia,https://mineconomy.am,mineconomy.am,central
ministry,Ministry of Economy of the Republic of Armenia,https://mineconomy.am,mineconomy.am,central
ministry,Ministry of Finance,https://minfin.am,minfin.am,central
government_agency,Ministry of Finance,https://minfin.am,minfin.am,central
ministry,Ministry of Labor and Social Affairs,https://mlsa.am,mlsa.am,central
government_agency,Ministry of Labor and Social Affairs,https://mlsa.am,mlsa.am,central
government_agency,Embassy of the UAE in Armenia,https://www.mofa.gov.ae/hy-am/missions/yerevan,mofa.gov.ae,
government_agency,Ministry of Health,https://moh.am,moh.am,central
ministry,Ministry of Health,https://moh.am,moh.am,central
government_agency,Ministry of Justice (Armenia),https://moj.am,moj.am,central
ministry,Ministry of Justice (Armenia),https://moj.am,moj.am,central
government_agency,Ministry of Youth and Sports,http://msy.am/,msy.am,central
ministry,Ministry of Youth and Sports,http://msy.am/,msy.am,central
ministry,Ministry of Territorial Administration and Infrastructure,http://www.mtad.am,mtad.am,central
government_agency,Ministry of Territorial Administration and Infrastructure,http://www.mtad.am,mtad.am,central
government_agency,"Embassy of Czech Republic, Yerevan",https://www.mzv.cz/yerevan,mzv.cz,central
government_agency,embassy of Slovakia in Armenia,https://www.mzv.sk/web/jerevan,mzv.sk,central
government_agency,National Library of Armenia,https://nla.am,nla.am,
government_agency,Armenian National Survey for Seismic Protection,http://www.nssp-gov.am/,nssp-gov.am,
parliament,National Assembly of Armenia,http://parliament.am,parliament.am,central
supreme_court,National Assembly of Armenia,http://parliament.am,parliament.am,central
parliament,National Assembly of Armenia,https://parliament.am,parliament.am,central
supreme_court,National Assembly of Armenia,https://parliament.am,parliament.am,central
government_agency,State Revenue Committee (Armenia),http://petekamutner.am,petekamutner.am,
government_agency,Prosecutor General of Armenia,https://www.prosecutor.am,prosecutor.am,
government_agency,Public Services Regulatory Commission,https://psrc.am/,psrc.am,
government_agency,State Committee of Science,http://www.scs.am/en,scs.am,
government_agency,National Security Service,https://sns.am,sns.am,central
government_agency,"Embassy of the United Arab Emirates, Yerevan",https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Yerevan/Pages/home.aspx,sp.mofaic.gov.ae,central
government_agency,State Property Management Committee,https://stateproperty.am,stateproperty.am,
government_agency,"Embassy of Sweden, Yerevan",https://www.swedenabroad.se/sv/utlandsmyndigheter/armenien-jerevan/,swedenabroad.se,central
government_agency,Commission on TV and Radio of Armenia,https://tvradio.am/home.html,tvradio.am,
government_agency,Public Broadcasting Council,https://tvradiocouncil.am,tvradiocouncil.am,
parliament,"Council of the Elders, Yerevan",https://www.yerevan.am/am/avagani/,yerevan.am,
