hostname,score,sources,label,level
aapant.org.au,4,wikidata,Aboriginal Areas Protection Authority,central-1
adelaidemetro.com.au,4,wikidata,Adelaide Metro,central-1
cancerinstitute.org.au,4,wikidata,Cancer Institute of New South Wales,central-1
destinationnsw.com.au,4,wikidata,Destination NSW,central-1
forestrysa.com.au,4,wikidata,Forestry SA,central-1
law.adelaide.edu.au,4,wikidata,South Australian Law Reform Institute,central-1
mcnsw.org.au,4,wikidata,Medical Council of New South Wales,central-1
portauthoritynsw.com.au,4,wikidata,Port Authority of New South Wales,central-1
sawater.com.au,4,wikidata,SA Water,central-1
statetheatrecompany.com.au,4,wikidata,State Theatre Company of South Australia,central-1
tasports.com.au,4,wikidata,Tasmanian Ports Corporation,central-1
tourismtasmania.com.au,4,wikidata,Tourism Tasmania,central-1
vcaa.vic.edu.au,4,wikidata,Victorian Curriculum and Assessment Authority,central-1
watercorporation.com.au,4,wikidata,Water Corporation,central-1
defencesa.com,3,wikidata,Defence SA,central-1
venuesnsw.com,3,wikidata,Venues NSW,central-1
burnie.net,6,wikidata;wikidata,Burnie City Council,local
cityofadelaide.com.au,4,wikidata,Corporation of the City of Adelaide,local
metropolitanmemorialparks.com.au,4,wikidata,Metropolitan Memorial Parks,local
ceduna.net,3,wikidata,District Council of Ceduna,local
roxbydowns.com,3,wikidata,Municipal Council of Roxby Downs,local
