hostname,score,sources,label,level
g-mwater.com.au,7,wikidata;wikidata,Goulburn–Murray Water,
pakistan.org.au,7,wikidata;wikidata,"High Commission of Pakistan, Canberra | high commission of Pakistan in Australia",central
screenqueensland.com.au,7,wikidata;wikidata,Screen Queensland Studios | Screen Queensland,
wineaustralia.com,6,wikidata;wikidata,Wine Australia | Australian Grape and Wine Authority,
aaf.edu.au,4,wikidata,Australian Access Federation,
abc.net.au,4,wikidata,Australian Broadcasting Corporation,
acara.edu.au,4,wikidata,"Australian Curriculum, Assessment and Reporting Authority",
acoustics.asn.au,4,wikidata,Australian Acoustical Society,
aftrs.edu.au,4,wikidata,Australian Film Television and Radio School,
agrifutures.com.au,4,wikidata,AgriFutures Australia,
ahmrc.org.au,4,wikidata,Aboriginal Health and Medical Research Council of New South Wales,
ainse.edu.au,4,wikidata,Australian Institute of Nuclear Science and Engineering,
algeriaemb.org.au,4,wikidata,"Embassy of Algeria, Canberra",central
amc.edu.au,4,wikidata,Australian Maritime College,
apm.net.au,4,wikidata,APM Group,
artc.com.au,4,wikidata,Australian Rail Track Corporation,
artlabaustralia.com.au,4,wikidata,Artlab Australia,
asmof.org.au,4,wikidata,Australian Salaried Medical Officers' Federation,
auda.org.au,4,wikidata,.au Domain Administration,
australiachinafoundation.org.au,4,wikidata,National Foundation for Australia-China Relations,
australiaday.org.au,4,wikidata,National Australia Day Council,
australianphenomics.org.au,4,wikidata,Phenomics Australia,
awri.com.au,4,wikidata,Australian Wine Research Institute,
bargo.rfsa.org.au,4,wikidata,Bargo Rural Fire Brigade,
bastow.vic.edu.au,4,wikidata,Bastow Institute of Educational Leadership,
benalla-college.vic.edu.au,4,wikidata,Benalla College,
brunei.org.au,4,wikidata,high commission of Brunei in Australia,central
canberra.mfa.gov.hu,4,wikidata,embassy of Hungary in Australia,central
ccc.sa.edu.au,4,wikidata,Charles Campbell College,
commbank.com.au,4,wikidata,Commonwealth Bank,
crdc.com.au,4,wikidata,Cotton Research and Development Corporation,
cybercollaboration.org.au,4,wikidata,Australian Cyber Collaboration Centre,
dairyaustralia.com.au,4,wikidata,Dairy Australia Limited,
dementiaresearch.org.au,4,wikidata,Dementia Collaborative Research Centres,
dmtc.com.au,4,wikidata,Defence Materials Technology Centre,
education.wa.edu.au,4,wikidata,Department of Education,
educationstandards.nsw.edu.au,4,wikidata,NSW Education Standards Authority,
embassyofcambodia.org.au,4,wikidata,embassy of Cambodia in Australia,central
employmentplus.com.au,4,wikidata,Employment Plus,
faithlutheran.qld.edu.au,4,wikidata,Q5431205,
fijihighcommission.com.au,4,wikidata,high commission of Fiji in Australia,central
forestrycorporation.com.au,4,wikidata,Forestry Corporation,
forestrytas.com.au,4,wikidata,Sustainable Timber Tasmania,
frdc.com.au,4,wikidata,Fisheries Research and Development Corporation,
fremantleports.com.au,4,wikidata,Fremantle Ports,
gdc.sa.edu.au,4,wikidata,Gawler and District College,
ghanahighcom.org.au,4,wikidata,high commission of Ghana in Australia,central
grdc.com.au,4,wikidata,Grains Research and Development Corporation,
groundwater.com.au,4,wikidata,National Centre for Groundwater Research and Training,
guild.org.au,4,wikidata,Pharmacy Guild of Australia,
hbprca.com.au,4,wikidata,High Blood Pressure Research Council of Australia,
hearing.com.au,4,wikidata,Hearing Australia,
helenacollege.wa.edu.au,4,wikidata,Helena College,
horticulture.com.au,4,wikidata,Horticulture Innovation Australia Limited,
jordanembassy.org.au,4,wikidata,embassy of Jordan in Australia,central
kenya.asn.au,4,wikidata,high commission of Kenya in Australia,central
matchworks.com.au,4,wikidata,MatchWorks,
maxsolutions.com.au,4,wikidata,MAX,
mecanberra.com.au,4,wikidata,embassy of Myanmar in Australia,central
medibank.com.au,4,wikidata,Medibank Private,
melbournewater.com.au,4,wikidata,Melbourne Water,
minerals.org.au,4,wikidata,Minerals Council of Australia,
mla.com.au,4,wikidata,Meat and Livestock Australia,
mofaic.gov.ae,4,wikidata,"Consulate General of the United Arab Emirates, Melbourne",
mongolianembassy.org.au,4,wikidata,embassy of Mongolia in Australia,central
mopt.com.au,4,wikidata,Melbourne and Olympic Park Trust,
moroccoembassy.org.au,4,wikidata,embassy of Morocco in Australia,central
mossvalerfb.org.au,4,wikidata,Moss Vale Rural Fire Brigade,
nida.edu.au,4,wikidata,National Institute of Dramatic Art,
nigeria-can.org.au,4,wikidata,High Commission of Nigeria in Canberra,central
nswlrs.com.au,4,wikidata,NSW Land Registry Services,
philembassy.org.au,4,wikidata,"Embassy of the Philippines, Canberra",central
phrn.org.au,4,wikidata,Population Health Research Network,
portsaustralia.com.au,4,wikidata,Ports Australia,
princeofpeace.qld.edu.au,4,wikidata,Prince of Peace Lutheran College,
publish.csiro.au,4,wikidata,CSIRO Publishing,
qca.org.au,4,wikidata,Queensland Competition Authority,
qcaa.qld.edu.au,4,wikidata,Queensland Curriculum and Assessment Authority,
questacon.edu.au,4,wikidata,Questacon,
robertsonrfs.org.au,4,wikidata,Robertson Rural Fire Brigade,
sahc.org.au,4,wikidata,"High Commission of South Africa, Canberra",central
samentalhealthcommission.com.au,4,wikidata,South Australian Mental Health Commission,
sbs.com.au,4,wikidata,Special Broadcasting Service,
snowyhydro.com.au,4,wikidata,Snowy Hydro,
sp.mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Canberra",central
suncoastcc.qld.edu.au,4,wikidata,Suncoast Christian College,
sydneyairport.com.au,4,wikidata,Sydney Airports Corporation Limited,
tafesa.edu.au,4,wikidata,TAFE SA,
techinsa.com.au,4,wikidata,TechInSA,
tongahighcom.com.au,4,wikidata,High Commission of Tonga in Australia,central
tso.com.au,4,wikidata,Tasmanian Symphony Orchestra,
urbanutilities.com.au,4,wikidata,Queensland Urban Utilities,
uwa.edu.au,4,wikidata,Oceans Institute,
varta.org.au,4,wikidata,Victorian Assisted Reproductive Treatment Authority,
victrack.com.au,4,wikidata,VicTrack,
vietnamembassy.org.au,4,wikidata,embassy of Vietnam in Australia,central
waternsw.com.au,4,wikidata,WaterNSW,
workingheritage.com.au,4,wikidata,Working Heritage,
yoorrookjusticecommission.org.au,4,wikidata,Yoorrook Justice Commission,
zambia.org.au,4,wikidata,high commission of Zambia in Australia,central
zimembassycanberra.org.au,4,wikidata,embassy of Zimbabwe in Australia,central
airservicesaustralia.com,3,wikidata,Airservices Australia,central
ambafrance-au.org,3,wikidata,Consulate-General of France in  Sydney,
ambasadat.net,3,wikidata,"Embassy of Kosovo, Canberra",central
au.ambafrance.org,3,wikidata,"embassy of France, Canberra",central
au.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Canberra",central
au.mfa.lt,3,wikidata,embassy of Lithuania in Australia,central
au.mvep.hr,3,wikidata,embassy of Croatia in Australia,central
australia.mid.ru,3,wikidata,"Embassy of Russia, Canberra",central
australien.um.dk,3,wikidata,embassy of Denmark in Australia,central
bhcanberra.com,3,wikidata,"High Commission of Bangladesh, Canberra",central
bihembassy.org,3,wikidata,"Embassy of Bosnia and Herzegovina, Canberra",central
canberra.embassy.qa,3,wikidata,embassy of Qatar in Australia,central
canberra.embassy.si,3,wikidata,"Embassy of Slovenia, Canberra",central
canberra.mae.ro,3,wikidata,embassy of Romania in Australia,central
canberra.mfa.af,3,wikidata,"Embassy of Afghanistan, Canberra",central
canberra.mfa.ee,3,wikidata,Embassy of Estonia in Canberra,central
canberra.thaiembassy.org,3,wikidata,embassy of Thailand in Australia,central
cgiperth.org,3,wikidata,"Consulate General of India, Perth",
eeas.europa.eu,3,wikidata,Delegation of the European Union to Australia,
emblaustralia.org,3,wikidata,EMBL Australia,
en.sudanicanberra.com,3,wikidata,embassy of Sudan in Australia,central
ethiopianembassy.net,3,wikidata,embassy of Ethiopia in Australia,central
finlandabroad.fi,3,wikidata,Embassy of Finland to Australia,central
kuwaitemb-australia.com,3,wikidata,embassy of Kuwait in Australia,central
laosembassy.net,3,wikidata,embassy of Laos in Australia,central
