type,label,website,hostname,level
ministry,Department of Social Services,https://www.dss.gov.au/,dss.gov.au,
ministry,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",http://www.infrastructure.gov.au/,infrastructure.gov.au,
ministry,Department of Education,https://www.education.gov.au,education.gov.au,
ministry,"Department of Climate Change, Energy, the Environment and Water",https://www.dcceew.gov.au/,dcceew.gov.au,
ministry,Department of Premier and Cabinet,http://www.dpc.nsw.gov.au,dpc.nsw.gov.au,
ministry,"Department of Health, Disability and Ageing",https://health.gov.au,health.gov.au,
ministry,Attorney-General's Department,http://www.ag.gov.au/,ag.gov.au,
ministry,Australian Department of Home Affairs,http://www.homeaffairs.gov.au/,homeaffairs.gov.au,
ministry,Department of Foreign Affairs and Trade,https://www.dfat.gov.au/,dfat.gov.au,
ministry,Transport for NSW,http://www.transport.nsw.gov.au/,transport.nsw.gov.au,
ministry,Department of Employment and Workplace Relations,https://www.dewr.gov.au/,dewr.gov.au,
ministry,Department of Veterans' Affairs,http://www.dva.gov.au/,dva.gov.au,
ministry,"Department of Infrastructure, Energy and Resources",http://www.dier.tas.gov.au/,dier.tas.gov.au,
ministry,Department of the Prime Minister and Cabinet,http://www.dpmc.gov.au/,dpmc.gov.au,
ministry,Department of Attorney General and Justice,http://www.lawlink.nsw.gov.au/Lawlink/Corporate/ll_corporate.nsf/pages/attorney_generals_department_index,lawlink.nsw.gov.au,
ministry,NSW Department of Education,https://education.nsw.gov.au/,education.nsw.gov.au,
ministry,Department of Primary Industries,https://www.dpi.nsw.gov.au/,dpi.nsw.gov.au,
ministry,Ministry of Health,https://www.health.nsw.gov.au/,health.nsw.gov.au,
ministry,Department of Finance,https://www.finance.gov.au/,finance.gov.au,
ministry,Department of the Treasury,http://www.treasury.gov.au/,treasury.gov.au,
ministry,Department of Defence,https://www.defence.gov.au/,defence.gov.au,
parliament,Legislative Assembly of Queensland,https://www.parliament.qld.gov.au/,parliament.qld.gov.au,
parliament,Parliament of South Australia,https://www.parliament.sa.gov.au/,parliament.sa.gov.au,
parliament,Australian Capital Territory Legislative Assembly,https://www.parliament.act.gov.au/,parliament.act.gov.au,
parliament,Parliament of Victoria,https://www.parliament.vic.gov.au/,parliament.vic.gov.au,
parliament,New South Wales Legislative Council,https://www.parliament.nsw.gov.au/,parliament.nsw.gov.au,
parliament,Parliament of Australia,https://www.aph.gov.au/,aph.gov.au,
parliament,Parliament of Western Australia,http://www.parliament.wa.gov.au/,parliament.wa.gov.au,
parliament,Parliament of New South Wales,http://www.parliament.nsw.gov.au/,parliament.nsw.gov.au,
parliament,Parliament of Queensland,http://www.parliament.qld.gov.au/,parliament.qld.gov.au,
parliament,Parliament of Tasmania,https://www.parliament.tas.gov.au/,parliament.tas.gov.au,
constitutional_court,Curtin Connect,https://www.curtin.edu.au/students/connect/,curtin.edu.au,
constitutional_court,Burnie City Council,https://www.burnie.net/,burnie.net,
constitutional_court,office of the Premier of Victoria,https://www.premier.vic.gov.au/,premier.vic.gov.au,
constitutional_court,Cabinet of Australia,https://www.directory.gov.au/commonwealth-parliament/cabinet,directory.gov.au,
constitutional_court,office of the Premier of Tasmania,http://www.premier.tas.gov.au/,premier.tas.gov.au,
constitutional_court,office of the Premier of Queensland,https://www.thepremier.qld.gov.au/,thepremier.qld.gov.au,
constitutional_court,Department of the Chief Minister,https://dcm.nt.gov.au/,dcm.nt.gov.au,
supreme_court,Legislative Assembly of Queensland,https://www.parliament.qld.gov.au/,parliament.qld.gov.au,
supreme_court,Parliament of South Australia,https://www.parliament.sa.gov.au/,parliament.sa.gov.au,
supreme_court,Australian Capital Territory Legislative Assembly,https://www.parliament.act.gov.au/,parliament.act.gov.au,
supreme_court,Parliament of Victoria,https://www.parliament.vic.gov.au/,parliament.vic.gov.au,
supreme_court,Parliament of Australia,https://www.aph.gov.au/,aph.gov.au,
supreme_court,Parliament of Western Australia,http://www.parliament.wa.gov.au/,parliament.wa.gov.au,
supreme_court,Parliament of New South Wales,http://www.parliament.nsw.gov.au/,parliament.nsw.gov.au,
supreme_court,Parliament of Queensland,http://www.parliament.qld.gov.au/,parliament.qld.gov.au,
supreme_court,Parliament of Tasmania,https://www.parliament.tas.gov.au/,parliament.tas.gov.au,
