hostname,score,sources,label,level,http_status,mx
bundesheer.at,7,wikidata;wikidata,Abwehramt | Heeresnachrichtenamt,,404,10 mx1.bundesheer.at.; 20 mx2.bundesheer.at.
bundeskriminalamt.at,7,wikidata;wikidata,Q105324455 | Federal Criminal Police Office,,301,none
geosphere.at,7,wikidata;wikidata,GeoSphere Austria | Central Institute for Meteorology and Geodynamics / GeoSphere Austria,,302,20 zaairon2.zamg.ac.at.; 10 zaairon1.zamg.ac.at.
piaristen.at,7,wikidata;wikidata,Piarist province of Austria,,200,10 mail.piaristen.at.
sozialministerium.at,7,wikidata;wikidata,"Federal Ministry of Labour, Social Affairs, Health, Care and Consumer Protection",central,301,10 mailx21.cna.at.; 10 mailx22.cna.at.; 10 mailx23.cna.at.; 10 mailx20.cna.at.
umweltbundesamt.at,7,wikidata;wikidata;wikidata,Federal Environment Agency (Austria),,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 umweltbundesamt-at.mail.protection.outlook.com.
vorarlberg.at,7,wikidata;wikidata;wikidata,Amt der Vorarlberger Landesregierung | District Captaincy Bregenz | Landtag of Vorarlberg,central-1,200,10 mail.cnv.at.
wko.at,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Wirtschaftskammer Niederösterreich | Vorarlberg Economic Chamber | Carinthian Chamber of Commerce | Wirtschaftskammer Wien | Wirtschaftskammer Steiermark | Wirtschaftskammer Tirol | Austrian Federal Economic Chamber | Wirtschaftskammer Oberösterreich,,HttpConnectTimeoutException: HTTP connect timed out,70 mxb-00345b01.gslb.pphosted.com.; 70 mxa-00345b01.gslb.pphosted.com.
euro.centre.org,6,wikidata;wikidata,European Centre for Social Welfare Policy and Research,,308,0 euro-centre-org.mail.protection.outlook.com.
jesuiten.org,6,wikidata;wikidata,Jesuit Province of Central Europe,,301,10 jesuiten-org.mail.protection.outlook.com.
agraroekonomik.at,4,wikidata,Federal Institute of Agricultural Economics,,301,10 mail.agraroekonomik.at.
aiz.at,4,wikidata,Abwasserverband Achental-Inntal-Zillertal,,200,10 mx.mymailwall.com.
algerische-botschaft.at,4,wikidata,"Embassy of Algeria, Vienna",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 mail.dz-embassy-at.org.
avzirl.at,4,wikidata,Abwasserverband Zirl und Umgebung (ARA Zirl),,200,10 mx01.hornetsecurity.com.; 20 mx02.hornetsecurity.com.; 30 mx03.hornetsecurity.com.; 40 mx04.hornetsecurity.com.
bda.at,4,wikidata,Bundesdenkmalamt,,301,10 mailx22.cna.at.; 10 mailx23.cna.at.; 10 mailx21.cna.at.; 10 mailx20.cna.at.
becs.mfa.gov.hu,4,wikidata,Embassy of Hungary in Austria,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 maila.becs.mfa.gov.hu.; 10 mailb.becs.mfa.gov.hu.
bgld-landtag.at,4,wikidata,Landtag of Burgenland,central-1,301,11 mail.bgld-landtag.at.; 10 barracuda.bgld-landtag.at.
bh-botschaft.at,4,wikidata,embassy of Bosnia and Herzegovina in Austria,central,200,100 mxlb.ispgateway.de.
biz-up.at,4,wikidata,Business Upper Austria – OÖ Wirtschaftsagentur,,301,10 bizup-at0i.mail.protection.outlook.com.
bundesforste.at,4,wikidata,Austrian State Forestry Commission,,301,0 bundesforste-at.mail.protection.outlook.com.
bundesgaerten.at,4,wikidata,Österreichische Bundesgärten,,301,10 mx.mymailwall.com.; 20 exchange.gartenbau.at.
bupp.at,4,wikidata,Q98446472,,301,10 mail.bupp.at.
burghauptmannschaft.at,4,wikidata,Burghauptmannschaft,,301,10 smtp1.wirtschaftsministerium.at.; 20 smtp2.wirtschaftsministerium.at.
chinaembassy.at,4,wikidata,"Embassy of the People's Republic of China, Vienna",central,ConnectException,none
e-control.at,4,wikidata,E-Control,,302,15 mail2.e-control.at.; 10 mail.e-control.at.
egyptembassyvienna.at,4,wikidata,embassy of Egypt in Austria,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching egyptembassyvienna.at found.,10 mx1.a1.net.
ehg-online.at,4,wikidata,Q24574312,,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.jimdo.com.; 20 mx2.jimdo.com.
embangola.at,4,wikidata,embassy of Angola in Austria,central,200,10 mail.embangola.at.
embnamibia.at,4,wikidata,"Embassy of Namibia, Vienna",central,200,10 mx1.bon.at.
feuerwehr-alberschwende.at,4,wikidata,Freiwillige Feuerwehr Alberschwende,,301,0 feuerwehr-alberschwende.at.
feuerwehr-doren.at,4,wikidata,Feuerwehr Doren,,200,0 feuerwehrdoren-at02c.mail.protection.outlook.com.
feuerwehr-egg.at,4,wikidata,Freiwillige Feuerwehr Egg,,HttpConnectTimeoutException: HTTP connect timed out,10 w00e0e1d.kasserver.com.
feuerwehr-hittisau.at,4,wikidata,Freiwillige Feuerwehr Hittisau,,302,10 mail.feuerwehr-hittisau.at.
feuerwehr-klagenfurt.at,4,wikidata,Q1409973,,200,10 w0209160.kasserver.com.
feuerwehr-langenegg.at,4,wikidata,Freiwillige Feuerwehr Langenegg,,200,10 dedi2632.your-server.de.
feuerwehr-ludesch.at,4,wikidata,Fire fighter Ludesch,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.feuerwehr-ludesch.at.
feuerwehr-silbertal.at,4,wikidata,Firefighter Silbertal,,301,10 mail.feuerwehr-silbertal.at.
feuerwehr.dornbirn.at,4,wikidata,Feuerwehrzentrale Dornbirn,,200,none
feuerwehr.duens.at,4,wikidata,firefighters Düns,,200,none
feuerwehr.graz.at,4,wikidata,Berufsfeuerwehr Graz,,302,none
feuerwehr.puchenau.at,4,wikidata,Freiwillige Feuerwehr Puchenau,,ConnectException,none
feuerwehrlingenau.at,4,wikidata,Q137944675,,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,10 mx01.easyname.eu.; 10 mx02.easyname.eu.
feuerwehrschule.at,4,wikidata,Q59782523,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx.mymagenta.business.
ff-grillenberg.at,4,wikidata,Q96708186,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ff-grillenberg.at found.,10 w016f23c.kasserver.com.
ff-hernstein.at,4,wikidata,Q96708100,,ConnectException,10 mail.ff-hernstein.at.
ff-leonstein.at,4,wikidata,Q126951705,,HttpConnectTimeoutException: HTTP connect timed out,none
ff-pachfurth.at,4,wikidata,Q134462112,,301,10 mail.ff-pachfurth.at.
ff-wr-neudorf.at,4,wikidata,Freiwillige Feuerwehr Wiener Neudorf,,301,0 ffwrneudorf-at0ec.mail.protection.outlook.com.
ffmaissau.at,4,wikidata,Q97157348,,200,10 mail.ffmaissau.at.
ffneusiedl.at,4,wikidata,Q96708264,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.ffneusiedl.at.
forwit.at,4,wikidata,"Austrian Council for Sciences, Technology, and Innovation",,200,10 forwit-at.mail.protection.outlook.com.
fw-rankweil.at,4,wikidata,Firefighter,,200,10 fwrankweil-at0e.mail.protection.outlook.com.
geologie.ac.at,4,wikidata,Federal Geological Office,,ConnectException,20 mx2.geosphere.at.; 10 mx1.geosphere.at.
ghanaembassy.at,4,wikidata,embassy of Ghana in Austria,central,200,5 mx1.hostinger.com.; 10 mx2.hostinger.com.
goeg.at,4,wikidata,Health Austria,,200,10 goeg-at.mail.eo.outlook.com.
hk-schweiz.at,4,wikidata,Chamber of Commerce Switzerland-Austria-Liechtenstein,,301,10 mx01.hornetsecurity.com.; 20 mx02.hornetsecurity.com.; 30 mx03.hornetsecurity.com.; 40 mx04.hornetsecurity.com.
innsbruck.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Innsbruck",,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 maila.innsbruck.mfa.gov.hu.; 10 mailb.innsbruck.mfa.gov.hu.
j1dev.agrarforschung.at,4,wikidata,Q109654118,,301,none
jordanembassy.at,4,wikidata,embassy of Jordan in Austria,central,307,0 jordanembassy-at.mail.protection.outlook.com.
kaerntner-linien.at,4,wikidata,Kärntner Linien,,301,10 kaerntnerlinien-at02c.mail.protection.outlook.com.
kenyaembassyvienna.at,4,wikidata,embassy of Kenya in Austria,central,200,10 mx1.ipax.at.; 10 mx2.ipax.at.
kommaustria.at,4,wikidata,Kommunikationsbehörde Austria,central,301,0 kommaustria-at.mail.protection.outlook.com.
kuwaitembassy.at,4,wikidata,embassy of Kuwait in Austria,central,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
landtag.steiermark.at,4,wikidata,Landtag of Styria,central-1,200,10 mail1.landtag.steiermark.at.; 10 mail2.landtag.steiermark.at.
lrh-ktn.at,4,wikidata,Q98815341,central-1,307,10 mail2.lrh-ktn.at.; 0 mail.lrh-ktn.at.
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Vienna",central,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
myanmarembvienna.at,4,wikidata,"embassy of Myanmar, Vienna",central,200,10 mxpool.de2.hostedoffice.ag.
noegus.at,4,wikidata,Niederösterreichischer Gesundheits- und Sozialfond,,301,10 mail1.noel.gv.at.; 10 mail2.noel.gv.at.
