subdomain,http_status,mx
48ertandler-qm.wien.gv.at,Could not resolve host: 48ertandler-qm.wien.gv.at,none
48ertandler.wien.gv.at,200,none
aba.gv.at,200,1 aba-gv-at.mail.cloud.nospamproxy.com.; 5 aba-gv-at.mail.cloud.nospamproxy.com.
abfall.gda.gv.at,200,none
abfuhrtermine.gda.gv.at,200,none
access.ada.gv.at,Connection timed out after 3001 milliseconds,none
access.bmvit.gv.at,Connection timed out after 3001 milliseconds,none
access.opfb.bmvit.gv.at,Connection timed out after 3000 milliseconds,none
accounts.citrix.wien.gv.at,Could not resolve host: accounts.citrix.wien.gv.at,none
accounts.wien.gv.at,Could not resolve host: accounts.wien.gv.at,none
accreditor-test.bka.gv.at,Connection timed out after 3002 milliseconds,none
accreditor.bka.gv.at,200,none
achau.gv.at,301,20 mx02.hornetsecurity.com.; 40 mx04.hornetsecurity.com.; 10 mx01.hornetsecurity.com.; 30 mx03.hornetsecurity.com.
ada.gv.at,Resolving timed out after 3000 milliseconds,none
admin.fma.gv.at,Could not resolve host: admin.fma.gv.at,none
adportal.bmf.gv.at,Could not resolve host: adportal.bmf.gv.at,none
adressen.eggenburg.gv.at,SSL: no alternative certificate subject name matches target hostname 'adressen.eggenburg.gv.at',none
advfem.nsgslb.wien.gv.at,Could not resolve host: advfem.nsgslb.wien.gv.at,none
aflenz.gv.at,301,none
ag.bmf.bca.gv.at,Connection timed out after 3002 milliseconds,none
ag1.bmf.bca.gv.at,Could not resolve host: ag1.bmf.bca.gv.at,none
ahdb.ehealth.gv.at,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A000119:SSL routines::decryption failed or bad record mac, errno 0",none
ainet.gv.at,302,10 ainet-gv-at.mail.protection.outlook.com.
ainet.tirol.gv.at,Could not resolve host: ainet.tirol.gv.at,none
aklcsg01.ktn.gv.at,Could not resolve host: aklcsg01.ktn.gv.at,none
aklwi01.ktn.gv.at,Could not resolve host: aklwi01.ktn.gv.at,none
akpflegevorsorge.bmask.gv.at,Connection timed out after 3001 milliseconds,none
allhartsberg.gv.at,200,none
alt.intern.magwien.gv.at,Could not resolve host: alt.intern.magwien.gv.at,none
alt.neunkirchen.gv.at,Connection timed out after 3002 milliseconds,none
altheim.ooe.gv.at,Could not resolve host: altheim.ooe.gv.at,none
ams.brz.gv.at,302,none
amtsdolmetsch.jba.gv.at,Connection timed out after 3001 milliseconds,none
amtssignatur.brz.gv.at,301,none
amtssignatur.tirol.gv.at,302,none
amtsweg.gv.at,302,none
andorf.ooe.gv.at,Could not resolve host: andorf.ooe.gv.at,10 andorf-ooe-gv-at.gate.seppmail.cloud.
anmelden.bmlfuw.gv.at,Could not resolve host: anmelden.bmlfuw.gv.at,none
antrag.bev.gv.at,200,none
anwportal-t.ooe.gv.at,Could not resolve host: anwportal-t.ooe.gv.at,none
anwportal.ooe.gv.at,Could not resolve host: anwportal.ooe.gv.at,none
ap.bmf.gv.at,200,none
ap2.bmf.gv.at,400,none
apf.gv.at,301,none
app.fma.gv.at,Connection timed out after 3002 milliseconds,none
app.portal.ooe.gv.at,Could not resolve host: app.portal.ooe.gv.at,none
appointment.bmeia.gv.at,302,none
apps.egiz.gv.at,302,none
apps.tirol.gv.at,Could not resolve host: apps.tirol.gv.at,none
ardagger.gv.at,301,0 ardagger-gv-at.mail.protection.outlook.com.
arnfels.gv.at,301,none
arzl-pitztal.tirol.gv.at,Could not resolve host: arzl-pitztal.tirol.gv.at,none
as.apab.gv.at,SSL: no alternative certificate subject name matches target hostname 'as.apab.gv.at',none
as.bmwf.gv.at,Could not resolve host: as.bmwf.gv.at,none
as.frauenministerium.gv.at,Could not resolve host: as.frauenministerium.gv.at,none
as.stmk.gv.at,SSL certificate problem: unable to get local issuer certificate,none
aschach-donau.ooe.gv.at,Could not resolve host: aschach-donau.ooe.gv.at,none
aschbach-markt.gv.at,200,none
assets.pyhra.gv.at,SSL certificate problem: unable to get local issuer certificate,none
assistenzstelle.inspire.gv.at,Could not resolve host: assistenzstelle.inspire.gv.at,none
atamobil.ehealth.gv.at,Could not resolve host: atamobil.ehealth.gv.at,none
ats.bmbf.gv.at,Could not resolve host: ats.bmbf.gv.at,none
ats.bmukk.gv.at,Connection timed out after 3001 milliseconds,none
attnang7.attnang-puchheim.ooe.gv.at,Could not resolve host: attnang7.attnang-puchheim.ooe.gv.at,none
aufatmen.wien.gv.at,Could not resolve host: aufatmen.wien.gv.at,none
aufsichtskonferenz.fma.gv.at,Could not resolve host: aufsichtskonferenz.fma.gv.at,none
ausschreibungen.tirol.gv.at,302,none
ausservillgraten.gv.at,200,none
ausservillgraten.tirol.gv.at,Could not resolve host: ausservillgraten.tirol.gv.at,none
auth.stmk.gv.at,Connection timed out after 3002 milliseconds,none
