type,label,website,hostname,level
government_agency,"Embassy of Afghanistan, Vienna",http://www.afghanistan-vienna.org,afghanistan-vienna.org,central
government_agency,Federal Institute of Agricultural Economics,http://agraroekonomik.at/index.php?id=home&L=1,agraroekonomik.at,
government_agency,Abwasserverband Achental-Inntal-Zillertal,http://www.aiz.at/CMS/,aiz.at,
government_agency,"Embassy of Algeria, Vienna",http://www.algerische-botschaft.at/,algerische-botschaft.at,central
government_agency,"Embassy of Albania, Vienna",https://ambasadat.gov.al/austria/,ambasadat.gov.al,central
government_agency,"Embassy of Kosovo, Vienna",https://ambasadat.net/Austria/,ambasadat.net,central
government_agency,"Embassy of Italy, Vienna",http://ambvienna.esteri.it,ambvienna.esteri.it,central
government_agency,Arbeitsinspektion,http://www.arbeitsinspektion.gv.at,arbeitsinspektion.gv.at,
government_agency,"Embassy of France, Vienna",https://at.ambafrance.org/,at.ambafrance.org,central
government_agency,"Embassy of Japan, Vienna",https://www.at.emb-japan.go.jp,at.emb-japan.go.jp,central
government_agency,embassy of Croatia in Austria,http://at.mfa.hr/,at.mfa.hr,central
government_agency,"Embassy of Lithuania, Vienna",https://at.mfa.lt/,at.mfa.lt,central
government_agency,embassy of Nepal in Austria,https://at.nepalembassy.gov.np/,at.nepalembassy.gov.np,central
government_agency,"Embassy of the United States, Vienna",https://at.usembassy.gov/,at.usembassy.gov,central
government_agency,"Embassy of Belgium, Vienna",https://austria.diplomatie.belgium.be,austria.diplomatie.belgium.be,central
government_agency,"Embassy of Colombia, Vienna",http://austria.embajada.gov.co/,austria.embajada.gov.co,central
government_agency,"Australian Embassy and Permanent Mission to the United Nations, Austria",http://austria.embassy.gov.au/,austria.embassy.gov.au,central
government_agency,embassy of Venezuela in Austria,https://www.austria.gob.ve,austria.gob.ve,central
government_agency,"Embassy of Belarus, Vienna",https://austria.mfa.gov.by,austria.mfa.gov.by,central
government_agency,embassy of Iran in Austria,https://austria.mfa.gov.ir/,austria.mfa.gov.ir,central
government_agency,embassy of Moldova in Austria,https://austria.mfa.gov.md,austria.mfa.gov.md,central
government_agency,"Embassy of Ukraine, Vienna",https://austria.mfa.gov.ua/,austria.mfa.gov.ua,central
government_agency,"Embassy of Russia, Vienna",http://austria.mid.ru/,austria.mid.ru,central
government_agency,European Commission Representation in Austria,https://austria.representation.ec.europa.eu/index_de,austria.representation.ec.europa.eu,
government_agency,embassy of Turkmenistan in Austria,https://austria.tmembassy.gov.tm,austria.tmembassy.gov.tm,central
government_agency,embassy of Ivory Coast in Austria,http://autriche.diplomatie.gouv.ci,autriche.diplomatie.gouv.ci,central
government_agency,Abwasserverband Zirl und Umgebung (ARA Zirl),https://www.avzirl.at/,avzirl.at,
government_agency,Bundesamt für Weinbau,http://www.bawb.bmlfuw.gv.at/,bawb.bmlfuw.gv.at,
government_agency,Bundesdenkmalamt,http://www.bda.at/,bda.at,
government_agency,Embassy of Hungary in Austria,https://becs.mfa.gov.hu/,becs.mfa.gov.hu,central
government_agency,Federal Office of Metrology and Surveying,http://www.bev.gv.at,bev.gv.at,
government_agency,Q1005436,http://www.bfa.gv.at/,bfa.gv.at,
parliament,Landtag of Burgenland,http://www.bgld-landtag.at/,bgld-landtag.at,central-1
government_agency,embassy of Bosnia and Herzegovina in Austria,http://bh-botschaft.at/,bh-botschaft.at,central
government_agency,Business Upper Austria – OÖ Wirtschaftsagentur,https://www.biz-up.at/,biz-up.at,
ministry,"Federal Ministry of Economy, Energy and Tourism",https://www.bmaw.gv.at/,bmaw.gv.at,
government_agency,"Federal Ministry of Economy, Energy and Tourism",https://www.bmaw.gv.at/,bmaw.gv.at,central
ministry,Federal Ministry of Education,https://www.bmbwf.gv.at/,bmbwf.gv.at,
government_agency,Federal Ministry of Education,https://www.bmbwf.gv.at/,bmbwf.gv.at,central
ministry,Federal Ministry for European and International Affairs,https://www.bmeia.gv.at/,bmeia.gv.at,
government_agency,Federal Ministry for European and International Affairs,https://www.bmeia.gv.at/,bmeia.gv.at,central
ministry,Federal Ministry of Finance,https://www.bmf.gv.at/,bmf.gv.at,
government_agency,Financial Police,http://www.bmf.gv.at/betrugsbekaempfung/finanzpolizei/,bmf.gv.at,
government_agency,Federal Ministry of Finance,https://www.bmf.gv.at/,bmf.gv.at,central
ministry,Federal Ministry of Families and Youth,https://www.bmfj.gv.at/,bmfj.gv.at,
ministry,Federal Ministry of Families and Youth,http://www.bmfj.gv.at,bmfj.gv.at,
government_agency,Federal Ministry of Families and Youth,https://www.bmfj.gv.at/,bmfj.gv.at,central
government_agency,Federal Ministry of Families and Youth,http://www.bmfj.gv.at,bmfj.gv.at,central
ministry,"Federal Ministry of Women, Science and Research",https://www.bmfwf.gv.at/en.html,bmfwf.gv.at,
government_agency,"Federal Ministry of Women, Science and Research",https://www.bmfwf.gv.at/en.html,bmfwf.gv.at,
government_agency,"Federal Ministry of Women, Science and Research",https://www.bmfwf.gv.at/,bmfwf.gv.at,
ministry,"Federal Ministry of Women, Science and Research",https://www.bmfwf.gv.at/,bmfwf.gv.at,
government_agency,Federal Ministry of Health,http://www.bmgf.gv.at/,bmgf.gv.at,central
ministry,Federal Ministry of Health,http://www.bmgf.gv.at/,bmgf.gv.at,
ministry,Federal Ministry of the Interior,http://www.bmi.gv.at,bmi.gv.at,
government_agency,Federal Ministry of the Interior,https://www.bmi.gv.at,bmi.gv.at,central
ministry,Federal Ministry of the Interior,https://www.bmi.gv.at,bmi.gv.at,
government_agency,Air Police,https://www.bmi.gv.at/202/Flugpolizei/start.aspx,bmi.gv.at,
government_agency,Federal Ministry of the Interior,http://www.bmi.gv.at,bmi.gv.at,central
ministry,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology",https://www.bmk.gv.at,bmk.gv.at,
government_agency,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology",https://www.bmk.gv.at,bmk.gv.at,central
government_agency,"Federal Ministry for Arts, Culture, the Civil Service and Sport",https://www.bmkoes.gv.at/,bmkoes.gv.at,central
ministry,"Federal Ministry for Arts, Culture, the Civil Service and Sport",https://www.bmkoes.gv.at/,bmkoes.gv.at,
ministry,"Federal Ministry of Agriculture, Forestry, Environment, Regions and Water Management",https://www.bml.gv.at,bml.gv.at,
government_agency,"Federal Ministry of Agriculture, Forestry, Environment, Regions and Water Management",https://www.bml.gv.at,bml.gv.at,central
government_agency,"Federal Ministry of Agriculture, Forestry, Environment, Regions and Water Management",https://www.bmlfuw.gv.at/,bmlfuw.gv.at,central
ministry,"Federal Ministry of Agriculture, Forestry, Environment, Regions and Water Management",https://www.bmlfuw.gv.at/,bmlfuw.gv.at,
ministry,Federal Ministry of Defence,https://www.bmlvs.gv.at/,bmlvs.gv.at,
government_agency,Federal Ministry of Defence,https://www.bmlvs.gv.at/,bmlvs.gv.at,central
government_agency,Federal Ministry of Defence,http://www.bmlvs.gv.at/,bmlvs.gv.at,central
ministry,Federal Ministry of Defence,http://www.bmlvs.gv.at/,bmlvs.gv.at,
