subdomain,mx
4sim.gov.az,0 mmx.mail.gov.az.
aak.gov.az,10 mmx.mail.gov.az.
abad.gov.az,0 mmx.mail.gov.az.
accreditation.gov.az,0 mmx.mail.gov.az.
acra.gov.az,0 mmx.mail.gov.az.
adif.gov.az,0 mgw.adif.az.
admin.anama.gov.az,none
admin.dtf.gov.az,none
adoption.mlspp.gov.az,none
adra.gov.az,0 mmx.mail.gov.az.
aef.gov.az,0 mmx.mail.gov.az.
afsi.gov.az,0 mmx.mail.gov.az.
aghdam.azerenerji.gov.az,none
agro.gov.az,15 mmx.mail.gov.az.
agrotrade.gov.az,0 mmx.mail.gov.az.
aih.gov.az,0 mmx.mail.gov.az.
aim.gov.az,0 mmx.mail.gov.az.
aipis.mlspp.gov.az,none
alert.e-kassa.gov.az,none
alfa.e-taxes.gov.az,none
allowance.mlspp.gov.az,none
alpha.e-taxes.gov.az,none
alpha.taxes.gov.az,none
anama.gov.az,0 mmx.mail.gov.az.
ani.edu.gov.az,none
antikorrupsiya.gov.az,0 mmx.mail.gov.az.
apc.taxes.gov.az,none
api.anama.gov.az,none
api.blacklist.gov.az,none
api.e-health.gov.az,none
api.e-kassa.gov.az,none
api.eservice.e-health.gov.az,none
api.snqis.gov.az,none
apitest.snqis.gov.az,none
apostille.justice.gov.az,none
applications.mlspp.gov.az,none
applications.mlspp.gov.az.mlspp.gov.az,none
apply.asxm.gov.az,none
aqtis.afsa.gov.az,none
ardda.gov.az,0 mmx.mail.gov.az.
area.gov.az,0 mmx.mail.gov.az.
arpii.gov.az,0 mmx.mail.gov.az.
arxkom.gov.az,0 mmx.mail.gov.az.
asan.gov.az,0 mmx.mail.gov.az.
asanfinance.gov.az,0 mmx.mail.gov.az.
asanlogin.my.gov.az,none
asanmuraciet.gov.az,0 mmx.mail.gov.az.
asf.gov.az,0 mmx.mail.gov.az.
ask.gov.az,0 mmx.mail.gov.az.
asxm.e-taxes.gov.az,none
asxm.gov.az,0 mail.asxm.gov.az.
atm.gov.az,0 mmx.mail.gov.az.
att.gov.az,0 mmx.mail.gov.az.
audit.gov.az,10 mmx.mail.gov.az.
autodiscover.barda.edu.gov.az,none
autodiscover.edu.gov.az,none
autodiscover.ganja.edu.gov.az,none
autodiscover.guba.edu.gov.az,none
autodiscover.kalbajar.edu.gov.az,none
autodiscover.lankaran.edu.gov.az,none
autodiscover.mincom.gov.az,none
autodiscover.sabirabad.edu.gov.az,none
autodiscover.salyan.edu.gov.az,none
autodiscover.shaki.edu.gov.az,none
autodiscover.shamakhi.edu.gov.az,none
autodiscover.shamkir.edu.gov.az,none
autodiscover.sumgayit.edu.gov.az,none
autodiscover.yevlakh.edu.gov.az,none
avchat.taxes.gov.az,none
avis-gateway.e-kassa.gov.az,none
avis.e-taxes.gov.az,none
avis.taxes.gov.az,none
avis64.taxes.gov.az,none
avisarge.taxes.gov.az,none
avisbeta.taxes.gov.az,none
aviscache.taxes.gov.az,none
avismon.e-taxes.gov.az,none
avistest.taxes.gov.az,none
avistest2.taxes.gov.az,none
ayna.gov.az,none
azerenerji.gov.az,none
azersuvenir.gov.az,none
azertag.gov.az,0 mail.azertag.gov.az.
aztc.gov.az,none
babek-ih.gov.az,0 mmx.mail.gov.az.
backend.smb.gov.az,none
baku-ih.gov.az,none
baku.edu.gov.az,none
bakupolice.gov.az,none
belediyye.gov.az,none
beta.e-taxes.gov.az,none
bi.e-taxes.gov.az,none
bi.mlspp.gov.az,none
bi.taxes.gov.az,none
bineqedi.azerenerji.gov.az,none
birpencere.arxkom.gov.az,none
bitest.taxes.gov.az,none
blacklist.gov.az,none
bmi.gov.az,none
bmis.gov.az,0 mmx.mail.gov.az.
boyukqayidish.gov.az,none
bpqmi.gov.az,none
bulvar.gov.az,none
bvip.taxes.gov.az,none
c2b.customs.gov.az,none
c4ir.gov.az,none
ca.e-taxes.gov.az,none
caa.gov.az,none
cabmin.gov.az,0 mmx.mail.gov.az.
callcenter.eco.gov.az,none
cashback.taxes.gov.az,none
cert.dxa.gov.az,none
cert.gov.az,0 mmx.mail.gov.az.
certificate.its.gov.az,none
cg.gov.az,none
cg1.gov.az,none
cg2.gov.az,none
cidc.gov.az,0 mmx.mail.gov.az.
cmdb.e-taxes.gov.az,none
cmdb.taxes.gov.az,none
competition.gov.az,none
connect.mdm.cert.gov.az,none
constcourt.gov.az,none
consul.e-kassa.gov.az,none
copat.gov.az,none
copyright.gov.az,none
copyright.gov.az.netdigital.az,none
corporate.metro.gov.az,none
courts.gov.az,0 mmx.mail.gov.az.
covid.economy.gov.az,none
cpanel.icazeler.gov.az,none
cpanel.sahibkar.economy.gov.az,none
cpcalendars.icazeler.gov.az,none
cpcalendars.sahibkar.economy.gov.az,none
cpcontacts.icazeler.gov.az,none
cpcontacts.sahibkar.economy.gov.az,none
crs.gov.az,0 mmx.mail.gov.az.
culture.gov.az,none
customs.gov.az,none
cv.dma.gov.az,none
cvpn.e-taxes.gov.az,none
cyberhygiene.gov.az,none
danx.gov.az,none
dc1-vcenter.e-taxes.gov.az,none
dc1-vcenter.taxes.gov.az,none
dc1.taxes.gov.az,none
dc2-vcenter.e-taxes.gov.az,none
dc2-vcenter.taxes.gov.az,none
dc2.taxes.gov.az,none
ddla.gov.az,none
dea.gov.az,20 mmx.mail.gov.az.
debugavis.taxes.gov.az,none
decl.e-taxes.gov.az,none
dedkr.gov.az,0 mmx.mail.gov.az.
demx.gov.az,none
deqkis1.e-emdk.gov.az,none
dfs.e-taxes.gov.az,none
diaspor.gov.az,none
digital.gov.az,0 mmx.mail.gov.az.
digitaltrade.gov.az,none
dim.gov.az,none
dma.gov.az,none
dmx.gov.az,5 mmx.mail.gov.az.
dnis.gov.az,0 mmx.mail.gov.az.
docker-priv.e-kassa.gov.az,none
docker.e-kassa.gov.az,none
documents-ta9.taxes.gov.az,none
dokcentra.mlspp.gov.az,none
dost.gov.az,none
dsx.gov.az,none
dtf.gov.az,none
dth.e-taxes.gov.az,none
dth.taxes.gov.az,none
dthtest.taxes.gov.az,none
dtsera.gov.az,none
dtx.courts.gov.az,none
dtx.gov.az,10 mail.dtx.gov.az.
dxa.courts.gov.az,none
dxa.gov.az,none
dyp.gov.az,none
e-afsa.gov.az,none
e-anfes.gov.az,none
e-audit.gov.az,none
e-azadolma.maliyye.gov.az,none
e-belediyye.gov.az,none
e-edf.gov.az,none
e-emdk.gov.az,none
e-emlak.gov.az,none
e-enq.danx.gov.az,none
e-fhn.gov.az,none
e-fn.danx.gov.az,none
e-gov.economy.gov.az,none
e-grant.sdf.gov.az,none
e-health.gov.az,0 mmx.mail.gov.az.
e-icra.gov.az,none
e-imza.gov.az,none
e-kassa.gov.az,none
e-kitabxana.taxes.gov.az,none
e-kob.gov.az,none
e-kredit.ictfund.gov.az,none
e-mdm.gov.az,none
e-mehkeme.gov.az,5 mmx.mail.gov.az.
