type,label,website,hostname,level
government_agency,"Embassy of Afghanistan, Baku",https://www.afghanemb.az,afghanemb.az,central
government_agency,Azerbaijan International Development Agency,http://www.aida.az,aida.az,
supreme_court,Supreme Assembly (Nakhchivan),http://www.alimeclis.az/,alimeclis.az,local
parliament,Supreme Assembly (Nakhchivan),http://www.alimeclis.az/,alimeclis.az,local
government_agency,"Embassy of France, Baku",https://az.ambafrance.org,az.ambafrance.org,central
government_agency,embassy of Lithuania in Azerbaijan,http://az.mfa.lt/,az.mfa.lt,central
government_agency,"Embassy of the United States, Baku",https://az.usembassy.gov/,az.usembassy.gov,central
government_agency,"Embassy of Russia, Baku",https://azerbaijan.mid.ru/,azerbaijan.mid.ru,central
government_agency,Azercosmos,https://azercosmos.az,azercosmos.az,
government_agency,Azerishiq Open Joint-Stock Company,http://www.azerishiq.az,azerishiq.az,
government_agency,Azersu Open Joint-Stock Company,https://azersu.az/,azersu.az,
government_agency,Azerbaijan State News Agency,https://azertag.az/en,azertag.az,
government_agency,Azerbaijan Export and İnvestment Promotion Fund,https://azpromo.az/ru,azpromo.az,
government_agency,"Embassy of Germany, Baku",https://baku.diplo.de/,baku.diplo.de,central
government_agency,"Embassy of Romania, Baku",https://baku.mae.ro,baku.mae.ro,central
government_agency,"Embassy of Afghanistan, Baku",https://www.baku.mfa.af,baku.mfa.af,central
government_agency,Embassy of Hungary in Baku,https://baku.mfa.gov.hu/,baku.mfa.gov.hu,central
government_agency,Central Bank of Azerbaijan,http://www.cbar.az/,cbar.az,central
government_agency,Electronic Security Service,https://www.cert.az,cert.az,
government_agency,National Cybersecurity Agency,https://cert.az/en/,cert.az,
government_agency,National Cybersecurity Agency,https://www.cert.az,cert.az,
government_agency,Electronic Security Service,https://cert.az/en/,cert.az,
government_agency,DOST Digital Innovations Center,https://drim.az/,drim.az,
government_agency,Delegation of the European Union to Azerbaijan,https://eeas.europa.eu/delegations/azerbaijan_en,eeas.europa.eu,
government_agency,Embassy of the State of Palestine in Azerbaijan,https://embassyofpalestine.az/ar/,embassyofpalestine.az,central
government_agency,Financial Monitoring Service,http://www.fiu.az,fiu.az,
government_agency,Institute for Scientific Research on Economic Reforms,http://ier.az/en,ier.az,
government_agency,"Embassy of India, Baku",http://www.indianembassybaku.in/,indianembassybaku.in,central
government_agency,"Embassy of Greece, Baku",https://www.mfa.gr/missionsabroad/azerbaijan.html,mfa.gr,central
government_agency,National Library of Azerbaijan,https://millikitabxana.az,millikitabxana.az,
government_agency,embassy of the Czech republic in Azerbaijan,https://www.mzv.cz/baku,mzv.cz,central
government_agency,embassy of Slovakia in Azerbaijan,https://www.mzv.sk/web/baku,mzv.sk,central
government_agency,"Azərbaycan Respublikası Səhiyyə Nazirliyi ""Analitik Ekspertiza Mərkəzi"" Publik Hüquqi Şəxsi",https://pharma.az,pharma.az,
government_agency,The Office of Azerbaijan President,http://president.az,president.az,
government_agency,Water and Amelioration Scientific Research Institute PLE,https://www.smeti.az,smeti.az,
government_agency,"Embassy of the United Arab Emirates, Baku",https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Baku/Pages/home.aspx,sp.mofaic.gov.ae,central
government_agency,"Embassy of Sweden, Baku",https://www.swedenabroad.se/sv/utlandsmyndigheter/azerbajdzjan-baku/,swedenabroad.se,central
government_agency,National Commission of the Republic of Azerbaijan for UNESCO,https://unesco.az/,unesco.az,
government_agency,Living Systems Research Institute,https://zoologiya.az,zoologiya.az,
