subdomain,parent_domain,http_status,mx
2020.cnps.gov.bi,gov.bi,Could not resolve host: 2020.cnps.gov.bi,none
abej.gov.bi,gov.bi,Could not resolve host: abej.gov.bi,none
abpinfos.gov.bi,gov.bi,Could not resolve host: abpinfos.gov.bi,none
addisabeba.mae.gov.bi,gov.bi,Could not resolve host: addisabeba.mae.gov.bi,none
agasandugu.gov.bi,gov.bi,SSL certificate problem: certificate has expired,0 agasandugu.gov.bi.
amategeko.gov.bi,gov.bi,Operation timed out after 3001 milliseconds with 0 bytes received,0 amategeko.gov.bi.
ambakenya.mae.gov.bi,gov.bi,Could not resolve host: ambakenya.mae.gov.bi,none
appointment.minisante.gov.bi,gov.bi,Could not resolve host: appointment.minisante.gov.bi,none
arcp.gov.bi,gov.bi,Operation timed out after 3001 milliseconds with 0 bytes received,0 arcp.gov.bi.
arct.arct.gov.bi,gov.bi,Could not resolve host: arct.arct.gov.bi,none
arct.gov.bi,gov.bi,Operation timed out after 3000 milliseconds with 0 bytes received,dig error
areem.gov.bi,gov.bi,Could not resolve host: areem.gov.bi,none
areen.gov.bi,gov.bi,Could not resolve host: areen.gov.bi,none
arfic.gov.bi,gov.bi,Could not resolve host: arfic.gov.bi,none
autodiscover.agasandugu.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
autodiscover.arca.minfinances.gov.bi,gov.bi,Could not resolve host: autodiscover.arca.minfinances.gov.bi,none
autodiscover.arcp.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'autodiscover.arcp.gov.bi',none
autodiscover.arct.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'autodiscover.arct.gov.bi',none
autodiscover.armp.minfinances.gov.bi,gov.bi,Could not resolve host: autodiscover.armp.minfinances.gov.bi,none
autodiscover.assemblee.gov.bi,gov.bi,Could not resolve host: autodiscover.assemblee.gov.bi,none
autodiscover.bonnegouvernance.gov.bi,gov.bi,Could not resolve host: autodiscover.bonnegouvernance.gov.bi,none
autodiscover.ceni.gov.bi,gov.bi,Could not resolve host: autodiscover.ceni.gov.bi,none
autodiscover.courdescomptes.gov.bi,gov.bi,Could not resolve host: autodiscover.courdescomptes.gov.bi,none
autodiscover.coursupreme.gov.bi,gov.bi,Could not resolve host: autodiscover.coursupreme.gov.bi,none
autodiscover.deuxiemevp.gov.bi,gov.bi,Could not resolve host: autodiscover.deuxiemevp.gov.bi,none
autodiscover.energie-mines.gov.bi,gov.bi,Could not resolve host: autodiscover.energie-mines.gov.bi,none
autodiscover.justice.gov.bi,gov.bi,Could not resolve host: autodiscover.justice.gov.bi,none
autodiscover.mctit.gov.bi,gov.bi,Could not resolve host: autodiscover.mctit.gov.bi,none
autodiscover.mesrs.gov.bi,gov.bi,400,none
autodiscover.minae.gov.bi,gov.bi,Could not resolve host: autodiscover.minae.gov.bi,none
autodiscover.minagrie.gov.bi,gov.bi,Could not resolve host: autodiscover.minagrie.gov.bi,none
autodiscover.minbonnegouv.gov.bi,gov.bi,Could not resolve host: autodiscover.minbonnegouv.gov.bi,none
autodiscover.mincomedias.gov.bi,gov.bi,Could not resolve host: autodiscover.mincomedias.gov.bi,none
autodiscover.mincotim.gov.bi,gov.bi,SSL certificate problem: self-signed certificate,none
autodiscover.mindefense.gov.bi,gov.bi,Could not resolve host: autodiscover.mindefense.gov.bi,none
autodiscover.mindevcommunal.gov.bi,gov.bi,Could not resolve host: autodiscover.mindevcommunal.gov.bi,none
autodiscover.mineagrie.gov.bi,gov.bi,Could not resolve host: autodiscover.mineagrie.gov.bi,none
autodiscover.mineduc.gov.bi,gov.bi,400,none
autodiscover.minenergiemines.gov.bi,gov.bi,Could not resolve host: autodiscover.minenergiemines.gov.bi,none
autodiscover.minfinances.gov.bi,gov.bi,Could not resolve host: autodiscover.minfinances.gov.bi,none
autodiscover.minfonctionpublique.gov.bi,gov.bi,Could not resolve host: autodiscover.minfonctionpublique.gov.bi,none
autodiscover.mininter.gov.bi,gov.bi,Could not resolve host: autodiscover.mininter.gov.bi,none
autodiscover.mininterinfos.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'autodiscover.mininterinfos.gov.bi',none
autodiscover.ministere-energie-mines.gov.bi,gov.bi,Could not resolve host: autodiscover.ministere-energie-mines.gov.bi,none
autodiscover.minjepotic.gov.bi,gov.bi,Could not resolve host: autodiscover.minjepotic.gov.bi,none
autodiscover.minjustice.gov.bi,gov.bi,Could not resolve host: autodiscover.minjustice.gov.bi,none
autodiscover.minsante.gov.bi,gov.bi,Could not resolve host: autodiscover.minsante.gov.bi,none
autodiscover.minsec.gov.bi,gov.bi,Could not resolve host: autodiscover.minsec.gov.bi,none
autodiscover.mintic.gov.bi,gov.bi,Could not resolve host: autodiscover.mintic.gov.bi,none
autodiscover.mintp.gov.bi,gov.bi,Could not resolve host: autodiscover.mintp.gov.bi,none
autodiscover.premierevp.gov.bi,gov.bi,Could not resolve host: autodiscover.premierevp.gov.bi,none
autodiscover.securitepublique.gov.bi,gov.bi,Could not resolve host: autodiscover.securitepublique.gov.bi,none
autodiscover.senat.gov.bi,gov.bi,Could not resolve host: autodiscover.senat.gov.bi,none
autodiscover.sgg.gov.bi,gov.bi,Could not resolve host: autodiscover.sgg.gov.bi,none
bonnegouvernance.gov.bi,gov.bi,Could not resolve host: bonnegouvernance.gov.bi,none
booking.cousp-minisante.gov.bi,gov.bi,Could not resolve host: booking.cousp-minisante.gov.bi,none
booking.minisante.gov.bi,gov.bi,Could not resolve host: booking.minisante.gov.bi,none
booking.tourisme.gov.bi,gov.bi,Could not resolve host: booking.tourisme.gov.bi,none
bubanza.burundi.gov.bi,gov.bi,Could not resolve host: bubanza.burundi.gov.bi,none
bujumbura.burundi.gov.bi,gov.bi,Could not resolve host: bujumbura.burundi.gov.bi,none
burund.justice.gov.bi,gov.bi,Could not resolve host: burund.justice.gov.bi,none
burundi.gov.bi,gov.bi,200,none
burundi.justice.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
burundicaucus2021.gov.bi,gov.bi,Could not resolve host: burundicaucus2021.gov.bi,none
burundiconference.gov.bi,gov.bi,Could not resolve host: burundiconference.gov.bi,none
carina.vicepresidence2.gov.bi,gov.bi,Could not resolve host: carina.vicepresidence2.gov.bi,none
carp.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
carp.cousp.minisante.gov.bi.cousp-minisante.gov.bi,gov.bi,Could not resolve host: carp.cousp.minisante.gov.bi.cousp-minisante.gov.bi,none
carp.minisante.gov.bi,gov.bi,Could not resolve host: carp.minisante.gov.bi,none
carpe.cousp-minisante.gov.bi,gov.bi,Could not resolve host: carpe.cousp-minisante.gov.bi,none
cnca.burundiconference.gov.bi,gov.bi,Could not resolve host: cnca.burundiconference.gov.bi,none
cnca16.gov.bi.burundiconference.gov.bi,gov.bi,Could not resolve host: cnca16.gov.bi.burundiconference.gov.bi,none
cnps.gov.bi,gov.bi,Operation timed out after 3000 milliseconds with 0 bytes received,none
cnsti.mesrs.gov.bi,gov.bi,Could not resolve host: cnsti.mesrs.gov.bi,none
communegitega.gov.bi,gov.bi,Could not resolve host: communegitega.gov.bi,none
conferencebdi.burundiconference.gov.bi,gov.bi,Could not resolve host: conferencebdi.burundiconference.gov.bi,none
consulateburundi-dubai.mae.gov.bi,gov.bi,403,none
consulatedubai.mae.gov.bi,gov.bi,Could not resolve host: consulatedubai.mae.gov.bi,none
cousp-minisante.gov.bi,gov.bi,Could not resolve host: cousp-minisante.gov.bi,none
cousp.minisante.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cousp.minisante.cousp-minisante.gov.bi,none
cousp.minisante.gov.bi,gov.bi,Could not resolve host: cousp.minisante.gov.bi,none
covid.cousp-minisante.gov.bi,gov.bi,Could not resolve host: covid.cousp-minisante.gov.bi,none
covid19.cousp-minisante.gov.bi,gov.bi,Could not resolve host: covid19.cousp-minisante.gov.bi,none
covid19info.gov.bi,gov.bi,Could not resolve host: covid19info.gov.bi,none
cpanel.agasandugu.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
cpanel.amategeko.gov.bi,gov.bi,Could not resolve host: cpanel.amategeko.gov.bi,none
cpanel.arcp.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpanel.arcp.gov.bi',none
cpanel.bonnegouvernance.gov.bi,gov.bi,Could not resolve host: cpanel.bonnegouvernance.gov.bi,none
cpanel.carpe.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
cpanel.cnps.gov.bi,gov.bi,Could not resolve host: cpanel.cnps.gov.bi,none
cpanel.communegitega.gov.bi,gov.bi,Could not resolve host: cpanel.communegitega.gov.bi,none
cpanel.covid.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpanel.covid.cousp-minisante.gov.bi,none
