subdomain,http_status,mx
2012.jaarverslag.financien.belgium.be,200,none
2012.rapportannuel.finances.belgium.be,200,none
2013.jaarverslag.financien.belgium.be,200,none
2013.rapportannuel.finances.belgium.be,200,none
2014.jaarverslag.financien.belgium.be,200,none
2014.rapportannuel.finances.belgium.be,200,none
2015.jaarverslag.financien.belgium.be,200,none
2015.rapportannuel.finances.belgium.be,200,none
2016.jaarverslag.financien.belgium.be,200,none
2016.rapportannuel.finances.belgium.be,200,none
2017.jaarverslag.financien.belgium.be,200,none
2017.rapportannuel.finances.belgium.be,200,none
2018.jaarverslag.finances.belgium.be,Could not resolve host: 2018.jaarverslag.finances.belgium.be,none
2018.jaarverslag.financien.belgium.be,200,none
2018.rapportannuel.finances.belgium.be,200,none
acc.scope.belgium.be,Connection timed out after 3002 milliseconds,none
accbeconnected.belgium.be,Could not resolve host: accbeconnected.belgium.be,none
adviesraadouderen.belgium.be,301,none
afriquedusud.diplomatie.belgium.be,302,none
algeria.diplomatie.belgium.be,Operation timed out after 3002 milliseconds with 0 bytes received,none
algerie.diplomatie.belgium.be,302,none
algerije.diplomatie.belgium.be,302,none
allemagne.diplomatie.belgium.be,302,none
angola.diplomatie.belgium.be,302,none
api.infocenter.belgium.be,404,none
applics.eid.belgium.be,Connection timed out after 3002 milliseconds,none
applics.stage-eid.belgium.be,Connection timed out after 3002 milliseconds,none
apps.digital.belgium.be,503,none
arabiesaoudite.diplomatie.belgium.be,302,none
argentina.diplomatie.belgium.be,302,none
argentine.diplomatie.belgium.be,302,none
argentinie.diplomatie.belgium.be,Could not resolve host: argentinie.diplomatie.belgium.be,none
assets.socialsecurity.belgium.be,200,none
australia.diplomatie.belgium.be,302,none
australie.diplomatie.belgium.be,302,none
austria.diplomatie.belgium.be,Could not resolve host: austria.diplomatie.belgium.be,none
auth.gcloud.belgium.be,404,none
autodiscover.employment.belgium.be,Could not resolve host: autodiscover.employment.belgium.be,none
autodiscover.gcloud.belgium.be,Could not resolve host: autodiscover.gcloud.belgium.be,none
autriche.diplomatie.belgium.be,Could not resolve host: autriche.diplomatie.belgium.be,none
av.p-o.belgium.be,Connection timed out after 3002 milliseconds,none
azerbaidjan.diplomatie.belgium.be,302,none
azerbaijan.diplomatie.belgium.be,Could not resolve host: azerbaijan.diplomatie.belgium.be,none
azerbeidzjan.diplomatie.belgium.be,302,none
banners.belgium.be,Could not resolve host: banners.belgium.be,none
beconnected.belgium.be,Could not resolve host: beconnected.belgium.be,5 mailgate.fediap.be.
belgium.be,301,10 relay2-shs.fed.be.; 10 relay-shs.fed.be.
belrai.belgium.be,Could not resolve host: belrai.belgium.be,none
benin.diplomatie.belgium.be,302,none
bib.belgium.be,Could not resolve host: bib.belgium.be,none
bienarrondir.belgium.be,Could not resolve host: bienarrondir.belgium.be,none
biometrie.diplomatie.belgium.be,Could not resolve host: biometrie.diplomatie.belgium.be,none
boete.ta.belgium.be,Connection timed out after 3002 milliseconds,none
bosniaherzegovina.diplomatie.belgium.be,Could not resolve host: bosniaherzegovina.diplomatie.belgium.be,none
brasil.diplomatie.belgium.be,302,none
brazil.diplomatie.belgium.be,Could not resolve host: brazil.diplomatie.belgium.be,none
brazilie.diplomatie.belgium.be,302,none
bresil.diplomatie.belgium.be,302,none
bulgaria.diplomatie.belgium.be,302,none
bulgarie.diplomatie.belgium.be,Could not resolve host: bulgarie.diplomatie.belgium.be,none
bulgarije.diplomatie.belgium.be,Could not resolve host: bulgarije.diplomatie.belgium.be,none
burkinafaso.diplomatie.belgium.be,302,none
burundi.diplomatie.belgium.be,Could not resolve host: burundi.diplomatie.belgium.be,none
business.belgium.be,302,none
cameroon.diplomatie.belgium.be,Could not resolve host: cameroon.diplomatie.belgium.be,none
cameroun.diplomatie.belgium.be,302,none
canada.diplomatie.belgium.be,Could not resolve host: canada.diplomatie.belgium.be,none
capsule01.gcloud.belgium.be,Could not resolve host: capsule01.gcloud.belgium.be,none
cass.justice.belgium.be,Could not resolve host: cass.justice.belgium.be,none
cass.justitie.belgium.be,Could not resolve host: cass.justitie.belgium.be,none
ccb.belgium.be,200,10 relay-shs.fed.be.; 20 relay2-shs.fed.be.
certif.belgium.be,Could not resolve host: certif.belgium.be,none
certif.iamfas.belgium.be,302,none
certif.iamfas.int.belgium.be,302,none
certif.iamfas.qa.belgium.be,302,none
cgra.belgium.be,301,none
cgvs.belgium.be,Could not resolve host: cgvs.belgium.be,none
chile.diplomatie.belgium.be,Could not resolve host: chile.diplomatie.belgium.be,none
chili.diplomatie.belgium.be,Could not resolve host: chili.diplomatie.belgium.be,none
china.diplomatie.belgium.be,302,none
chine.diplomatie.belgium.be,302,none
chips.eid.belgium.be,Could not resolve host: chips.eid.belgium.be,none
chips.stage-eid.belgium.be,Connection timed out after 3002 milliseconds,none
cidd.belgium.be,Could not resolve host: cidd.belgium.be,none
ckr.belgium.be,301,none
cloud.digital.belgium.be,Could not resolve host: cloud.digital.belgium.be,none
cloudforms.gcloud.belgium.be,Could not resolve host: cloudforms.gcloud.belgium.be,none
cnde.belgium.be,Could not resolve host: cnde.belgium.be,none
collaboration.gcloud.belgium.be,Could not resolve host: collaboration.gcloud.belgium.be,none
colombia.diplomatie.belgium.be,302,none
colombie.diplomatie.belgium.be,Could not resolve host: colombie.diplomatie.belgium.be,none
comcertif.iamfas.belgium.be,Could not resolve host: comcertif.iamfas.belgium.be,none
comcertif.iamfas.int.belgium.be,Could not resolve host: comcertif.iamfas.int.belgium.be,none
comcertif.iamfas.qa.belgium.be,301,none
commissiearbeidsrelaties.belgium.be,Could not resolve host: commissiearbeidsrelaties.belgium.be,none
commissionrelationstravail.belgium.be,Could not resolve host: commissionrelationstravail.belgium.be,none
complaints.p-o.belgium.be,Could not resolve host: complaints.p-o.belgium.be,none
congo-brazzaville.diplomatie.belgium.be,302,none
conseildesaines.belgium.be,301,none
conseilsuperieurvolontaires.belgium.be,Could not resolve host: conseilsuperieurvolontaires.belgium.be,none
consular.diplomatie.belgium.be,Could not resolve host: consular.diplomatie.belgium.be,none
consultativebodies.health.belgium.be,301,none
controleemployeur.digiflow.belgium.be,Could not resolve host: controleemployeur.digiflow.belgium.be,none
controlewerkgever.digiflow.belgium.be,Connection timed out after 3002 milliseconds,none
cotedivoire.diplomatie.belgium.be,302,none
crescendo.belgium.be,403,none
croatia.diplomatie.belgium.be,Could not resolve host: croatia.diplomatie.belgium.be,none
croatie.diplomatie.belgium.be,Could not resolve host: croatie.diplomatie.belgium.be,none
cuba.diplomatie.belgium.be,302,none
cyberguide.ccb.belgium.be,Could not resolve host: cyberguide.ccb.belgium.be,none
czechrepublic.diplomatie.belgium.be,302,none
dailin.p-o.belgium.be,Could not resolve host: dailin.p-o.belgium.be,none
danemark.diplomatie.belgium.be,302,none
data.belgium.be,301,none
dc.digital.belgium.be,Could not resolve host: dc.digital.belgium.be,none
demo.test.eid.belgium.be,Connection timed out after 3002 milliseconds,none
denemarken.diplomatie.belgium.be,Could not resolve host: denemarken.diplomatie.belgium.be,none
denmark.diplomatie.belgium.be,Operation timed out after 3002 milliseconds with 0 bytes received,none
deutschland.diplomatie.belgium.be,302,none
digiflow-mm.ta.belgium.be,Could not resolve host: digiflow-mm.ta.belgium.be,none
digiflow.belgium.be,Could not resolve host: digiflow.belgium.be,none
digiflowacc.belgium.be,SSL: no alternative certificate subject name matches target hostname 'digiflowacc.belgium.be',none
digital.belgium.be,Could not resolve host: digital.belgium.be,none
digitaldashboard.belgium.be,301,none
dist.eid.belgium.be,200,none
downloads.services.belgium.be,Connection timed out after 3002 milliseconds,none
drcongo.diplomatie.belgium.be,302,none
drivers.eid.belgium.be,Could not resolve host: drivers.eid.belgium.be,none
drivers.stage-eid.belgium.be,Could not resolve host: drivers.stage-eid.belgium.be,none
dt.bosa.belgium.be,Could not resolve host: dt.bosa.belgium.be,none
dtoservices.bosa.belgium.be,Could not resolve host: dtoservices.bosa.belgium.be,none
dtservices.bosa.belgium.be,301,none
duitsland.diplomatie.belgium.be,Could not resolve host: duitsland.diplomatie.belgium.be,none
ebirth-city.belgium.be,403,none
ebirth-hospital.belgium.be,403,none
ebirth-medicalform.pr.belgium.be,Could not resolve host: ebirth-medicalform.pr.belgium.be,none
ebirth-medicalform.ta.belgium.be,Connection timed out after 3002 milliseconds,none
ebirth.belgium.be,Could not resolve host: ebirth.belgium.be,none
ecommunities.belgium.be,Could not resolve host: ecommunities.belgium.be,none
edrl.belgium.be,301,none
efacturatie.belgium.be,Could not resolve host: efacturatie.belgium.be,none
efacturation.belgium.be,301,none
efacture.belgium.be,Could not resolve host: efacture.belgium.be,none
efacturer.belgium.be,301,none
efactureren.belgium.be,301,none
efactuur.belgium.be,Could not resolve host: efactuur.belgium.be,none
egypt.diplomatie.belgium.be,302,none
egypte.diplomatie.belgium.be,302,none
ehr.belgium.be,Could not resolve host: ehr.belgium.be,none
einvoice.belgium.be,301,none
einvoicing.belgium.be,301,none
elections.belgium.be,Could not resolve host: elections.belgium.be,none
elections2003.belgium.be,301,none
elections2004.belgium.be,Could not resolve host: elections2004.belgium.be,none
elections2007.belgium.be,Could not resolve host: elections2007.belgium.be,none
emiratsarabesunis.diplomatie.belgium.be,Could not resolve host: emiratsarabesunis.diplomatie.belgium.be,none
end.dev.eid.belgium.be,Could not resolve host: end.dev.eid.belgium.be,none
env.dev.eid.belgium.be,Could not resolve host: env.dev.eid.belgium.be,none
espagne.diplomatie.belgium.be,Could not resolve host: espagne.diplomatie.belgium.be,none
espana.diplomatie.belgium.be,302,none
etats-unis.diplomatie.belgium.be,Could not resolve host: etats-unis.diplomatie.belgium.be,none
ethiopia.diplomatie.belgium.be,Could not resolve host: ethiopia.diplomatie.belgium.be,none
ethiopie.diplomatie.belgium.be,Could not resolve host: ethiopie.diplomatie.belgium.be,none
eupuzzle.diplomatie.belgium.be,Could not resolve host: eupuzzle.diplomatie.belgium.be,none
europeanelections.belgium.be,Could not resolve host: europeanelections.belgium.be,none
europeanunion.diplomatie.belgium.be,302,none
events.employment.belgium.be,301,none
extranets.belgium.be,Could not resolve host: extranets.belgium.be,none
fas.services.belgium.be,Could not resolve host: fas.services.belgium.be,10 smtp-in-a.mss.belgium.be.; 10 smtp-in-b.mss.belgium.be.
fas.services.ta.belgium.be,Could not resolve host: fas.services.ta.belgium.be,none
