type,label,website,hostname,level
government_agency,Actiris,https://www.actiris.brussels/,actiris.brussels,central-1
government_agency,Royal Belgian Institute for Space Aeronomy,https://www.aeronomie.be/,aeronomie.be,
government_agency,Agence wallonne du Patrimoine,https://agencewallonnedupatrimoine.be/,agencewallonnedupatrimoine.be,central-1
government_agency,Agency for Maritime and Coastal Services,https://www.agentschapmdk.be/,agentschapmdk.be,
government_agency,Directorate-General for Agriculture and Rural Development,https://agriculture.ec.europa.eu,agriculture.ec.europa.eu,local
government_agency,"Embassy of Algeria, Brussels",http://algerian-embassy.be/,algerian-embassy.be,central
government_agency,embassy of Niger in Belgium,http://ambaniger-bruxelles.be/,ambaniger-bruxelles.be,central
government_agency,embassy of Rwanda in Belgium,https://www.ambarwanda.be/,ambarwanda.be,central
government_agency,"Embassy of Albania, Brussels",https://ambasadat.gov.al/belgium/,ambasadat.gov.al,central
government_agency,embassy of Burkina Faso in Belgium,https://www.ambassadeduburkinafaso.be,ambassadeduburkinafaso.be,central
government_agency,embassy of Togo in Belgium,http://ambatogobruxelles.be/,ambatogobruxelles.be,central
government_agency,embassy of Italy in Belgium,https://ambbruxelles.esteri.it,ambbruxelles.esteri.it,central
government_agency,European Anti-Fraud Office,https://anti-fraud.ec.europa.eu/,anti-fraud.ec.europa.eu,local
government_agency,Emergency zone Antwerp-Zwijndrecht,https://www.antwerpen.be/nl/overzicht/brandweer,antwerpen.be,
government_agency,"Consulate General of Turkey, Antwerp",https://anvers-bk.mfa.gov.tr,anvers-bk.mfa.gov.tr,
government_agency,Walloon agency for the promotion of quality agriculture,https://www.apaqw.be/fr,apaqw.be,
government_agency,Authority for European Political Parties and European Political Foundations,http://www.appf.europa.eu,appf.europa.eu,local
government_agency,State Archives in Bruges,http://arch.arch.be,arch.arch.be,
government_agency,Algemeen rijksarchief en rijksarchief in de provinciën Rijksarchief Beveren,http://arch.arch.be,arch.arch.be,
government_agency,Algemeen Rijksarchief en Rijksarchief in de Provinciën Anderlecht,http://arch.arch.be,arch.arch.be,
government_agency,Algemeen Rijksarchief en Rijksarchief in de Provinciën Leuven,http://arch.arch.be,arch.arch.be,
government_agency,State Archives in Kortrijk,http://www.arch.be,arch.be,
government_agency,Algemeen Rijksarchief en Rijksarchief in de Provinciën Antwerpen,http://www.arch.be,arch.be,
government_agency,Algemeen Rijksarchief en Rijksarchief in de Provinciën Hasselt,http://www.arch.be,arch.be,
government_agency,National Archives of Belgium,http://www.arch.be/,arch.be,
government_agency,State Archives in Ghent,http://www.arch.be,arch.be,
government_agency,State Archives of Belgium,https://www.arch.be/,arch.be,
government_agency,Academie Royale de Langue et de littérature Françaises,http://www.arllfb.be,arllfb.be,
government_agency,Public Waste Agency of Brussels,https://www.arp-gan.be,arp-gan.be,
government_agency,Police Zone ARRO Ieper,https://www.arroieper.be/,arroieper.be,
government_agency,Q136315401,https://aseva.be/nl/,aseva.be,
government_agency,Q136315401,https://aseva.be/fr/,aseva.be,
government_agency,Q136315401,https://aseva.be,aseva.be,
government_agency,Athumi,https://athumi.eu/,athumi.eu,
government_agency,Audit Flanders,https://www.auditvlaanderen.be/,auditvlaanderen.be,central-1
government_agency,Data Protection Authority,https://www.autoriteprotectiondonnees.be/,autoriteprotectiondonnees.be,central
government_agency,Nuclear Safety Institute,http://www.avn.be/,avn.be,
government_agency,Walloon Export and Foreign Investment Agency,http://www.awex.be/,awex.be,central-1
government_agency,Belgian Court of Arbitration for Sport,http://www.bas-cbas.be/,bas-cbas.be,central
government_agency,"Embassy of France, Brussels",https://be.ambafrance.org/,be.ambafrance.org,central
government_agency,Brussels Mobility,https://be.brussels/fr/transport-mobilite,be.brussels,central-1
government_agency,Government of the Brussels-Capital Region,https://be.brussels/about-the-region/the-government-of-the-region,be.brussels,central-1
government_agency,Brussels Mobility,https://be.brussels/en/transport-mobility,be.brussels,central-1
ministry,Brussels Mobility,https://be.brussels/nl/transport-mobiliteit,be.brussels,central-1
government_agency,Brussels Mobility,https://be.brussels/nl/transport-mobiliteit,be.brussels,central-1
ministry,Brussels Mobility,https://be.brussels/fr/transport-mobilite,be.brussels,central-1
