type,label,website,hostname,level
constitutional_court,Government of the Brussels-Capital Region,https://be.brussels/about-the-region/the-government-of-the-region,be.brussels,central-1
supreme_court,Benelux Parliament,https://www.beneluxparl.eu/nl/,beneluxparl.eu,
supreme_court,Benelux Parliament,https://www.beneluxparl.eu/fr/,beneluxparl.eu,
parliament,Benelux Parliament,https://www.beneluxparl.eu/nl/,beneluxparl.eu,
parliament,Benelux Parliament,https://www.beneluxparl.eu/fr/,beneluxparl.eu,
constitutional_court,European Commission,https://commission.europa.eu/,commission.europa.eu,local
parliament,Council of the European Union,https://www.consilium.europa.eu/,consilium.europa.eu,local
constitutional_court,Council of the European Union,https://www.consilium.europa.eu/,consilium.europa.eu,local
ministry,Ministry of the German-speaking Community,http://www.dglive.be/,dglive.be,
parliament,European Jewish Parliament,http://ejp.eu,ejp.eu,
supreme_court,European Jewish Parliament,http://ejp.eu,ejp.eu,
constitutional_court,equal.brussels,https://equal.brussels,equal.brussels,central-1
ministry,"Department of Economy, Sciency & Innovation",https://www.ewi-vlaanderen.be/en,ewi-vlaanderen.be,
ministry,"Department of Economy, Sciency & Innovation",https://www.ewi-vlaanderen.be/,ewi-vlaanderen.be,
constitutional_court,Government of the French Community,https://gouvernement.cfwb.be/,gouvernement.cfwb.be,central-1
constitutional_court,Government of Wallonia,http://gouvernement.wallonie.be/,gouvernement.wallonie.be,central-1
parliament,NATO Parliamentary Assembly,https://www.nato-pa.int/,nato-pa.int,
supreme_court,NATO Parliamentary Assembly,https://www.nato-pa.int/,nato-pa.int,
constitutional_court,Government of the German-speaking Community,http://www.ostbelgienlive.be/desktopdefault.aspx/tabid-218/8563_read-50493/,ostbelgienlive.be,central-1
supreme_court,Parliament of Wallonia,https://www.parlement-wallonie.be/,parlement-wallonie.be,central-1
parliament,Parliament of Wallonia,https://www.parlement-wallonie.be/,parlement-wallonie.be,central-1
parliament,Parliament of the Brussels-Capital Region,https://www.parlement.brussels/,parlement.brussels,central-1
supreme_court,Parliament of the Brussels-Capital Region,https://www.parlement.brussels/,parlement.brussels,central-1
parliament,Parliament of the German-speaking Community,https://pdg.be/,pdg.be,central-1
supreme_court,Parliament of the German-speaking Community,https://pdg.be/,pdg.be,central-1
parliament,French-speaking Brussels Parliament,http://www.pfb.irisnet.be,pfb.irisnet.be,local
supreme_court,Parliament of the French Community,https://www.pfwb.be/,pfwb.be,central-1
parliament,Parliament of the French Community,https://www.pfwb.be/,pfwb.be,central-1
parliament,Assembly of the Flemish Community Commission,https://www.raadvgc.be/,raadvgc.be,local
parliament,Flemish Parliament,https://www.vlaamsparlement.be,vlaamsparlement.be,central-1
supreme_court,Flemish Parliament,https://www.vlaamsparlement.be,vlaamsparlement.be,central-1
ministry,"Department for Culture, Youth and Media",http://www.vlaanderen.be/cjm/nl,vlaanderen.be,
constitutional_court,Flemish Government,https://www.vlaanderen.be/vlaamse-regering,vlaanderen.be,local
