subdomain,mx
acaib.social.gouv.bj,none
activities.gouv.bj,none
admin.sitetest.agriculture.gouv.bj,none
admindpp.agriculture.gouv.bj,none
admindsa.agriculture.gouv.bj,none
adminfnda.agriculture.gouv.bj,none
adminsgm.agriculture.gouv.bj,none
adminstpcnos.agriculture.gouv.bj,none
agriculture.gouv.bj,0 agriculture-gouv-bj.mail.protection.outlook.com.
alafia.gouv.bj,none
allogo.social.gouv.bj,none
anapi.gouv.bj,none
ansr.gouv.bj,none
api.bibliotheque.social.gouv.bj,none
api.courrier.travail.gouv.bj,none
api.formation.gouv.bj,none
api.maindoeuvre.gouv.bj,none
api.managemtfp.gouv.bj,none
api.ressources-eau.gouv.bj,none
api.sanctionpublic.gouv.bj,none
api.simrhmasm.social.gouv.bj,none
api.sitetest.agriculture.gouv.bj,none
api.vacciform.gouv.bj,none
apicnhu.gouv.bj,none
apidpp.agriculture.gouv.bj,none
apidsa.agriculture.gouv.bj,none
apifnda.agriculture.gouv.bj,none
apisgm.agriculture.gouv.bj,none
apisidoffe-ng.social.gouv.bj,none
apistpcnos.agriculture.gouv.bj,none
artisanat.gouv.bj,none
asfep.gouv.bj,none
ask.gouv.bj,none
autodiscover.communication.gouv.bj,none
autodiscover.gouv.bj,none
back.guvmtfp.gouv.bj,none
backend-sgifd.gouv.bj,none
bai.gouv.bj,none
be-evisa-ng.gouv.bj,none
be-evisa.gouv.bj,none
bibliotheque.social.gouv.bj,none
bip.gouv.bj,none
bip.plan.gouv.bj,none
bjidoc.gouv.bj,none
bo-evisa-ng.gouv.bj,none
bo-evisa.gouv.bj,none
bourses.enseignementsuperieur.gouv.bj,none
cadredevie.gouv.bj,none
cagw-pki.gouv.bj,none
carriere.gouv.bj,none
carrieres.gouv.bj,none
carrieres.travail.gouv.bj,none
catis.gouv.bj,none
catistest.gouv.bj,none
cnhu.gouv.bj,none
cnls-tp.gouv.bj,none
commerce.gouv.bj,none
