type,label,website,hostname,level
government_agency,Anti-Corruption Commission,http://www.acc.org.bd/,acc.org.bd,
government_agency,Bangladesh Bank,http://www.bangladesh-bank.org,bangladesh-bank.org,
government_agency,embassy of Russia in Bangladesh,https://bangladesh.mid.ru,bangladesh.mid.ru,central
government_agency,embassy of Denmark in Dhaka,https://bangladesh.um.dk/,bangladesh.um.dk,central
government_agency,"Embassy of France, Dhaka",https://bd.ambafrance.org/,bd.ambafrance.org,central
government_agency,"Embassy of the People’s Republic of China, Dhaka",http://bd.china-embassy.org,bd.china-embassy.org,central
government_agency,"High Commission of the Maldives, Dhaka",https://bd.mdvmission,bd.mdvmission,
government_agency,"Embassy of the United States, Dhaka",https://bd.usembassy.gov/,bd.usembassy.gov,central
government_agency,Bangladesh Institute of Development Studies,http://www.bids.org.bd,bids.org.bd,
government_agency,"Office of the Comptroller and Auditor General, Bangladesh",http://www.cagbd.org/,cagbd.org,
government_agency,Chattogram City Corporation,http://ccc.org.bd/,ccc.org.bd,
constitutional_court,Chattogram City Corporation,http://ccc.org.bd/,ccc.org.bd,
constitutional_court,Cumilla City Corporation,http://comillacitycorporation.org,comillacitycorporation.org,
government_agency,Cumilla City Corporation,http://comillacitycorporation.org,comillacitycorporation.org,
government_agency,"Embassy of Germany, Bangladesh",https://dhaka.diplo.de,dhaka.diplo.de,central
government_agency,"Embassy of Afghanistan, Dhaka",http://dhaka.mfa.af,dhaka.mfa.af,central
government_agency,"Embassy of Thailand, Dhaka",https://dhaka.thaiembassy.org/en/index,dhaka.thaiembassy.org,central
government_agency,"Embassy of Thailand, Dhaka",https://dhaka.thaiembassy.org/th/index,dhaka.thaiembassy.org,central
government_agency,Dhaka WASA,http://www.dwasa.org.bd/,dwasa.org.bd,
government_agency,Delegation of the European Union to Bangladesh,https://eeas.europa.eu/delegations/bangladesh_en,eeas.europa.eu,
constitutional_court,Gazipur City Corporation,http://gazipurcity.com,gazipurcity.com,
government_agency,Gazipur City Corporation,http://gazipurcity.com,gazipurcity.com,
government_agency,International Crimes Tribunal (Bangladesh),http://www.ict-bd.org/,ict-bd.org,
government_agency,Khulna City Corporation,http://www.khulnacity.org,khulnacity.org,
constitutional_court,Khulna City Corporation,http://www.khulnacity.org,khulnacity.org,
government_agency,"Embassy of the United Arab Emirates, Dhaka",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=4815c268-40ea-4590-841e-596822b34bcd,mofaic.gov.ae,central
government_agency,National Book Centre,http://www.nbc.org.bd/,nbc.org.bd,
government_agency,"Embassy of the Netherlands, Dhaka",https://www.nederlandwereldwijd.nl/landen/bangladesh/over-ons/nederlandse-ambassade-in-dhaka,nederlandwereldwijd.nl,central
government_agency,"Embassy of the Netherlands, Dhaka",http://www.netherlandsembassydhaka.org/,netherlandsembassydhaka.org,central
government_agency,National Human Rights Commission of Bangladesh,http://www.nhrc.org.bd/,nhrc.org.bd,
government_agency,"Embassy of Norway, Dhaka",https://www.norway.no/en/bangladesh,norway.no,central
government_agency,"Embassy of Palestine, Dhaka",https://palestinemissionbd.com/,palestinemissionbd.com,central
government_agency,"Embassy of Sweden, Dhaka",https://www.swedenabroad.se/sv/utlandsmyndigheter/bangladesh-dhaka/,swedenabroad.se,central
government_agency,Zila Parishad Chittagong,http://zpchittagong.org/,zpchittagong.org,
