subdomain,parent_domain,http_status,mx
ahu.gov.bg,gov.bg,SSLHandshakeException > CertificateException: No subject alternative DNS name matching ahu.gov.bg found.,
aksu.gov.bg,gov.bg,301,
anti-doping.gov.bg,gov.bg,301,
apo.gov.bg,gov.bg,307,none
apostille.gov.bg,gov.bg,200,none
asp.gov.bg,gov.bg,301,
auth-cixpbg.gov.bg,gov.bg,Could not resolve host: auth-cixpbg.gov.bg,none
auth-stg.cixpbg.gov.bg,gov.bg,Connection timed out after 3000 milliseconds,none
auth.cixpbg.gov.bg,gov.bg,Connection timed out after 3002 milliseconds,none
autodiscover.efc.gov.bg,gov.bg,302,
autodiscover.sars.gov.bg,gov.bg,302,none
autodiscover.stz.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
backend.cixpbg.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,10 backend.cixpbg.gov.bg.
bm.cixpbg.gov.bg,gov.bg,Could not resolve host: bm.cixpbg.gov.bg,none
bm.mgt.cixpbg.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
bs.gov.bg,gov.bg,200,none
cixpbg.gov.bg,gov.bg,Connection timed out after 3002 milliseconds,10 backend.cixpbg.gov.bg.
cpanel.sars.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
cpanel.stz.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
cpcalendars.stz.riew.gov.bg,gov.bg,Could not resolve host: cpcalendars.stz.riew.gov.bg,none
cpcontacts.stz.riew.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
damtn.gov.bg,gov.bg,301,
dev.mig.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,10 mg1.egov.bg.; 10 mg2.egov.bg.; 20 mg3.egov.bg.
download-mail.efc.gov.bg,gov.bg,302,
egov.gov.bg,gov.bg,301,
email.efc.gov.bg,gov.bg,302,
gis.sars.gov.bg,gov.bg,200,none
gli.gov.bg,gov.bg,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
gov.bg,gov.bg,200,none
gw.plovdiv.gov.bg,gov.bg,Connection timed out after 3001 milliseconds,none
iara.gov.bg,gov.bg,301,
iasas.gov.bg,gov.bg,301,
incolab.vt.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
investbg.gov.bg,gov.bg,301,
ipa.gov.bg,gov.bg,301,
is.la.gov.bg,gov.bg,Connection timed out after 3001 milliseconds,none
islastor.gov.bg,gov.bg,Connection timed out after 3002 milliseconds,none
justice.gov.bg,gov.bg,301,
logan.cixpbg.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
login.iamn.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
mail.bs.gov.bg,gov.bg,Could not resolve host: mail.bs.gov.bg,none
mail.efc.gov.bg,gov.bg,302,
mail.plovdiv.riew.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
mail.sars.gov.bg,gov.bg,302,none
mail.stz.riew.e-gov.bg,gov.bg,SSL: no alternative certificate subject name matches target hostname 'mail.stz.riew.e-gov.bg',none
mail.stz.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
manager-cixpbg.gov.bg,gov.bg,Could not resolve host: manager-cixpbg.gov.bg,none
manager-stg.cixpbg.gov.bg,gov.bg,Connection timed out after 3000 milliseconds,none
manager.cixpbg.gov.bg,gov.bg,Connection timed out after 3001 milliseconds,none
mc.gov.bg,gov.bg,301,
me.gov.bg,gov.bg,301,
mgt.cixpbg.gov.bg,gov.bg,Connection timed out after 3001 milliseconds,none
mgt.stg.cixpbg.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
mgt.stg2.cixpbg.gov.bg,gov.bg,Connection timed out after 3000 milliseconds,none
mh.gov.bg,gov.bg,301,
mi.gov.bg,gov.bg,301,
micmrc.gov.bg,gov.bg,301,
mig.gov.bg,gov.bg,301,none
mlsp.gov.bg,gov.bg,301,
moew.gov.bg,gov.bg,301,
mpes.gov.bg,gov.bg,301,
msoft.gov.bg,gov.bg,Connection timed out after 3002 milliseconds,none
mtc.gov.bg,gov.bg,301,
mzh.gov.bg,gov.bg,301,
navet.gov.bg,gov.bg,301,
neaa.gov.bg,gov.bg,301,
new.stz.riew.gov.bg,gov.bg,Could not resolve host: new.stz.riew.gov.bg,none
nio.gov.bg,gov.bg,301,
ocp-reg.soc.nssa.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
owa.iamn.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
plovdiv.gov.bg,gov.bg,Could not resolve host: plovdiv.gov.bg,none
plovdiv.riew.gov.bg,gov.bg,200,none
rta.gov.bg,gov.bg,301,
sacp.gov.bg,gov.bg,301,
sars.gov.bg,gov.bg,301,none
seea.gov.bg,gov.bg,301,
sipbg.gov.bg,gov.bg,200,none
sir.nssa.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
sme.gov.bg,gov.bg,301,
soc.nssa.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,10 soc.nssa.gov.bg.
srv23.plovdiv.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
stg-mgt.cixpbg.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
stg.cixpbg.gov.bg,gov.bg,Connection timed out after 3001 milliseconds,none
stg2.cixpbg.gov.bg,gov.bg,Could not resolve host: stg2.cixpbg.gov.bg,none
stz.riew.e-gov.bg,gov.bg,SSL: no alternative certificate subject name matches target hostname 'stz.riew.e-gov.bg',none
stz.riew.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,10 spamexpert01.host.bg.; 10 spamexpert02.host.bg.
survey.ukraine.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
test-sipbg.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
tourism.gov.bg,gov.bg,301,
vt.riew.gov.bg,gov.bg,200,none
webdisk.stz.riew.gov.bg,gov.bg,Could not resolve host: webdisk.stz.riew.gov.bg,none
webmail.efc.gov.bg,gov.bg,302,
webmail.stz.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
www.bs.gov.bg,gov.bg,200,none
www.gli.gov.bg,gov.bg,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
www.ipa.gov.bg,gov.bg,301,
www.mig.gov.bg,gov.bg,301,none
www.mpes.gov.bg,gov.bg,301,
www.mzh.gov.bg,gov.bg,ConnectException > UnresolvedAddressException,
www.new.stz.riew.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
www.sacp.gov.bg,gov.bg,301,
www.sars.gov.bg,gov.bg,Could not resolve host: www.sars.gov.bg,none
www.sipbg.gov.bg,gov.bg,Resolving timed out after 3001 milliseconds,none
www.sme.gov.bg,gov.bg,SSLHandshakeException > CertificateException: No subject alternative DNS name matching www.sme.gov.bg found.,
www.stz.riew.e-gov.bg,gov.bg,SSL: no alternative certificate subject name matches target hostname 'www.stz.riew.e-gov.bg',10 mail.stz.riew.e-gov.bg.
www.stz.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
www.tourism.gov.bg,gov.bg,301,
www.ukraine.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
www.vt.riew.gov.bg,gov.bg,Resolving timed out after 3000 milliseconds,none
