type,label,website,hostname
ministry,"Ministry of Environment and Water","https://www.moew.government.bg/?show=226&lang=en",moew.government.bg
ministry,"Ministry of Environment and Water","https://www.moew.government.bg/en/?show=226&lang=en",moew.government.bg
ministry,"Ministry of Tourism","http://www.tourism.government.bg/",tourism.government.bg
ministry,"Ministry of Tourism","https://www.tourism.government.bg/en",tourism.government.bg
ministry,"Ministry of Foreign Affairs of Bulgaria","https://www.mfa.bg/",mfa.bg
ministry,"Ministry of Foreign Affairs of Bulgaria","https://www.mfa.bg/en/",mfa.bg
ministry,"Ministry of Electronic Government","https://egov.government.bg/",egov.government.bg
ministry,"Ministry of Defence of Bulgaria","https://www.mod.bg/",mod.bg
ministry,"Ministry of Finance","https://www.minfin.bg/",minfin.bg
ministry,"Ministry of Finance","https://www.minfin.bg/en/2",minfin.bg
ministry,"Ministry of Youth and Sports of Bulgaria","http://mpes.government.bg/",mpes.government.bg
ministry,"Ministry of Youth and Sports of Bulgaria","http://mpes.government.bg/Default.aspx",mpes.government.bg
ministry,"Ministry of Health of Bulgaria","https://www.mh.government.bg/bg/",mh.government.bg
ministry,"Ministry of Health of Bulgaria","https://www.mh.government.bg/en/",mh.government.bg
ministry,"Ministry of Regional Development and Public Works","https://www.mrrb.bg/",mrrb.bg
ministry,"Ministry of Regional Development and Public Works","https://www.mrrb.bg/en/",mrrb.bg
ministry,"Ministry of Labour and Social Policy","https://www.mlsp.government.bg/",mlsp.government.bg
ministry,"Ministry of Culture of Bulgaria","http://mc.government.bg/",mc.government.bg
ministry,"Ministry of Culture of Bulgaria","http://mc.government.bg/index.php?l=2",mc.government.bg
ministry,"Ministry of Transport, Information Technology and Communications","https://www.mtitc.government.bg/bg",mtitc.government.bg
ministry,"Ministry of Transport, Information Technology and Communications","https://www.mtitc.government.bg/en",mtitc.government.bg
ministry,"Ministry of Energy of Bulgaria","https://www.me.government.bg/bg",me.government.bg
ministry,"Ministry of Energy of Bulgaria","https://www.me.government.bg/en",me.government.bg
ministry,"Ministry of Interior of Bulgaria","https://www.mvr.bg/",mvr.bg
ministry,"Ministry of Interior of Bulgaria","https://www.mvr.bg/en/home",mvr.bg
ministry,"Ministry of Justice","https://www.justice.government.bg/",justice.government.bg
ministry,"Ministry of Education and Science of Bulgaria","https://mon.bg/",mon.bg
ministry,"Ministry of Education and Science of Bulgaria","https://mon.bg/en/",mon.bg
ministry,"Ministry of Economy and Industry","https://mi.government.bg/",mi.government.bg
ministry,"Ministry of Agriculture, Food and Forestry","http://www.mzh.government.bg",mzh.government.bg
ministry,"Ministry of Innovation and Growth","https://mig.government.bg/",mig.government.bg
parliament,"National Assembly of Bulgaria","https://www.parliament.bg",parliament.bg
supreme_court,"National Assembly of Bulgaria","https://www.parliament.bg",parliament.bg
