type,label,website,hostname,level
government_agency,Airport Authority of the Bahamas,https://www.airportsbahamas.com,airportsbahamas.com,
government_agency,"Ministry of Tourism, Investments and Aviation",https://www.bahamas.com,bahamas.com,central
ministry,"Ministry of Tourism, Investments and Aviation",https://www.bahamas.com,bahamas.com,central
government_agency,Bahamas Development Bank,https://bahamasdevelopmentbank.com/,bahamasdevelopmentbank.com,
government_agency,The Bahamas Maritime Authority,https://www.bahamasmaritime.com/,bahamasmaritime.com,
ministry,Ministry of Public Service,https://bahamaspublicservice.com/,bahamaspublicservice.com,
government_agency,Ministry of Public Service,https://bahamaspublicservice.com/,bahamaspublicservice.com,
government_agency,Bahamas Power and Light,https://www.bplco.com/,bplco.com,
government_agency,"Embassy of the United States, Nassau",https://bs.usembassy.gov,bs.usembassy.gov,central
government_agency,Civil Aviation Authority Bahamas,https://caabahamas.com/,caabahamas.com,
government_agency,Central Bank of The Bahamas,http://www.centralbankbahamas.com/,centralbankbahamas.com,
government_agency,Department of Public Health,https://www.dphbahamas.org/,dphbahamas.org,
ministry,Ministry of Energy and Transport,https://www.energyandtransportbahamas.com/,energyandtransportbahamas.com,
government_agency,Ministry of Energy and Transport,https://www.energyandtransportbahamas.com/,energyandtransportbahamas.com,
government_agency,Gaming Board for The Bahamas,https://www.gamingboardbahamas.com/,gamingboardbahamas.com,
government_agency,Ministry for Grand Bahama,https://www.ministryforgb.com,ministryforgb.com,
ministry,Ministry for Grand Bahama,https://www.ministryforgb.com,ministryforgb.com,
government_agency,Ministry of Education and Technical and Vocational Training,https://www.ministryofeducationbahamas.com,ministryofeducationbahamas.com,
ministry,Ministry of Education and Technical and Vocational Training,https://www.ministryofeducationbahamas.com,ministryofeducationbahamas.com,
ministry,Ministry of Housing and Urban Renewal,https://moh-ur.com/,moh-ur.com,central
government_agency,Ministry of Housing and Urban Renewal,https://moh-ur.com/,moh-ur.com,central
government_agency,National Emergency Management Agency,https://www.nema-bahamas.info,nema-bahamas.info,
government_agency,National Insurance Board of The Commonwealth of The Bahamas,https://www.nib-bahamas.com/,nib-bahamas.com,
government_agency,Public Hospitals Authority,https://www.phabahamas.org/,phabahamas.org,
government_agency,Royal Bahamas Police Force,https://www.royalbahamaspolice.org/,royalbahamaspolice.org,
government_agency,The Bahamas Trade Commission,https://trade-commission.netcluesdemo.com/,trade-commission.netcluesdemo.com,
government_agency,Water and Sewage Corporation,https://wsc.com.bs/,wsc.com.bs,
