hostname,http_status,mx
abe.bo,301,0 mail.abe.bo.
archivoybibliotecanacionales.org.bo,200,0 _dc-mx.9367ebfb1298.archivoybibliotecanacionales.org.bo.
bo.ambafrance.org,301,none
bo.chineseembassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching bo.chineseembassy.org found.,none
bolivia.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cancilleria.bo,ConnectException,none
consulado.pe,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 consulado-pe.mail.protection.outlook.com.
cubadiplomatica.cu,ConnectException,none
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
escolapiosbrasilbolivia.org,301,0 mail.escolapiosbrasilbolivia.org.
la-paz.diplo.de,200,10 mx1.bund.de.; 10 mx2.bund.de.
oep.org.bo,ConnectException,0 mail.oep.org.bo.
policia.bo,301,10 antispam1.megalink.com.
swedenabroad.se,301,none
tcpbolivia.bo,200,10 zimbra.tcpbolivia.bo.
tsj.bo,200,none
