type,label,website,hostname,level
constitutional_court,Government of Bolivia,https://bolivia.gob.bo/,bolivia.gob.bo,
ministry,Ministry of Foreign Affairs,http://www.cancilleria.bo/,cancilleria.bo,
ministry,Ministry of Economy and Public Finance,http://www.economiayfinanzas.gob.bo/,economiayfinanzas.gob.bo,
constitutional_court,Piarist province of Brazil-Bolivia,https://www.escolapiosbrasilbolivia.org,escolapiosbrasilbolivia.org,
ministry,Ministry of Justice of Bolivia,http://www.justicia.gob.bo,justicia.gob.bo,
ministry,Ministry of Hydrocarbons,https://www.mhe.gob.bo/,mhe.gob.bo,
ministry,Ministry of Cultures and Tourism,http://www.minculturas.gob.bo/,minculturas.gob.bo,
ministry,Ministry of Defence of Bolivia,http://www.mindef.gob.bo/,mindef.gob.bo,
ministry,Ministry of Sports of Bolivia,https://www.mindeportes.gob.bo/,mindeportes.gob.bo,
ministry,Ministry of Education,http://www.minedu.gob.bo/,minedu.gob.bo,
ministry,Ministry of Energy of Bolivia,https://www.minenergias.gob.bo/,minenergias.gob.bo,
ministry,Ministry of Mining and Metallurgy,http://www.mineria.gob.bo/,mineria.gob.bo,
ministry,Ministry of Government,http://www.mingobierno.gob.bo,mingobierno.gob.bo,
ministry,Ministry of Health,https://www.minsalud.gob.bo/,minsalud.gob.bo,
ministry,"Ministry of Work, Employment, and Social Security",https://www.mintrabajo.gob.bo/,mintrabajo.gob.bo,
ministry,Ministry of Environment and Water (Bolivia),http://www.mmaya.gob.bo/,mmaya.gob.bo,
ministry,"Ministry of Public Works, Services, and Housing",https://www.oopp.gob.bo,oopp.gob.bo,
ministry,Ministry of Development Planning,http://www.planificacion.gob.bo/,planificacion.gob.bo,
ministry,Ministry of the Presidency of Bolivia,http://www.presidencia.gob.bo/,presidencia.gob.bo,
ministry,Ministry of Productive Development and the Plural Economy,http://produccion.gob.bo/,produccion.gob.bo,
ministry,Ministry of Hydrocarbons,https://www3.hidrocarburos.gob.bo/,www3.hidrocarburos.gob.bo,
