domain,http_status,mx
ac.gov.br,SSLHandshakeException: (unrecognized_name) Received fatal alert: unrecognized_name,
al.gov.br,ConnectException,
am.gov.br,ConnectException,
ap.gov.br,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ap.gov.br found.,
ba.gov.br,301,
ce.gov.br,403,
df.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
es.gov.br,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,
go.gov.br,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching go.gov.br found.,
ma.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
mg.gov.br,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
ms.gov.br,ConnectException,
mt.gov.br,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching mt.gov.br found.,
pa.gov.br,SSLHandshakeException: Remote host terminated the handshake,
pb.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
pe.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
pi.gov.br,ConnectException,
pr.gov.br,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching pr.gov.br found.,
rj.gov.br,301,
rn.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
ro.gov.br,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ro.gov.br found.,
rr.gov.br,ConnectException,
rs.gov.br,302,
sc.gov.br,302,
se.gov.br,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
sp.gov.br,301,
to.gov.br,HttpConnectTimeoutException: HTTP connect timed out,
