type,label,website,hostname,level
supreme_court,Legislative Assembly of Acre,http://www.al.ac.leg.br/,al.ac.leg.br,central-1
parliament,Legislative Assembly of Acre,http://www.al.ac.leg.br/,al.ac.leg.br,central-1
supreme_court,Legislative Assembly of Alagoas,http://www.al.al.leg.br/,al.al.leg.br,central-1
parliament,Legislative Assembly of Alagoas,http://www.al.al.leg.br/,al.al.leg.br,central-1
parliament,Legislative Assembly of Goiás,http://www.al.go.leg.br/,al.go.leg.br,central-1
supreme_court,Legislative Assembly of Goiás,http://www.al.go.leg.br/,al.go.leg.br,central-1
supreme_court,Legislative Assembly of Maranhão,http://www.al.ma.leg.br/,al.ma.leg.br,central-1
parliament,Legislative Assembly of Maranhão,http://www.al.ma.leg.br/,al.ma.leg.br,central-1
parliament,Legislative Assembly of Paraíba,http://www.al.pb.leg.br/,al.pb.leg.br,central-1
supreme_court,Legislative Assembly of Paraíba,http://www.al.pb.leg.br/,al.pb.leg.br,central-1
parliament,Legislative Assembly of Piauí,https://www.al.pi.leg.br/,al.pi.leg.br,central-1
supreme_court,Legislative Assembly of Piauí,https://www.al.pi.leg.br/,al.pi.leg.br,central-1
parliament,Legislative Assembly of Rondônia,http://www.al.ro.leg.br/,al.ro.leg.br,central-1
supreme_court,Legislative Assembly of Rondônia,http://www.al.ro.leg.br/,al.ro.leg.br,central-1
supreme_court,Legislative Assembly of Roraima,http://www.al.rr.leg.br/,al.rr.leg.br,central-1
parliament,Legislative Assembly of Roraima,http://www.al.rr.leg.br/,al.rr.leg.br,central-1
parliament,municipal council of Anapolis,https://www.anapolis.go.leg.br/,anapolis.go.leg.br,local
supreme_court,municipal council of Anapolis,https://www.anapolis.go.leg.br/,anapolis.go.leg.br,local
supreme_court,municipal Chamber of Aracaju,https://www.aracaju.se.leg.br/,aracaju.se.leg.br,local
parliament,municipal Chamber of Aracaju,https://www.aracaju.se.leg.br/,aracaju.se.leg.br,local
constitutional_court,Q104848034,https://araucaria.atende.net/,araucaria.atende.net,local
parliament,municipal chamber of Bauru,https://www.bauru.sp.leg.br/,bauru.sp.leg.br,local
supreme_court,municipal chamber of Bauru,https://www.bauru.sp.leg.br/,bauru.sp.leg.br,local
supreme_court,municipal chamber of Boa Vista,http://www.boavista.rr.leg.br/,boavista.rr.leg.br,local
parliament,municipal chamber of Boa Vista,http://www.boavista.rr.leg.br/,boavista.rr.leg.br,local
supreme_court,Municipal Chamber of São Luís,http://camara.slz.br/,camara.slz.br,local
parliament,City Hall of São Luís,https://www.camara.slz.br/,camara.slz.br,
parliament,Municipal Chamber of São Luís,http://camara.slz.br/,camara.slz.br,local
parliament,municipal chamber of Campina Grande,http://www.camaracg.com.br/,camaracg.com.br,local
supreme_court,municipal chamber of Campina Grande,http://www.camaracg.com.br/,camaracg.com.br,local
parliament,Municipal Chamber of Campinas,http://www.campinas.sp.leg.br/,campinas.sp.leg.br,local
supreme_court,Municipal Chamber of Campinas,http://www.campinas.sp.leg.br/,campinas.sp.leg.br,local
parliament,municipal chamber of Caruaru,http://www.caruaru.pe.leg.br/,caruaru.pe.leg.br,local
supreme_court,municipal chamber of Caruaru,http://www.caruaru.pe.leg.br/,caruaru.pe.leg.br,local
parliament,Q118353169,https://www.cearamirim.rn.leg.br/,cearamirim.rn.leg.br,local
supreme_court,Q118353169,https://www.cearamirim.rn.leg.br/,cearamirim.rn.leg.br,local
parliament,municipal chamber of Mogi das Cruzes,http://www.cmmc.com.br/,cmmc.com.br,local
supreme_court,municipal chamber of Mogi das Cruzes,http://www.cmmc.com.br/,cmmc.com.br,local
supreme_court,National Congress of Brazil,https://www.congressonacional.leg.br/,congressonacional.leg.br,central
parliament,National Congress of Brazil,https://www.congressonacional.leg.br/,congressonacional.leg.br,central
constitutional_court,Piarist province of Brazil-Bolivia,https://www.escolapiosbrasilbolivia.org,escolapiosbrasilbolivia.org,
parliament,municipal chamber of Feira de Santana,https://feiradesantana.ba.leg.br/,feiradesantana.ba.leg.br,local
supreme_court,municipal chamber of Feira de Santana,https://feiradesantana.ba.leg.br/,feiradesantana.ba.leg.br,local
parliament,municipal Chamber of Foz do Iguaçu,http://www.fozdoiguacu.pr.leg.br/,fozdoiguacu.pr.leg.br,local
supreme_court,municipal Chamber of Foz do Iguaçu,http://www.fozdoiguacu.pr.leg.br/,fozdoiguacu.pr.leg.br,local
supreme_court,Municipal Chamber of Franca,https://franca.sp.leg.br/,franca.sp.leg.br,local
parliament,Municipal Chamber of Franca,https://franca.sp.leg.br/,franca.sp.leg.br,local
constitutional_court,Q10354750,https://franciscanos.org.br/#gsc.tab=0,franciscanos.org.br,
supreme_court,Municipal Chamber of Goiânia,http://www.goiania.go.leg.br/,goiania.go.leg.br,local
parliament,Municipal Chamber of Goiânia,http://www.goiania.go.leg.br/,goiania.go.leg.br,local
supreme_court,Q137124048,https://www.hortolandia.sp.leg.br/,hortolandia.sp.leg.br,local
parliament,Q137124048,https://www.hortolandia.sp.leg.br/,hortolandia.sp.leg.br,local
supreme_court,municipal chamber of Jaboatão dos Guararapes,http://www.jaboataodosguararapes.pe.leg.br/,jaboataodosguararapes.pe.leg.br,local
parliament,municipal chamber of Jaboatão dos Guararapes,http://www.jaboataodosguararapes.pe.leg.br/,jaboataodosguararapes.pe.leg.br,local
constitutional_court,Brazilian Province of the Society of Jesus,https://www.jesuitasbrasil.org.br/,jesuitasbrasil.org.br,
parliament,municipal Chamber of Juazeiro,https://www.juazeiro.ba.leg.br/,juazeiro.ba.leg.br,local
supreme_court,municipal Chamber of Juazeiro,https://www.juazeiro.ba.leg.br/,juazeiro.ba.leg.br,local
parliament,municipal chamber of Jundiaí,http://www.jundiai.sp.leg.br/,jundiai.sp.leg.br,local
supreme_court,municipal chamber of Jundiaí,http://www.jundiai.sp.leg.br/,jundiai.sp.leg.br,local
parliament,Town Council of Laranjal Paulista,http://www.laranjalpaulista.sp.leg.br/,laranjalpaulista.sp.leg.br,local
parliament,municipal chamber of Limeira,http://www.limeira.sp.leg.br/,limeira.sp.leg.br,local
supreme_court,municipal chamber of Limeira,http://www.limeira.sp.leg.br/,limeira.sp.leg.br,local
parliament,Municipal Chamber of Macapá,https://www.macapa.ap.leg.br/,macapa.ap.leg.br,local
supreme_court,Municipal Chamber of Macapá,https://www.macapa.ap.leg.br/,macapa.ap.leg.br,local
parliament,municipal Chamber of Marabá,http://www.maraba.pa.leg.br/,maraba.pa.leg.br,local
supreme_court,municipal Chamber of Marabá,http://www.maraba.pa.leg.br/,maraba.pa.leg.br,local
constitutional_court,Q97936438,https://marechalcandidorondon.atende.net/,marechalcandidorondon.atende.net,local
parliament,municipal Chamber of Mossoró,https://www.mossoro.rn.leg.br/,mossoro.rn.leg.br,local
supreme_court,municipal Chamber of Mossoró,https://www.mossoro.rn.leg.br/,mossoro.rn.leg.br,local
supreme_court,municipal chamber of Osasco,http://www.osasco.sp.leg.br/,osasco.sp.leg.br,local
parliament,municipal chamber of Osasco,http://www.osasco.sp.leg.br/,osasco.sp.leg.br,local
supreme_court,municipal Chamber of Palmas,https://www.palmas.to.leg.br/,palmas.to.leg.br,local
parliament,municipal Chamber of Palmas,https://www.palmas.to.leg.br/,palmas.to.leg.br,local
parliament,municipal chamber of Petrolina,http://www.petrolina.pe.leg.br/,petrolina.pe.leg.br,local
supreme_court,municipal chamber of Petrolina,http://www.petrolina.pe.leg.br/,petrolina.pe.leg.br,local
supreme_court,municipal Chamber of Petrópolis,https://www.petropolis.rj.leg.br,petropolis.rj.leg.br,local
parliament,municipal Chamber of Petrópolis,https://www.petropolis.rj.leg.br,petropolis.rj.leg.br,local
constitutional_court,Pinhais City Hall,https://pinhais.atende.net/,pinhais.atende.net,local
constitutional_court,municipal prefecture of Pomerode,https://pomerode.atende.net,pomerode.atende.net,local
parliament,municipal council of Porto Velho,http://www.portovelho.ro.leg.br,portovelho.ro.leg.br,local
supreme_court,municipal council of Porto Velho,http://www.portovelho.ro.leg.br,portovelho.ro.leg.br,local
constitutional_court,Q97936697,http://www.prefeituradeatibaia.com.br/,prefeituradeatibaia.com.br,local
parliament,Municipal Chamber of Recife,http://www.recife.pe.leg.br/,recife.pe.leg.br,local
supreme_court,municipal chamber of Rio Branco,http://www.riobranco.ac.leg.br/,riobranco.ac.leg.br,local
parliament,municipal chamber of Rio Branco,http://www.riobranco.ac.leg.br/,riobranco.ac.leg.br,local
parliament,municipal chamber of São José do Rio Preto,http://www.riopreto.sp.leg.br/,riopreto.sp.leg.br,local
supreme_court,municipal chamber of São José do Rio Preto,http://www.riopreto.sp.leg.br/,riopreto.sp.leg.br,local
parliament,Municipal Chamber of Salvador,http://www.salvador.ba.leg.br/,salvador.ba.leg.br,local
parliament,Q138736739,https://www.saofidelis.rj.leg.br/,saofidelis.rj.leg.br,
supreme_court,municipal chamber of São Gonçalo,http://www.saogoncalo.rj.leg.br/,saogoncalo.rj.leg.br,local
parliament,municipal chamber of São Gonçalo,http://www.saogoncalo.rj.leg.br/,saogoncalo.rj.leg.br,local
parliament,Municipal Chamber of São Paulo,http://www.saopaulo.sp.leg.br/,saopaulo.sp.leg.br,local
supreme_court,municipal chamber of Teresina,http://www.teresina.pi.leg.br,teresina.pi.leg.br,local
parliament,municipal chamber of Teresina,http://www.teresina.pi.leg.br,teresina.pi.leg.br,local
parliament,municipal chamber of Vila Velha,http://www.vilavelha.es.leg.br/,vilavelha.es.leg.br,local
supreme_court,municipal chamber of Vila Velha,http://www.vilavelha.es.leg.br/,vilavelha.es.leg.br,local
supreme_court,municipal Chamber of Volta Redonda,http://www.voltaredonda.rj.leg.br/,voltaredonda.rj.leg.br,local
parliament,municipal Chamber of Volta Redonda,http://www.voltaredonda.rj.leg.br/,voltaredonda.rj.leg.br,local
