type,label,website,hostname,level
government_agency,"Embassy of France, Bandar Seri Begawan",http://www.ambafrance-bn.org/,ambafrance-bn.org,central
government_agency,"Embassy of Germany, Bandar Seri Begawan",https://bandar-seri-begawan.diplo.de,bandar-seri-begawan.diplo.de,central
government_agency,Embassy of the United States in Bandar Seri Begawan,https://bn.usembassy.gov,bn.usembassy.gov,central
government_agency,embassy of Russia in Brunei,https://brunei.mid.ru,brunei.mid.ru,central
government_agency,Brunei International Airport,http://www.brunet.bn/gov/dca/fids/,brunet.bn,
university,IBTE Agro-Technology Campus,http://ibte.edu.bn,ibte.edu.bn,university
university,University of Technology Brunei,http://www.itb.edu.bn,itb.edu.bn,university
university,KEMUDA Institute,http://kemudainstitute.com/,kemudainstitute.com,university
university,Seri Begawan Religious Teachers University College,http://www.kupu-sb.edu.bn/Theme/Home.aspx,kupu-sb.edu.bn,university
university,Brunei Polytechnic,http://www.pb.edu.bn/,pb.edu.bn,university
government_agency,"Embassy of the Philippines, Bandar Seri Begawan",http://www.philippine-embassybrunei.com,philippine-embassybrunei.com,central
government_agency,Taipei Economic and Cultural Office in Brunei Darussalam,http://www.roc-taiwan.org/bn_en/index.html,roc-taiwan.org,central
university,Universiti Brunei Darussalam,http://www.ubd.edu.bn,ubd.edu.bn,university
university,Sultan Sharif Ali Islamic University,http://www.unissa.edu.bn,unissa.edu.bn,university
university,University of Technology Brunei,https://www.utb.edu.bn/,utb.edu.bn,university
