subdomain,mx
1010.covid19.gov.bt,none
aims.bhutanaudit.gov.bt,none
amc.gov.bt,none
amis.gov.bt,none
api.gov.bt,none
arcgis.covid19.gov.bt,none
auditclearance.bhutanaudit.gov.bt,none
autodiscover.bmhc.gov.bt,none
autodiscover.cro.gov.bt,none
autodiscover.nppc.gov.bt,none
autodiscover.nssc.gov.bt,none
autodiscover.rcbajo.gov.bt,none
autodiscover.wangduedzong.gov.bt,none
barcouncilofbhutan.gov.bt,none
bcaa.gov.bt,none
bcse.rcsc.gov.bt,none
bea.gov.bt,none
beta.drc.gov.bt,none
bhutanaudit.gov.bt,none
bicma.gov.bt,none
bloodsafety.gov.bt,none
bmhc.gov.bt,10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
bnca.gov.bt,none
cabinet.gov.bt,none
changrigphelps.education.gov.bt,none
citizenservices.gov.bt,none
clinic.covid19.gov.bt,none
cmis.ncwc.gov.bt,none
cms.judiciary.gov.bt,none
code.neyduetewa.gov.bt,none
cpanel.bea.gov.bt,none
cpanel.bicma.gov.bt,none
cpanel.bmhc.gov.bt,none
cpanel.bnca.gov.bt,none
cpanel.changrigphelps.education.gov.bt,none
cpanel.cro.gov.bt,none
cpanel.dra.gov.bt,none
cpanel.judiciary.gov.bt,none
cpanel.mediacouncil.gov.bt,none
cpanel.mhpa.gov.bt,none
cpanel.nationalmuseum.gov.bt,none
cpanel.nca.gov.bt,none
cpanel.nfc.gov.bt,none
cpanel.nppc.gov.bt,none
cpanel.nssc.gov.bt,none
cpanel.phpa.gov.bt,none
cpanel.phpa1.gov.bt,none
cpanel.phpa2.gov.bt,none
cpanel.rcbajo.gov.bt,none
cpanel.rdtc.gov.bt,none
cpanel.redcl.gov.bt,none
cpanel.rldczhemgang.gov.bt,none
cpanel.sarpangsherig.gov.bt,none
cpanel.toweroftrongsa.gov.bt,none
cpanel.wangduedzong.gov.bt,none
cpanel.zilukhamss.education.gov.bt,none
cpcalendars.bea.gov.bt,none
cpcalendars.bicma.gov.bt,none
cpcalendars.changrigphelps.education.gov.bt,none
cpcalendars.dra.gov.bt,none
cpcalendars.judiciary.gov.bt,none
cpcalendars.mediacouncil.gov.bt,none
cpcalendars.mhpa.gov.bt,none
cpcalendars.nationalmuseum.gov.bt,none
cpcalendars.nca.gov.bt,none
cpcalendars.nfc.gov.bt,none
cpcalendars.nppc.gov.bt,none
cpcalendars.nssc.gov.bt,none
cpcalendars.phpa.gov.bt,none
cpcalendars.phpa1.gov.bt,none
cpcalendars.phpa2.gov.bt,none
cpcalendars.redcl.gov.bt,none
cpcalendars.rldczhemgang.gov.bt,none
cpcalendars.sarpangsherig.gov.bt,none
cpcalendars.toweroftrongsa.gov.bt,none
cpcalendars.zilukhamss.education.gov.bt,none
cpcontacts.bea.gov.bt,none
cpcontacts.bicma.gov.bt,none
cpcontacts.changrigphelps.education.gov.bt,none
cpcontacts.dra.gov.bt,none
cpcontacts.judiciary.gov.bt,none
cpcontacts.mediacouncil.gov.bt,none
cpcontacts.mhpa.gov.bt,none
cpcontacts.nationalmuseum.gov.bt,none
cpcontacts.nca.gov.bt,none
cpcontacts.nfc.gov.bt,none
cpcontacts.nppc.gov.bt,none
cpcontacts.nssc.gov.bt,none
cpcontacts.phpa.gov.bt,none
cpcontacts.phpa1.gov.bt,none
cpcontacts.phpa2.gov.bt,none
cpcontacts.redcl.gov.bt,none
cpcontacts.rldczhemgang.gov.bt,none
cpcontacts.sarpangsherig.gov.bt,none
cpcontacts.toweroftrongsa.gov.bt,none
cpcontacts.zilukhamss.education.gov.bt,none
cpms.rbp.gov.bt,none
cra.gov.bt,none
cro.gov.bt,none
crs.dit.gov.bt,none
data.cro.gov.bt,none
dcsi.gov.bt,none
ddm.gov.bt,none
dgrk.covid19.gov.bt,none
dis.dra.gov.bt,none
disability.gov.bt,none
dit.gov.bt,none
dms.bloodsafety.gov.bt,none
dms.rcsc.gov.bt,none
doat.gov.bt,none
doi.gov.bt,5 ALT1.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
doim.gov.bt,none
dra.gov.bt,none
drc.gov.bt,none
drukhmis.gov.bt,5 ALT2.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.
