subdomain,http_status
bpo01su54.bpol.gov.bw,"Could not resolve host: bpo01su54.bpol.gov.bw"
cms-cct.gov.bw,"Could not resolve host: cms-cct.gov.bw"
cms.gov.bw,"Could not resolve host: cms.gov.bw"
cms-cct-acc.gov.bw,"Could not resolve host: cms-cct-acc.gov.bw"
1gov-iam-acc.gov.bw,"Failed to connect to 1gov-iam-acc.gov.bw port 443 after 392 ms: Could not connect to server"
agrima.gov.bw,"SSL certificate problem: certificate has expired"
cms-ic.gov.bw,"Could not resolve host: cms-ic.gov.bw"
agc.gov.bw,"Could not resolve host: agc.gov.bw"
animalhealth-service-uat.gov.bw,"Could not resolve host: animalhealth-service-uat.gov.bw"
assets-acc.gov.bw,"Could not resolve host: assets-acc.gov.bw"
atlas.gov.bw,"Could not resolve host: atlas.gov.bw"
agreements.gov.bw,"Could not resolve host: agreements.gov.bw"
autodiscover.botswanaspeaks.gov.bw,"Could not resolve host: autodiscover.botswanaspeaks.gov.bw"
bdf.gov.bw,"Could not resolve host: bdf.gov.bw"
bdfmail45.gov.bw,"Could not resolve host: bdfmail45.gov.bw"
bpo01sw01ads01.bpol.gov.bw,"Could not resolve host: bpo01sw01ads01.bpol.gov.bw"
bpol.gov.bw,"Could not resolve host: bpol.gov.bw"
btv.gov.bw,"Could not resolve host: btv.gov.bw"
bpo01sw10.bpol.gov.bw,"Could not resolve host: bpo01sw10.bpol.gov.bw"
cfi.gov.bw,"Could not resolve host: cfi.gov.bw"
cms-labour.gov.bw,"Could not resolve host: cms-labour.gov.bw"
coms.gov.bw,"Could not resolve host: coms.gov.bw"
cms-labour-acc.gov.bw,"Could not resolve host: cms-labour-acc.gov.bw"
cms-omb.gov.bw,"Could not resolve host: cms-omb.gov.bw"
collab-edge.gov.bw,"Could not resolve host: collab-edge.gov.bw"
cors.gov.bw,"Could not resolve host: cors.gov.bw"
bps-test.gov.bw,"Could not resolve host: bps-test.gov.bw"
comsmanager.gov.bw,"Could not resolve host: comsmanager.gov.bw"
bps.gov.bw,"Could not resolve host: bps.gov.bw"
admin-thuo-letlotlo.gov.bw,"Could not resolve host: admin-thuo-letlotlo.gov.bw"
api.childprotection.gov.bw,"Could not resolve host: api.childprotection.gov.bw"
covid19portal.gov.bw,"Could not resolve host: covid19portal.gov.bw"
assets-test.gov.bw,"Failed to connect to assets-test.gov.bw port 443 after 586 ms: Could not connect to server"
assets.gov.bw,"Could not resolve host: assets.gov.bw"
bpo01su300drccrsapp.bpol.gov.bw,"Could not resolve host: bpo01su300drccrsapp.bpol.gov.bw"
bpo01su311prdaplccrs.bpol.gov.bw,"Could not resolve host: bpo01su311prdaplccrs.bpol.gov.bw"
bpo50su01.bpol.gov.bw,"Could not resolve host: bpo50su01.bpol.gov.bw"
bpo01su55.bpol.gov.bw,"Could not resolve host: bpo01su55.bpol.gov.bw"
bdf-irecruit-uat.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
bpo01sw11.bpol.gov.bw,"Could not resolve host: bpo01sw11.bpol.gov.bw"
bpo01su56.bpol.gov.bw,"Could not resolve host: bpo01su56.bpol.gov.bw"
childprotection.gov.bw,"SSL certificate problem: certificate has expired"
bpo50su02.bpol.gov.bw,"Could not resolve host: bpo50su02.bpol.gov.bw"
bpo01su304trccrsapp.bpol.gov.bw,"Could not resolve host: bpo01su304trccrsapp.bpol.gov.bw"
dit-expe.gov.bw,"Could not resolve host: dit-expe.gov.bw"
covid19.gov.bw,"Could not resolve host: covid19.gov.bw"
covid19admin.gov.bw,"Could not resolve host: covid19admin.gov.bw"
bpo01su303trccrs.bpol.gov.bw,"Could not resolve host: bpo01su303trccrs.bpol.gov.bw"
api.temo.gov.bw,"Recv failure: Connexion ré-initialisée par le correspondant"
1gov-int-gateway-acc.gov.bw,"Failed to connect to 1gov-int-gateway-acc.gov.bw port 443 after 772 ms: Could not connect to server"
1gov.gov.bw,"200"
appoint.gov.bw,"200"
cpanel.botswanaspeaks.gov.bw,"Could not resolve host: cpanel.botswanaspeaks.gov.bw"
covid19systems.gov.bw,"Could not resolve host: covid19systems.gov.bw"
dcmcis.gov.bw,"Could not resolve host: dcmcis.gov.bw"
cpcalendars.cdc.gov.bw,"Could not resolve host: cpcalendars.cdc.gov.bw"
bpo50su03.bpol.gov.bw,"Could not resolve host: bpo50su03.bpol.gov.bw"
bpo50su05.bpol.gov.bw,"Could not resolve host: bpo50su05.bpol.gov.bw"
botswanaspeaks.gov.bw,"200"
crm-acc.gov.bw,"Could not resolve host: crm-acc.gov.bw"
csr.gov.bw,"Could not resolve host: csr.gov.bw"
dhis2sms.gov.bw,"Could not resolve host: dhis2sms.gov.bw"
csm1.gov.bw,"Could not resolve host: csm1.gov.bw"
commonapi-test.imaap.gov.bw,"Could not resolve host: commonapi-test.imaap.gov.bw"
dit-expe2.gov.bw,"Could not resolve host: dit-expe2.gov.bw"
dwmsmti.gov.bw,"Could not resolve host: dwmsmti.gov.bw"
cvsr.gov.bw,"Could not resolve host: cvsr.gov.bw"
dbcache-acc.gov.bw,"Could not resolve host: dbcache-acc.gov.bw"
animalhealth-uat.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
bhmis.gov.bw,"502"
bhis.gov.bw,"502"
cpcontacts.cdc.gov.bw,"Could not resolve host: cpcontacts.cdc.gov.bw"
cpcontacts.stc.gov.bw,"Could not resolve host: cpcontacts.stc.gov.bw"
cms1.gov.bw,"401"
dev.rims.gov.bw,"Could not resolve host: dev.rims.gov.bw"
crashapi-test.imaap.gov.bw,"Failed to connect to crashapi-test.imaap.gov.bw port 443 after 590 ms: Could not connect to server"
