hostname,score,sources,label,level
gov.bc.ca,10,wikidata;wikidata;linkgraph,Ministry of Forests Lands and Natural Resource Operations (British Columbia) | Ministry of Environment,
agric.gov.ab.ca,8,wikidata;wikidata,Alberta Ministry of Agriculture and Forestry,
alberta.ca,8,wikidata;linkgraph,Alberta Education,
attorneygeneral.jus.gov.on.ca,8,wikidata;wikidata,Ministry of the Attorney General,
edu.gov.on.ca,8,wikidata;wikidata,Ministry of Education,
frqs.gouv.qc.ca,8,wikidata;wikidata,Fonds de Recherche du Québec  Santé,
frqsc.gouv.qc.ca,8,wikidata;wikidata,Fonds de Recherche du Québec Société et Culture,
gov.nl.ca,8,wikidata;linkgraph,Department of Energy and Mines,
health.gov.on.ca,8,wikidata;wikidata,Ministry of Health,
mcscs.jus.gov.on.ca,8,wikidata;wikidata,Ministry of Community Safety and Correctional Services,
mcss.gov.on.ca,8,wikidata;wikidata,Ministry of Community and Social Services,
affta.ab.ca,7,wikidata;wikidata,Alberta Foundation for the Arts,
ccog-cocg.ca,7,wikidata;wikidata,Canadian Council on Geomatics,
cpr.ca,7,wikidata;wikidata,Canadian Pacific Railway Police Service,
crrf-fcrr.ca,7,wikidata;wikidata,Canadian Race Relations Foundation,
csdla.qc.ca,7,wikidata;wikidata,Centre de services scolaire du Lac-Abitibi | Q52149481,
cslt.qc.ca,7,wikidata;wikidata,Q52149637 | Centre de services scolaire du Lac-Témiscamingue,
csvt.qc.ca,7,wikidata;wikidata,Commission scolaire de la Vallée-des-Tisserands | Centre de services scolaire de la Vallée-des-Tisserands,
elections.ca,7,wikidata;wikidata,Elections Canada,central
flysudbury.ca,7,wikidata;wikidata,Sudbury Airport,
gg.ca,7,wikidata;wikidata,Canadian Heraldic Authority,
hamilton.ca,7,wikidata;wikidata,Hamilton Fire Department | Hamilton Street Railway,
iae.alberta.ca,7,wikidata;wikidata,Ministry of Advanced Education,
jesuites.ca,7,wikidata;wikidata,Canada Province of the Society of Jesus,
jesuits.ca,7,wikidata;wikidata,Canada Province of the Society of Jesus,
leduc.ca,7,wikidata;wikidata,Leduc,
nfsb.qc.ca,7,wikidata;wikidata,New Frontiers School Board,
parl.ca,7,wikidata;wikidata,Parliament of Canada,central
reginahousing.ca,7,wikidata;wikidata,Regina Housing Authority,
rsb.qc.ca,7,wikidata;wikidata,Riverside School Board,
scics.ca,7,wikidata;wikidata,Canadian Intergovernmental Conference Secretariat,
stl.laval.qc.ca,7,wikidata;wikidata,Société de transport de Laval,
studentlife.utoronto.ca,7,wikidata;wikidata,University of Toronto Division of Student Life,
swlauriersb.qc.ca,7,wikidata;wikidata,Sir Wilfrid Laurier School Board,
thunderbay.ca,7,wikidata;wikidata,Thunder Bay Police Service | Thunder Bay Fire Rescue,
torontohousing.ca,7,wikidata;wikidata,Toronto Community Housing,
vancouver.ca,7,wikidata;wikidata,Vancouver Police Department | Vancouver Fire and Rescue Services,
viarail.ca,7,wikidata;wikidata,Via Rail Police Service,central
ville.quebec.qc.ca,7,wikidata;wikidata,Service de protection contre l'incendie de la Ville de Québec | Service de police de la Ville de Québec,
westernquebec.ca,7,wikidata;wikidata,Western Québec School Board,
wsib.ca,7,wikidata;wikidata,Workplace Safety and Insurance Board,
www1.toronto.ca,7,wikidata;wikidata,Toronto Public Health | Toronto Fire Services,
ecolefrancophone.com,6,wikidata;wikidata,Conseil des écoles fransaskoises,
exo.quebec,6,wikidata;wikidata,Exo,
gotransit.com,6,wikidata;wikidata,GO Transit,
idetr.com,6,wikidata;wikidata,Innovation and Economic Development Trois Rivières,
internationalboundarycommission.org,6,wikidata;wikidata,International Boundary Commission,
ontarioparks.com,6,wikidata;wikidata,Ontario Parks,
ag.gov.bc.ca,5,wikidata,British Columbia Sheriff Service,
archives.gov.on.ca,5,wikidata,Archives of Ontario,
bcbudget.gov.bc.ca,5,wikidata,"Ministry of Tourism, Sport and the Arts",
bei.gouv.qc.ca,5,wikidata,Q97161210,
cpmt.gouv.qc.ca,5,wikidata,Labour Market Partners Board,
cssbe.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Beauce-Etchemin,
cssc.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Capitale,
csscv.gouv.qc.ca,5,wikidata,Centre de services scolaire au Cœur-des-Vallées,
cssd.gouv.qc.ca,5,wikidata,Draveurs school service center,
cssdd.gouv.qc.ca,5,wikidata,Centre de services scolaire des Découvreurs,
cssdhr.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hautes-Rivières,
cssdm.gouv.qc.ca,5,wikidata,Centre de services scolaire de Montréal,
cssds.gouv.qc.ca,5,wikidata,Centre de services scolaire des Sommets,
cssdulittoral.gouv.qc.ca,5,wikidata,Centre de services scolaire du Littoral,
cssenergie.gouv.qc.ca,5,wikidata,Centre de services scolaire de l'Énergie,
cssh.gouv.qc.ca,5,wikidata,Centre de services scolaire Harricana,
csshbo.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hauts-Bois-de-l'Outaouais,
csshc.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hauts-Cantons,
csshl.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hautes-Laurentides,
csslaurentides.gouv.qc.ca,5,wikidata,Centre de services scolaire des Laurentides,
csslaval.gouv.qc.ca,5,wikidata,Centre de services scolaire de Laval,
cssmb.gouv.qc.ca,5,wikidata,Centre de services scolaire Marguerite-Bourgeoys,
