hostname,score,sources,label,level,http_status,mx
elections.ca,10,wikidata;wikidata;directory,Elections Canada,central,,
gg.ca,10,wikidata;wikidata;directory,Canadian Heraldic Authority,,,
gnb.ca,10,wikidata;wikidata;wikidata;wikidata;linkgraph;directory,Court of King's Bench of New Brunswick | Government of New Brunswick | Department of Education and Early Childhood Development,central-1,,
gov.bc.ca,10,wikidata;wikidata;linkgraph,Ministry of Forests Lands and Natural Resource Operations (British Columbia) | Ministry of Environment,,,
gov.mb.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Minister of Labour and Immigration | Legislative Assembly of Manitoba | Department of Infrastructure | Manitoba Agriculture, Food and Rural Initiatives | Manitoba Health",central-1,,
ontario.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Ministry of Education | Ministry of Colleges and Universities | Ministry of Transportation | Ontario Ministry of Natural Resources and Forestry | Office of the Chief Coroner for Ontario | Government of Ontario | Ministry of Economic Development, Trade and Employment | Ministry of the Environment, Conservation and Parks",central-1,,
quebec.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,"Correctional Service of Quebec | Q136231595 | Services Québec | Q110616906 | Q138574035 | Ministry of Immigration, Francisation and Integration",central-1,,
saskatchewan.ca,10,wikidata;wikidata;wikidata;wikidata;linkgraph,Ministry of Health | Ministry of Agriculture of Saskatchewan,central-1,,
scics.ca,10,wikidata;wikidata;directory,Canadian Intergovernmental Conference Secretariat,,,
viarail.ca,10,wikidata;wikidata;directory,Via Rail Police Service,central,,
yukon.ca,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,Yukon Archives | Government of Yukon | Yukon Parks | Yukon Department of Environment | Yukon Department of Tourism and Culture,central-1,,
agric.gov.ab.ca,8,wikidata;wikidata,Alberta Ministry of Agriculture and Forestry,,,
alberta.ca,8,wikidata;linkgraph,Alberta Education,,,
attorneygeneral.jus.gov.on.ca,8,wikidata;wikidata,Ministry of the Attorney General,,,
autochtones.gouv.qc.ca,8,wikidata;wikidata,Ministry of Native Affairs,central-1,,
bankofcanada.ca,8,wikidata;directory,Bank of Canada,,,
cadth.ca,8,wikidata;directory,Canada's Drug Agency,central,,
ccohs.ca,8,wikidata;directory,Canadian Centre for Occupational Health and Safety,,,
ccsa.ca,8,wikidata;directory,Canadian Centre on Substance Abuse,,,
cdic.ca,8,wikidata;directory,Canada Deposit Insurance Corporation,,,
economie.gouv.qc.ca,8,wikidata;wikidata,"Ministry of Economic Development, Innovation and Export Trade",central-1,,
edu.gov.on.ca,8,wikidata;wikidata,Ministry of Education,,,
education.gouv.qc.ca,8,wikidata;wikidata;wikidata;wikidata,Ministry of Education and Higher Education | Ministry of Higher Education,central-1,,
energy.gov.on.ca,8,wikidata;wikidata,Ministry of Energy,central-1,,
environnement.gouv.qc.ca,8,wikidata;wikidata;wikidata;wikidata,Ministry of Environment and Fight Against Climate Change,central-1,,
fin.gov.on.ca,8,wikidata;wikidata,Ministry of Finance,central-1,,
finances.gouv.qc.ca,8,wikidata;wikidata,Ministry of Finance,central-1,,
frqs.gouv.qc.ca,8,wikidata;wikidata,Fonds de Recherche du Québec  Santé,,,
frqsc.gouv.qc.ca,8,wikidata;wikidata,Fonds de Recherche du Québec Société et Culture,,,
gov.nl.ca,8,wikidata;linkgraph,Department of Energy and Mines,,,
gov.nu.ca,8,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Corrections Directorate | Department of Justice | Nunavut Liquor Commission | Government of Nunavut,central-1,,
health.gov.on.ca,8,wikidata;wikidata,Ministry of Health,,,
innovation.ca,8,wikidata;directory,Canada Foundation for Innovation,,,
international.gov.ab.ca,8,wikidata;wikidata,Alberta International and Intergovernmental Relations,central-1,,
justice.gouv.qc.ca,8,wikidata;wikidata,Ministry of Justice,central-1,,
labour.gov.on.ca,8,wikidata;wikidata,Ministry of Labour,central-1,,
mah.gov.on.ca,8,wikidata;wikidata,Ministry of Municipal Affairs and Housing,central-1,,
mamh.gouv.qc.ca,8,wikidata;wikidata,Ministry of Municipal Affairs and Housing,central-1,,
mapaq.gouv.qc.ca,8,wikidata;wikidata,"Ministry of Agriculture, Fisheries and Food",central-1,,
mcc.gouv.qc.ca,8,wikidata;wikidata,ministère de la Culture et des Communications,central-1,,
mce.gouv.qc.ca,8,wikidata;wikidata;wikidata;wikidata,Q3315432,central-1,,
mcscs.jus.gov.on.ca,8,wikidata;wikidata,Ministry of Community Safety and Correctional Services,,,
mcss.gov.on.ca,8,wikidata;wikidata,Ministry of Community and Social Services,,,
mentalhealthcommission.ca,8,wikidata;directory,Mental Health Commission of Canada,,,
mess.gouv.qc.ca,8,wikidata;wikidata,Ministry of Employment and Social Solidarity,central-1,,
mfa.gouv.qc.ca,8,wikidata;wikidata,Ministry of Families,central-1,,
mndm.gov.on.ca,8,wikidata;wikidata,Ministry of Northern Development and Mines,central-1,,
mrif.gouv.qc.ca,8,wikidata;wikidata,Ministry of International Relations and La Francophonie,central-1,,
mrnf.gouv.qc.ca,8,wikidata;wikidata,Ministry of Natural Resources and Wildlife,central-1,,
msg.gouv.qc.ca,8,wikidata;wikidata,Ministère des Services gouvernementaux,central-1,,
msp.gouv.qc.ca,8,wikidata;wikidata,Ministry of Public Security,central-1,,
msss.gouv.qc.ca,8,wikidata;wikidata,Ministry of Health and Social Services,central-1,,
mtc.gov.on.ca,8,wikidata;wikidata,"Ministry of Tourism, Culture and Sport",central-1,,
nsicop-cpsnr.ca,8,wikidata;directory,National Security and Intelligence Committee of Parliamentarians,,,
omafra.gov.on.ca,8,wikidata;wikidata;wikidata,"Ministry of Agriculture, Food and Rural Affairs | Agricultural Research Institute of Ontario",central-1,,
premier.gouv.qc.ca,8,wikidata;wikidata;wikidata;wikidata,Executive Council of Quebec,central-1,,
sdtc.ca,8,wikidata;directory,Sustainable Development Technology Canada,,,
tourisme.gouv.qc.ca,8,wikidata;wikidata,Ministry of Tourism,central-1,,
