hostname,indegree,indegree_tech
canada.ca,37,18
international.gc.ca,19,0
travel.gc.ca,17,0
justice.gc.ca,13,0
voyage.gc.ca,13,0
pm.gc.ca,11,0
jobbank.gc.ca,9,0
priv.gc.ca,8,0
tbs-sct.gc.ca,8,0
servicecanada.gc.ca,6,0
alberta.ca,5,0
guichetemplois.gc.ca,5,0
healthycanadians.gc.ca,5,0
recherche-search.gc.ca,5,0
weather.gc.ca,5,0
dfo-mpo.gc.ca,4,0
nrcan.gc.ca,4,0
quebec.ca,4,0
rncan.gc.ca,4,0
saskatchewan.ca,4,0
actionplan.gc.ca,3,0
canada.gc.ca,3,0
ccg-gcc.gc.ca,3,0
gnb.ca,3,1
gouv.qc.ca,3,0
gov.bc.ca,3,0
gov.mb.ca,3,0
gov.nl.ca,3,0
meteo.gc.ca,3,0
ontario.ca,3,1
yukon.ca,3,0
achatsetventes.gc.ca,2,0
bac-lac.gc.ca,2,0
budget.gc.ca,2,0
canadiensensante.gc.ca,2,0
cbsa-asfc.gc.ca,2,0
clegc-gckey.gc.ca,2,0
crtc.gc.ca,2,0
ec.gc.ca,2,1
esdc.gc.ca,2,0
fja.gc.ca,2,0
fjgc-gccf.gc.ca,2,0
gazette.gc.ca,2,0
hc-sc.gc.ca,2,0
infosource.gc.ca,2,0
inspection.gc.ca,2,0
irb-cisr.gc.ca,2,0
news.gc.ca,2,0
notmar.gc.ca,2,0
nouvelles.gc.ca,2,0
nrcan-rncan.gc.ca,2,0
ourcommons.ca,2,1
parl.ca,2,0
phac-aspc.gc.ca,2,0
princeedwardisland.ca,2,0
publicsafety.gc.ca,2,0
radio-canada.ca,2,1
rcmp-grc.gc.ca,2,0
statcan.gc.ca,2,0
tc.gc.ca,2,0
veterans.gc.ca,2,0
academos.qc.ca,1,0
acoa-apeca.gc.ca,1,0
agr.gc.ca,1,0
alloprof.qc.ca,1,0
asc-csa.gc.ca,1,0
assembly.ab.ca,1,1
assembly.nl.ca,1,0
assnat.qc.ca,1,0
auc.ab.ca,1,0
banq.qc.ca,1,0
bibliothequedequebec.qc.ca,1,0
buyandsell.gc.ca,1,0
canadabenefits.gc.ca,1,0
cartes.gc.ca,1,1
cas-satj.gc.ca,1,0
cbc.ca,1,0
ccn-ncc.gc.ca,1,0
cdc-ccl.gc.ca,1,0
census.gc.ca,1,0
centrechristroi.qc.ca,1,0
cfpml.qc.ca,1,0
charts.gc.ca,1,0
chrc-ccdp.gc.ca,1,0
chs-shc.gc.ca,1,0
cic.gc.ca,1,0
cihr-irsc.gc.ca,1,0
civicinfo.bc.ca,1,0
cmhc-schl.gc.ca,1,0
cmquebec.qc.ca,1,0
corem.qc.ca,1,0
cra-arc.gc.ca,1,0
csbe.qc.ca,1,0
cscapitale.qc.ca,1,0
cscotesud.qc.ca,1,0
csdecou.qc.ca,1,0
csdessommets.qc.ca,1,0
csdla.qc.ca,1,0
csdm.qc.ca,1,0
csdps.qc.ca,1,0
cshc.qc.ca,1,0
cslaurentides.qc.ca,1,0
cslsj.qc.ca,1,0
csmv.qc.ca,1,0
csp.qc.ca,1,1
cspo.qc.ca,1,0
csps-efpc.gc.ca,1,0
csrs.qc.ca,1,0
ctri.qc.ca,1,0
cyber.gc.ca,1,0
ednet.ns.ca,1,0
edonline.sk.ca,1,0
edsc.gc.ca,1,0
elections.bc.ca,1,0
fcac-acfc.gc.ca,1,0
fcpq.qc.ca,1,0
forces.gc.ca,1,0
gcconnex.gc.ca,1,0
geoportal.gc.ca,1,0
getprepared.gc.ca,1,0
gov.ab.ca,1,1
gov.ns.ca,1,0
gov.nt.ca,1,0
gov.on.ca,1,0
gov.sk.ca,1,0
hydro.mb.ca,1,0
iaac-aeic.gc.ca,1,0
ic.gc.ca,1,0
infrastructure.gc.ca,1,0
inspq.qc.ca,1,0
ipc.on.ca,1,0
irb.gc.ca,1,0
irsc.gc.ca,1,0
languesofficielles.nb.ca,1,0
leg.bc.ca,1,0
lnnte-dncl.gc.ca,1,0
ltgov.bc.ca,1,0
maisondelalitterature.qc.ca,1,0
manitobacourts.mb.ca,1,0
montreal.qc.ca,1,0
mpi.mb.ca,1,0
musqueam.bc.ca,1,0
ncc-ccn.gc.ca,1,0
novascotia.ca,1,0
nrc-cnrc.gc.ca,1,0
oag.mb.ca,1,0
officiallanguages.nb.ca,1,0
ombudsman.mb.ca,1,0
omhq.qc.ca,1,0
opo-boa.gc.ca,1,0
orientation.qc.ca,1,0
parl.gc.ca,1,0
pc.gc.ca,1,0
pch.gc.ca,1,0
pierredupuy.qc.ca,1,0
plandaction.gc.ca,1,0
preparez-vous.gc.ca,1,0
psc-cfp.gc.ca,1,0
publications.gc.ca,1,0
pwgsc.gc.ca,1,0
registrelep-sararegistry.gc.ca,1,0
rtss.qc.ca,1,0
sac-isc.gc.ca,1,0
sainte-julie.qc.ca,1,0
scholarships-bourses.gc.ca,1,0
scol.qc.ca,1,0
securitepublique.gc.ca,1,0
sencanada.ca,1,0
services.gc.ca,1,3
soquem.qc.ca,1,0
soquij.qc.ca,1,0
ssc-spc.gc.ca,1,0
sshrc-crsh.gc.ca,1,0
sst-tss.gc.ca,1,0
tides.gc.ca,1,0
tpsgc-pwgsc.gc.ca,1,0
tradecommissioner.gc.ca,1,0
treaty-accord.gc.ca,1,0
uneq.qc.ca,1,0
assembly.nu.ca,0,1
csaffluents.qc.ca,0,1
csphares.qc.ca,0,1
