subdomain,mx
a11y.canada.ca,none
aafc-aac.aws.cloud-nuage.canada.ca,none
aafc-aac.azure.cloud-nuage.canada.ca,none
abonnements-environnementaux.canada.ca,none
ac-aut-cb.canada.ca,none
acceder.canada.ca,none
acces-securise.canada.ca,none
acces.canada.ca,none
access-acces.canada.ca,none
access.canada.ca,none
accessibilite.canada.ca,none
accessibility.canada.ca,none
accessible.canada.ca,0 .
achat.canada.ca,none
achats-canada.canada.ca,none
achatscanada.canada.ca,none
adidas--canada.ca,none
admin-buy-achats.canada.ca,none
admin.io.canada.ca,none
ag.cms-sgc.esdc-edsc.canada.ca,none
agp.aafc-aac.azure.cloud-nuage.canada.ca,none
agriculture.canada.ca,none
agrigeo-poc.canada.ca,none
ags.aafc-aac.aws.cloud-nuage.canada.ca,none
aliments-nutrition.canada.ca,none
alpha.canada.ca,none
alpha.service.canada.ca,none
am.emailportal-portailcourriel.canada.ca,dig error
anakwad.canada.ca,none
api-nonprod.service.cloud-nuage.canada.ca,none
api.aro.aro-dev.api-nonprod.service.cloud-nuage.canada.ca,none
api.canada.ca,none
api.cluster.lab.ocp.ised-isde.canada.ca,none
api.dev.ocp-dev.ised-isde.canada.ca,none
api.document.notification.alpha.canada.ca,none
api.io.canada.ca,none
api.notification.alpha.canada.ca,none
api.ocp.dev.ised-isde.canada.ca,none
api.ocp.prod.ised-isde.canada.ca,none
api.openshift.cdxp-penc.canada.ca,none
api.openshift.incubation.api.canada.ca,none
api.osdp-cumulative-effects-stage.canada.ca,none
api.osdp-cumulative-effects-uat.canada.ca,none
api.osdp-cumulative-effects.canada.ca,none
api.prod.ocp-prod.ised-isde.canada.ca,none
api.psdo-effets-cumulatifs-stage.canada.ca,none
api.psdo-effets-cumulatifs-uat.canada.ca,none
api.psdo-effets-cumulatifs.canada.ca,none
api.service.cloud-nuage.canada.ca,none
apigee-dev.canada.ca,none
apigee-eng.canada.ca,none
apigee.canada.ca,none
app-canada.io.canada.ca,none
app.canada.ca,10 smtp.app.canada.ca.
app1.co.service.cloud-nuage.canada.ca,none
app1.dev.international.canada.ca,none
app1.dev.international.cloud-nuage.canada.ca,none
app2.dev.international.cloud-nuage.canada.ca,none
apps-anl.cbsa-asfc.cloud-nuage.canada.ca,none
apps-canada.io.canada.ca,none
apps-commercial-commerciale.cbsa-asfc.cloud-nuage.canada.ca,none
apps-corporate-entreprise.cbsa-asfc.cloud-nuage.canada.ca,none
apps-corporate.cbsa-asfc.cloud-nuage.canada.ca,none
apps-entreprise.cbsa-asfc.cloud-nuage.canada.ca,none
apps-iae-iee.cbsa-asfc.cloud-nuage.canada.ca,none
apps-traveller-voyageur.cbsa-asfc.cloud-nuage.canada.ca,none
apps.aro.aro-dev.api-nonprod.service.cloud-nuage.canada.ca,none
apps.canada.ca,none
apps.cbsa-asfc.cloud-nuage.canada.ca,none
apps.cluster.lab.ocp.ised-isde.canada.ca,none
apps.dev.ocp-dev.ised-isde.canada.ca,none
apps.dev.ocp.ised-isde.canada.ca,none
apps.dev.openshift.ised-isde.canada.ca,none
apps.lab.ocp.ised-isde.canada.ca,none
apps.lab.openshift.ised-isde.canada.ca,none
apps.ocp.dev.ised-isde.canada.ca,none
apps.ocp.prod.ised-isde.canada.ca,none
apps.openshift.cdxp-penc.canada.ca,none
apps.openshift.dev.cdxp-penc.canada.ca,none
apps.openshift.incubation.api.canada.ca,none
apps.prod.ocp-prod.ised-isde.canada.ca,none
apps.prod.ocp.ised-isde.canada.ca,none
apps.prod.openshift.ised-isde.canada.ca,none
aq.emailportal-portailcourriel.canada.ca,none
aquatic-biomonitoring.canada.ca,none
ar.emailportal-portailcourriel.canada.ca,none
argocd.cio-aks-sand.ssc-spc.cloud-nuage.canada.ca,none
arrivecan-dev1de.dev.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-test1de.test.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification-api.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification-api.dev.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification-api.test.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification.dev.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan-verification.test.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan.dev.cbsa-asfc.cloud-nuage.canada.ca,none
arrivecan.test.cbsa-asfc.cloud-nuage.canada.ca,none
ascpilot.tbs.alpha.canada.ca,none
assets.notification.canada.ca,none
auth.canada.ca,none
auth.id.canada.ca,none
authenti.canada.ca,none
autodiscover.canada.ca,none
autodiscover.ctst.canada.ca,none
autodiscover.t01.canada.ca,none
autodiscover.uggs--canada.ca,none
avis-confidentialite.snc.alpha.canada.ca,none
aws.uptime.ised-isde.canada.ca,none
awsvdc.ssc-spc.cloud-nuage.canada.ca,none
azadmin.c.ent.cloud-nuage.canada.ca,none
azadmin.d.ent.cloud-nuage.canada.ca,none
azadmin.ent.cloud-nuage.canada.ca,none
azadmin.international.cloud-nuage.canada.ca,none
azadmin.ssc-spc.cloud-nuage.canada.ca,none
azvdc.c.ent.cloud-nuage.canada.ca,none
azvdc.d.ent.cloud-nuage.canada.ca,none
azvdc.ent.cloud-nuage.canada.ca,none
azvdc.international.cloud-nuage.canada.ca,none
azvdc.ssc-spc.cloud-nuage.canada.ca,none
base-gc-lingua.canada.ca,none
bcd-api.dev.cbsa-asfc.cloud-nuage.canada.ca,none
beneficiaire-infrastructure-formation.canada.ca,none
beneficiaire-infrastructure-preprod.canada.ca,none
beneficiaire-infrastructure.canada.ca,none
beta-canada.io.canada.ca,none
beta-comptesgc.canada.ca,none
beta-gcaccounts-service.canada.ca,none
beta-gcaccounts.canada.ca,none
beta.api.canada.ca,none
beta.canada.ca,none
bibliotheques-scientifiques.canada.ca,none
biosurveillance-aquatique.canada.ca,none
bl.emailportal-portailcourriel.canada.ca,dig error
blockcerts.talent.canada.ca,none
blog.aws.uptime.ised-isde.canada.ca,none
blog.canada.ca,none
blog.iscwp.uptime.ised-isde.canada.ca,none
blog.pumpkinpie.uptime.ised-isde.canada.ca,none
blog.tbs.alpha.canada.ca,none
blog.uptime.ised-isde.canada.ca,none
blogue-sct.canada.ca,none
blogue.canada.ca,none
blogue.tbs.alpha.canada.ca,none
buy.canada.ca,none
cafedesdonnees.ssc-spc.cloud-nuage.canada.ca,none
cakes.uptime.ised-isde.canada.ca,none
canada-buys.canada.ca,none
canada-service-corps.canada.ca,none
canada.ca,none
canadabuys.canada.ca,none
canadacorps-corpsducanada.canada.ca,none
canadacorps.canada.ca,none
canadaservicecorps-corpsdeserviceducanada.canada.ca,none
canadaservicecorps.canada.ca,none
careers-carrieres.cbsa-asfc.cloud-nuage.canada.ca,none
careers.cbsa-asfc.cloud-nuage.canada.ca,none
carrieres-civiles-defense.canada.ca,none
carrieres-civils-defense.canada.ca,none
carte-indicateurs.canada.ca,none
carte-service-anciens-combattants.canada.ca,none
cartes-dev.canada.ca,none
cartes-environnementales.canada.ca,none
cartes-staging.canada.ca,none
cartes-test.canada.ca,none
cartes.canada.ca,none
catalogue-scientifique.canada.ca,none
cbsa-asfc.cloud-nuage.canada.ca,none
ccapi-ipacc.cbsa-asfc.cloud-nuage.canada.ca,none
ccp-pcc.cbsa-asfc.cloud-nuage.canada.ca,none
cdn.canada.ca,none
cdxp-penc.canada.ca,none
ced-dec.canada.ca,none
ced.canada.ca,none
cedportal.canada.ca,none
changements-climatiques.canada.ca,none
chat.canadabuys.canada.ca,none
chis.canada.ca,none
cipo.uptime.ised-isde.canada.ca,none
ciqap.canada.ca,none
civilian-careers-defence.canada.ca,none
ck.ised-isde.canada.ca,none
claim-tax-benefits.alpha.canada.ca,none
climate-change.canada.ca,none
climate-modelling.canada.ca,none
climate-scenarios.canada.ca,none
climate-viewer-qa.canada.ca,none
climate-viewer.canada.ca,none
clinical-information.canada.ca,none
cms-sgc.esdc-edsc.canada.ca,none
cms-test.osdp-psdo.canada.ca,none
cms.osdp-psdo.canada.ca,none
cnphi.canada.ca,none
cnrc.canada.ca,none
co-api.co.service.cloud-nuage.canada.ca,none
co.service.cloud-nuage.canada.ca,none
code.open.canada.ca,none
code.ouvert.canada.ca,none
common-project-search.canada.ca,none
communaute-financiere.canada.ca,none
comptesgc.canada.ca,none
conception.alpha.canada.ca,none
conception.canada.ca,none
conference.video.canada.ca,none
confluence.gcfm.canada.ca,none
connect.canada.ca,none
connecter.canada.ca,none
console.dev.openshift.ised-isde.canada.ca,none
console.lab.openshift.ised-isde.canada.ca,none
console.prod.openshift.ised-isde.canada.ca,none
consultations-edsc.canada.ca,none
core-ombuds.canada.ca,none
corpsdeserviceducanada-canadaservicecorps.canada.ca,none
corpsdeserviceducanada.canada.ca,none
corpsducanada-canadacorps.canada.ca,none
corpsducanada.canada.ca,none
cost-illness.canada.ca,none
cot-queue.cbsa-asfc.cloud-nuage.canada.ca,none
cot-queue.dev.cbsa-asfc.cloud-nuage.canada.ca,none
cot-queue.test.cbsa-asfc.cloud-nuage.canada.ca,none
courriel-email.canada.ca,dig error
courrielweb-webmail.canada.ca,none
courrielweb.canada.ca,none
cout-maladie.canada.ca,none
covid-19-guidance.tbs.alpha.canada.ca,none
covid-19inventory.tbs.alpha.canada.ca,none
covid-alert-portal.alpha.canada.ca,none
covid-benefits.alpha.canada.ca,none
covid-notification.alpha.canada.ca,none
covid-prestations-dts.alpha.canada.ca,none
covid-prestations.alpha.canada.ca,none
covid-vaccine.canada.ca,none
cpanel.app.canada.ca,none
cpanel.apps.canada.ca,none
cpanel.beta.canada.ca,none
cpanel.io.canada.ca,none
cpanel.lululemonoutlet--canada.ca,none
cpanel.sr.canada.ca,none
cpanel.uggs--canada.ca,none
cpcalendars.beta.canada.ca,none
cpcalendars.io.canada.ca,none
cpcalendars.lululemonoutlet--canada.ca,none
cpcalendars.uggs--canada.ca,none
cpcontacts.beta.canada.ca,none
cpcontacts.io.canada.ca,none
cpcontacts.lululemonoutlet--canada.ca,none
cpcontacts.uggs--canada.ca,none
cps.canada.ca,none
crawos.tbs.alpha.canada.ca,none
crowd.ised-isde.canada.ca,none
crt-ort.esdc-edsc.canada.ca,none
csc-scc.video.canada.ca,none
csnpe-nslsc.canada.ca,none
csw.open.canada.ca,none
ctst.email-courriel.canada.ca,none
ctst.youremail-votrecourriel.canada.ca,none
d1d-dev-gcfm.canada.ca,none
d2a.fm2.canada.ca,none
d2e.fm2.canada.ca,none
d2h-dev-gcfm.canada.ca,none
d2h-dev.gcfm.canada.ca,none
d2j.fm2.canada.ca,none
