type,label,website,hostname,level
ministry,Alberta Ministry of Agriculture and Forestry,http://www.agric.gov.ab.ca/app21/rtw/index.jsp,agric.gov.ab.ca,
parliament,Legislative Assembly of Alberta,https://assembly.ab.ca/,assembly.ab.ca,central-1
supreme_court,Legislative Assembly of Alberta,https://assembly.ab.ca/,assembly.ab.ca,central-1
supreme_court,Newfoundland and Labrador House of Assembly,https://www.assembly.nl.ca/,assembly.nl.ca,central-1
parliament,Newfoundland and Labrador House of Assembly,https://www.assembly.nl.ca/,assembly.nl.ca,central-1
parliament,6th Nunavut Legislature,http://www.assembly.nu.ca,assembly.nu.ca,central-1
supreme_court,Legislative Assembly of Nunavut,https://www.assembly.nu.ca/,assembly.nu.ca,central-1
parliament,Legislative Assembly of Nunavut,https://www.assembly.nu.ca/,assembly.nu.ca,central-1
parliament,Legislative Assembly of Prince Edward Island,https://www.assembly.pe.ca/,assembly.pe.ca,central-1
supreme_court,Legislative Assembly of Prince Edward Island,https://www.assembly.pe.ca/,assembly.pe.ca,central-1
parliament,National Assembly of Quebec,https://www.assnat.qc.ca/fr/index.html,assnat.qc.ca,central-1
parliament,National Assembly of Quebec,https://www.assnat.qc.ca/en/index.html,assnat.qc.ca,central-1
supreme_court,National Assembly of Quebec,https://www.assnat.qc.ca/en/index.html,assnat.qc.ca,central-1
supreme_court,National Assembly of Quebec,https://www.assnat.qc.ca/fr/index.html,assnat.qc.ca,central-1
ministry,Ministry of the Attorney General,https://www.attorneygeneral.jus.gov.on.ca/,attorneygeneral.jus.gov.on.ca,
ministry,Ministry of Education,http://www.edu.gov.on.ca/fre/index.html,edu.gov.on.ca,
constitutional_court,Government of New Brunswick,https://gnb.ca/,gnb.ca,central-1
supreme_court,Legislative Assembly of Manitoba,http://www.gov.mb.ca/legislature/,gov.mb.ca,central-1
parliament,Legislative Assembly of Manitoba,http://www.gov.mb.ca/legislature/,gov.mb.ca,central-1
constitutional_court,University of Toronto Governing Council,https://governingcouncil.utoronto.ca/,governingcouncil.utoronto.ca,local
ministry,Ministry of Health,https://www.health.gov.on.ca/en/,health.gov.on.ca,
ministry,Ministry of Advanced Education,http://www.iae.alberta.ca/,iae.alberta.ca,
constitutional_court,Canada Province of the Society of Jesus,https://jesuites.ca/,jesuites.ca,
constitutional_court,Canada Province of the Society of Jesus,https://jesuits.ca/,jesuits.ca,
constitutional_court,Leduc,https://leduc.ca/,leduc.ca,
supreme_court,Legislative Assembly of British Columbia,http://www.leg.bc.ca/,leg.bc.ca,central-1
parliament,Legislative Assembly of British Columbia,http://www.leg.bc.ca/,leg.bc.ca,central-1
parliament,Legislative Assembly of Saskatchewan,https://www.legassembly.sk.ca/,legassembly.sk.ca,central-1
supreme_court,Legislative Assembly of Saskatchewan,https://www.legassembly.sk.ca/fr/,legassembly.sk.ca,central-1
