hostname,score,sources,label,level
dek.tg.ch,7,wikidata;wikidata,Departement für Erziehung und Kultur | Department of Education and Culture (Thurgau),
ensi-rat.ch,7,wikidata;wikidata,ENSI Board,
ensi.ch,7,wikidata;wikidata,Swiss Federal Nuclear Safety Inspectorate,
finma.ch,7,wikidata;wikidata,Financial Market Supervisory Authority,central
frimobil.ch,7,wikidata;wikidata,Frimobil,
parlament.ch,7,wikidata;wikidata;wikidata;wikidata,Federal Assembly of Switzerland | National Council of Switzerland | Council of States of Switzerland,central
steuerkonferenz.ch,7,wikidata;wikidata,Q105211207,
unesco.ch,7,wikidata;wikidata,Swiss commission for UNESCO | Swiss National Commission for UNESCO,
bger.ch,6,wikidata,Federal Supreme Court of Switzerland,central
finlandabroad.fi,6,wikidata;wikidata,"Embassy of Finland, Bern | Permanent Mission of Finland to the United Nations, Geneva",central
fngeneve.um.dk,6,wikidata;wikidata,Permanent Mission of Denmark to the UN in Geneve,
iom.int,6,wikidata;wikidata;wikidata,International Organization for Migration,
jesuiten.org,6,wikidata;wikidata,Jesuit Province of Central Europe,
norway.no,6,wikidata;wikidata,"Embassy of Norway, Bern | Permanent Missions of Norway to the UN and WTO/EFTA in Geneva",central
ambacamberne.ch,4,wikidata,"Embassy of Cameroon, Bern",central
ambassade-algerie.ch,4,wikidata,"Embassy of Algeria, Bern",central
ambassade-mission-tchad.ch,4,wikidata,embassy of Chad to Switzerland,central
archaeologie.bl.ch,4,wikidata,Archaeology Baselland,
archaeologie.bs.ch,4,wikidata,Archäologische Bodenforschung Basel-Stadt,
archaeologie.gr.ch,4,wikidata,Archaeological Service of the Grisons,
archaeologie.tg.ch,4,wikidata,Office for Archaeology of the canton of Thurgau,
arcobaleno.ch,4,wikidata,Q3685879,
armee.ch,4,wikidata,Swiss Armed Forces,
armeeapotheke.ch,4,wikidata,Armed Forces Pharmacy,
ava-altenrhein.ch,4,wikidata,Abwasserverband Altenrhein,
bern.mfa.gov.hu,4,wikidata,Embassy of Hungary in Bern,central
berninvest.be.ch,4,wikidata,Bern Economic Development Agency,
bs.ch,4,wikidata,Institut für Rechtsmedizin der Universität Basel,
bstger.ch,4,wikidata,Federal Criminal Court of Switzerland,central
bvger.ch,4,wikidata,Federal Administrative Court,
caf-bienne.ch,4,wikidata,Q2993819,
cambodiaembassy.ch,4,wikidata,embassy of Cambodia to Switzerland,central
ccif.ch,4,wikidata,Q23977985,
ch.usembassy.gov,4,wikidata,"Embassy of the United States, Bern",central
ciip.ch,4,wikidata,Q2992929,
daziogrande.ch,4,wikidata,Big Custom House,
dbu.tg.ch,4,wikidata,Department of Construction and Environment (Thurgau),
deza.ch,4,wikidata,Swiss Agency for Development and Cooperation,
dfs.tg.ch,4,wikidata,Department of Finance and Social Affairs (Thurgau),
div.tg.ch,4,wikidata,Department of the Interior and National Economy (Thurgau),
djibouti.ch,4,wikidata,embassy of Djibouti to Switzerland,central
djs.tg.ch,4,wikidata,Department of Justice and Security (Thurgau),
dsb.bs.ch,4,wikidata,Q113083517,
dtap.ch,4,wikidata,Q114896443,
ed.bs.ch,4,wikidata,Department of Education Basel-Stadt,
edk.ch,4,wikidata,Swiss Conference of Cantonal Ministers of Education,
embaperu.ch,4,wikidata,"Embassy of Peru, Bern",central
erz.be.ch,4,wikidata,Abteilung Bildungsplanung und Evaluation,
fd.bs.ch,4,wikidata,Q113083136,
fedpol.ch,4,wikidata,Federal Office of Police,
feuerwehr.winterthur.ch,4,wikidata,Feuerwehr Winterthur,
ffg.zh.ch,4,wikidata,Office for equality between women and men,
finanzkontrolle.bs.ch,4,wikidata,Q113083547,
gd.bs.ch,4,wikidata,Health Department of the Canton of Basel-Stadt,
gdk-cds.ch,4,wikidata,Swiss Conference of the Cantonal Ministers of Public Health,
gebirgskantone.ch,4,wikidata,Regierungskonferenz der Gebirgskantone,
gef.be.ch,4,wikidata,Gesundheits- und Fürsorgedirektion des Kantons Bern,
geneva.usmission.gov,4,wikidata,U.S. Mission to International Organizations in Geneva,
geneve.ch,4,wikidata,Police Cantonale de Genève,
gerichte.bs.ch,4,wikidata,Q113082411,
handelskammer-d-ch.ch,4,wikidata,German-Swiss Chamber of Commerce,
ifa-swiss.ch,4,wikidata,Q104233143,
ifpdt.ch,4,wikidata,Federal Data Protection and Information Commissioner,central
ige.ch,4,wikidata,Swiss Federal Institute of Intellectual Property,
invia.ch,4,wikidata,Q136912619,
isdc.ch,4,wikidata,Swiss Institute of Comparative Law,
jgk.be.ch,4,wikidata,Amt für Gemeinden und Raumordnung,
jsd.bs.ch,4,wikidata,Q113083320,
kath-tg.ch,4,wikidata,Q134733195,
kdk.ch,4,wikidata,Conference of the Cantonal Governments,
kuwaitembassy.ch,4,wikidata,"Embassy of Kuwait, Bern",central
landsgemeinde.gl.ch,4,wikidata,Landsgemeinde Glarus,
levagabond.ch,4,wikidata,Vagabond,
maldivesmission.ch,4,wikidata,embassy of the Maldives to Switzerland,central
metas.ch,4,wikidata,Federal Institute of Metrology,
missionmali.ch,4,wikidata,embassy of Mali to Switzerland,central
missionofnamibia.ch,4,wikidata,embassy of Namibia to Switzerland,central
mobilis-vaud.ch,4,wikidata,Mobilis,
mofaic.gov.ae,4,wikidata,"Permanent Mission of the United Arab Emirates to the United Nations, Geneva",
mozambiqueembassy.ch,4,wikidata,"Embassy of Mozambique, Geneva",central
mylibero.ch,4,wikidata,Libero-Tarifverbund,
nationalmuseum.ch,4,wikidata,Swiss National Museum,
nunziatura.ch,4,wikidata,Apostolic Nunciature to Switzerland,central
ombudsstelle.bs.ch,4,wikidata,Q113083566,
ondeverte.ch,4,wikidata,Onde Verte,
ostwind.ch,4,wikidata,Ostwind,
passepartout.ch,4,wikidata,Passepartout,
patentgericht.ch,4,wikidata,Federal Patent Court of Switzerland,
pd.bs.ch,4,wikidata,Basel-Stadt Presidential Department,
pfpdt.ch,4,wikidata,Federal Data Protection and Information Commissioner,central
prohelvetia.ch,4,wikidata,Pro Helvetia,
promfr.ch,4,wikidata,Fribourg Development Agency,
protectioncivile.ch,4,wikidata,Civil protection of Switzerland,
publica.ch,4,wikidata,PUBLICA,
repolzurzibiet.ch,4,wikidata,Q122783031,
rwandamission.ch,4,wikidata,"Embassy of Rwanda, Geneva",central
sagw.ch,4,wikidata,Swiss Academy of Humanities and Social Sciences,
sbb.ch,4,wikidata,SBB Transport Police,
seismo.ethz.ch,4,wikidata,Swiss Seismological Service,
skbf-csre.ch,4,wikidata,Schweizerische Koordinationsstelle für Bildungsforschung,
snb.ch,4,wikidata,Swiss National Bank,
southafrica.ch,4,wikidata,"Embassy of South Africa, Bern",central
sozialamt.tg.ch,4,wikidata,Sozialamt des Kantons Thurgau,
sozialversicherungsgericht.zh.ch,4,wikidata,Q2306001,
staatskanzlei.tg.ch,4,wikidata,State Chancellery (Thurgau),
stadt.sg.ch,4,wikidata,Monument Preservation Service of the Canton of St. Gallen,
statistik.bs.ch,4,wikidata,Statistical Office of the Canton of Basel-Stadt,
stawa.bs.ch,4,wikidata,Q113083577,
swir.ch,4,wikidata,Swiss Science Council,
swissmedic.ch,4,wikidata,Swissmedic,
swissmint.ch,4,wikidata,Swissmint,
t-l.ch,4,wikidata,Transports publics de la région lausannoise,
tajikistanmission.ch,4,wikidata,embassy of Tajikistan to Switzerland,central
tarifverbund-zug.ch,4,wikidata,Tarifverbund Zug,
tnw.ch,4,wikidata,Tarifverbund Nordwestschweiz,
tvsz.ch,4,wikidata,Tarifverbund Schwyz,
ugandamission.ch,4,wikidata,embassy of Uganda to Switzerland,central
vgr.zh.ch,4,wikidata,Verwaltungsgericht Kantons Zürich,
vsa.zh.ch,4,wikidata,Office of Elementary Education,
w3.jura.ch,4,wikidata,Office de la Culture Section d'archéologie et Paléontologie,
wsu.bs.ch,4,wikidata,"Department of Economy, Social Affairs and Environment",
zambianmission.ch,4,wikidata,embassy of Zambia to Switzerland,central
zvv.ch,4,wikidata,Zurich Transport Network,
aku.llv.li,3,wikidata,Liechtensteinisches Landesarchiv,
ambaburkinafaso-ch.org,3,wikidata,embassy of Burkina Faso to Switzerland,central
ambasadat.net,3,wikidata,"Embassy of Kosovo, Bern",central
ambassade-niger-geneve.net,3,wikidata,embassy of Niger to Switzerland,central
bern.diplo.de,3,wikidata,Embassy of Germany Bern,central
bern.mae.ro,3,wikidata,Embassy of Romania in Bern,central
bern.veleposlanistvo.si,3,wikidata,"Embassy of Slovenia, Bern",central
ch.ambafrance.org,3,wikidata,"Embassy of France, Bern",central
ch.mfa.lt,3,wikidata,embassy of Lithuania in Switzerland,central
cites.org,3,wikidata,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora,
ehb.swiss,3,wikidata,Swiss Federal University for Vocational Education and Training,
exteriors.gencat.cat,3,wikidata,"Government Delegation of the Generalitat, Geneva",central
geneva.embassy.mn,3,wikidata,embassy of Mongolia in Switzerland,central
geneva.mfa.af,3,wikidata,"Embassy of Afghanistan, Geneva",central
genf-cd.diplo.de,3,wikidata,Q111203843,
genf-io.diplo.de,3,wikidata,Permanent Mission of Germany to the United Nations in Genava,
iom.cz,3,wikidata,International Organization for Migration,
kmu.org,3,wikidata,Wirtschaftskammer Baselland,
mfa.bg,3,wikidata,embassy of Bulgaria,central
mfa.gr,3,wikidata,"Embassy of Greece, Bern",central
mfa.is,3,wikidata,Permanent Mission of Iceland in Geneva,central
missionsenegal-geneve.org,3,wikidata,"Embassy of Senegal, Geneve",central
mzv.cz,3,wikidata,Embassy of the Czech Republic in Switzerland,central
mzv.sk,3,wikidata,"Embassy of Slovakia, Bern",central
swedenabroad.com,3,wikidata,"Embassy of Sweden, Bern",central
switzerland.mid.ru,3,wikidata,"Embassy of Russia, Bern",central
switzerland.nlembassy.org,3,wikidata,"Embassy of the Netherlands, Bern",central
tas-cas.org,3,wikidata,Court of Arbitration for Sport,
unireso.com,3,wikidata,Unireso,
unjiu.org,3,wikidata,Joint Inspection Unit,
who.int,3,wikidata,World Health Assembly,
zeneva.predstavnistvo.si,3,wikidata,Permanent Mission of Slovenia to the United Nations and other International Organizations in Geneva,
bundesanwaltschaft.ch,2,wikidata;wikidata;wikidata;wikidata,Office of the Attorney General of Switzerland,
ethrat.ch,2,wikidata;wikidata;wikidata;wikidata;wikidata,ETH Board | ETH Domain,
innosuisse.ch,2,wikidata;wikidata;wikidata,Innosuisse,
jura.ch,2,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"State Chancellery (Jura) | Department of Education, Culture and Sports (Jura) | Interior Department (Jura) | Department of Economics and Health (Jura) | Finance Department (Jura) | Archaeology and Paleontology Section of the Canton of Jura | Environment Department (Jura)",
kultur.bkd.be.ch,2,wikidata;wikidata;wikidata;wikidata,Monument Preservation Service of the Canton of Bern | Archaeological Service of the Canton of Bern,
wissenschaftsrat.ch,2,wikidata;wikidata;wikidata,Swiss Science Council,
roc-taiwan.org,1,wikidata;wikidata;wikidata;wikidata,"Permanent Mission of the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu to the World Trade Organization | Q100487529 | Q109415086 | Q100487759",
