hostname,http_status,mx
ag.ch,302,0 ag-ch.mail.protection.outlook.com.
ai.ch,200,10 ktvmx02.mail.admin.ch.; 10 ktvmx01.mail.admin.ch.; 10 ktvmx04.mail.admin.ch.; 10 ktvmx03.mail.admin.ch.
aku.llv.li,HttpConnectTimeoutException: HTTP connect timed out,none
ambaburkinafaso-ch.org,ConnectException,none
ambacamberne.ch,ConnectException,10 mail.mission-permanente-cameroun.ch.
ambasadat.net,200,none
ambassade-algerie.ch,200,5 mta-gw.infomaniak.ch.
ambassade-mission-tchad.ch,200,10 iredmail.netoxygen.ch.
ambassade-niger-geneve.net,200,none
ar.ch,200,10 dmzfml0001.ari-ag.ch.; 11 dmzfml0002.ari-ag.ch.
archaeologie.bl.ch,HttpConnectTimeoutException: HTTP connect timed out,none
archaeologie.bs.ch,301,none
archaeologie.gr.ch,302,none
archaeologie.tg.ch,HttpConnectTimeoutException: HTTP connect timed out,none
arcobaleno.ch,403,40 mx2.post.ch.; 40 mx1.post.ch.
are.zh.ch,IOException: EOF reached while reading,none
armee.ch,301,10 mx1.trendhosting-net.ch.; 20 mx2.trendhosting-net.ch.
armeeapotheke.ch,301,none
ava-altenrhein.ch,301,0 avaaltenrhein-ch0i.mail.protection.outlook.com.
baselland.ch,302,none
bern.diplo.de,200,none
bern.mae.ro,503,none
bern.mfa.gov.hu,HttpConnectTimeoutException: HTTP connect timed out,10 mailb.bern.mfa.gov.hu.; 10 maila.bern.mfa.gov.hu.
bern.veleposlanistvo.si,SSLHandshakeException: Remote host terminated the handshake,none
berninvest.be.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mailhub2.be.ch.; 10 mailhub1.be.ch.
bger.ch,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx04.mail.admin.ch.; 10 mx02.mail.admin.ch.; 10 mx01.mail.admin.ch.; 10 mx03.mail.admin.ch.
bs.ch,HttpConnectTimeoutException: HTTP connect timed out,20 mail10.swisscom.com.; 20 mail20.swisscom.com.; 10 mail.swisscom.com.
bstger.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mx02.mail.admin.ch.; 10 mx03.mail.admin.ch.; 10 mx04.mail.admin.ch.; 10 mx01.mail.admin.ch.
bundesanwaltschaft.ch,301,none
bvd.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,none
bvger.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mailgate.swiss-gov.ch.
caf-bienne.ch,HttpConnectTimeoutException: HTTP connect timed out,none
