type,label,website,hostname,level
constitutional_court,Swiss Federal Council,https://www.admin.ch/gov/fr/accueil/conseil-federal.html,admin.ch,central
constitutional_court,Swiss Federal Council,https://www.admin.ch/gov/rm/pagina-iniziala/cussegl-federal.html,admin.ch,central
constitutional_court,Swiss Federal Council,https://www.admin.ch/gov/de/start/bundesrat.html,admin.ch,central
constitutional_court,Swiss Federal Council,https://www.admin.ch/gov/it/pagina-iniziale/consiglio-federale.html,admin.ch,central
constitutional_court,Swiss Federal Council,https://www.admin.ch/gov/en/start/federal-council.html,admin.ch,central
parliament,Grand Council of Aargau,https://www.ag.ch/grossrat/grweb/,ag.ch,central-1
supreme_court,Grand Council of Aargau,https://www.ag.ch/grossrat/grweb/,ag.ch,central-1
parliament,Landsgemeinde Appenzell Innerrhoden,https://www.ai.ch/politik/landsgemeinde,ai.ch,
parliament,Grand Council of Appenzell Innerrhoden,https://www.ai.ch/politik/grosser-rat,ai.ch,central-1
supreme_court,Grand Council of Appenzell Innerrhoden,https://www.ai.ch/politik/grosser-rat,ai.ch,central-1
parliament,Q114859480,https://www.allschwil.ch/en/politics/,allschwil.ch,local
supreme_court,Q114859480,https://www.allschwil.ch/en/politics/,allschwil.ch,local
parliament,Q114859480,https://www.allschwil.ch/de/politik/einwohnerrat/,allschwil.ch,local
supreme_court,Q114859480,https://www.allschwil.ch/de/politik/einwohnerrat/,allschwil.ch,local
supreme_court,Cantonal Council of Appenzell Ausserrhoden,https://www.ar.ch/kantonsrat/,ar.ch,central-1
parliament,Cantonal Council of Appenzell Ausserrhoden,https://www.ar.ch/kantonsrat/,ar.ch,central-1
parliament,Landrat of Basel-Landschaft,https://www.baselland.ch/politik-und-behorden/landrat-parlament,baselland.ch,central-1
supreme_court,Landrat of Basel-Landschaft,https://www.baselland.ch/politik-und-behorden/landrat-parlament,baselland.ch,central-1
supreme_court,Q137886745,https://www.biel-bienne.ch/fr/conseil-ville.html/746,biel-bienne.ch,local
parliament,Q137886745,https://www.biel-bienne.ch/fr/conseil-ville.html/746,biel-bienne.ch,local
ministry,Federal Department of Foreign Affairs,https://www.eda.admin.ch/,eda.admin.ch,
ministry,Federal Department of Home Affairs,https://www.edi.admin.ch/,edi.admin.ch,
ministry,Federal Department of Finance,https://www.efd.admin.ch,efd.admin.ch,
ministry,Federal Department of Justice and Police,http://www.ejpd.admin.ch/ejpd/en/home.html,ejpd.admin.ch,
parliament,Grand Council of Fribourg,https://www.fr.ch/gc,fr.ch,central-1
supreme_court,Grand Council of Fribourg,https://www.fr.ch/de/gr,fr.ch,central-1
supreme_court,Grand Council of Fribourg,https://www.fr.ch/gc,fr.ch,central-1
parliament,Grand Council of Fribourg,https://www.fr.ch/de/gr,fr.ch,central-1
parliament,Grand Council of Geneva,https://ge.ch/grandconseil/,ge.ch,central-1
supreme_court,Grand Council of Geneva,https://ge.ch/grandconseil/,ge.ch,central-1
parliament,Zurich City Parliament,http://www.gemeinderat-zuerich.ch/,gemeinderat-zuerich.ch,local
supreme_court,Zurich City Parliament,http://www.gemeinderat-zuerich.ch/,gemeinderat-zuerich.ch,local
supreme_court,Winterthur Municipal Council,https://gemeinderat.winterthur.ch/,gemeinderat.winterthur.ch,local
parliament,Winterthur Municipal Council,https://gemeinderat.winterthur.ch/,gemeinderat.winterthur.ch,local
supreme_court,Landrat of Glarus,https://www.gl.ch/parlament/landrat.html/250,gl.ch,central-1
parliament,Landrat of Glarus,https://www.gl.ch/parlament/landrat.html/250,gl.ch,central-1
parliament,Grand Council of Grisons,https://www.gr.ch/DE/institutionen/parlament/Seiten/GrosserRat.aspx,gr.ch,central-1
supreme_court,Grand Council of Grisons,https://www.gr.ch/DE/institutionen/parlament/Seiten/GrosserRat.aspx,gr.ch,central-1
constitutional_court,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
parliament,Landsgemeinde Glarus,https://www.landsgemeinde.gl.ch,landsgemeinde.gl.ch,
parliament,Q71801799,https://www.lausanne.ch/officiel/conseil-communal.html,lausanne.ch,local
supreme_court,Q71801799,https://www.lausanne.ch/officiel/conseil-communal.html,lausanne.ch,local
supreme_court,Cantonal Council of Lucerne,http://www.lu.ch/kantonsrat,lu.ch,central-1
parliament,Cantonal Council of Lucerne,http://www.lu.ch/kantonsrat,lu.ch,central-1
supreme_court,Landrat of Nidwalden,https://www.nw.ch/landratmain/2114,nw.ch,central-1
parliament,Landrat of Nidwalden,https://www.nw.ch/landratmain/2114,nw.ch,central-1
parliament,Cantonal Council of Obwalden,https://www.ow.ch/de/politik/kantonsratmain/kantonsratview/,ow.ch,central-1
supreme_court,Cantonal Council of Obwalden,https://www.ow.ch/de/politik/kantonsratmain/kantonsratview/,ow.ch,central-1
supreme_court,Federal Assembly of Switzerland,https://www.parlament.ch,parlament.ch,central
parliament,Federal Assembly of Switzerland,https://www.parlament.ch,parlament.ch,central
parliament,Grand Council of Valais,https://parlement.vs.ch/app/fr/home,parlement.vs.ch,central-1
supreme_court,Grand Council of Valais,https://parlement.vs.ch/app/fr/home,parlement.vs.ch,central-1
supreme_court,Cantonal Council of Sankt Gallen,https://www.sg.ch/politik-verwaltung/kantonsrat.html,sg.ch,central-1
parliament,Cantonal Council of Sankt Gallen,https://www.sg.ch/politik-verwaltung/kantonsrat.html,sg.ch,central-1
parliament,Cantonal Council of Schaffhausen,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat-40609-DE.html,sh.ch,central-1
supreme_court,Cantonal Council of Schaffhausen,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat-40609-DE.html,sh.ch,central-1
constitutional_court,Q135560728,https://www.sion.ch/conseilmunicipal/13728,sion.ch,local
supreme_court,Q131731590,https://www.stadt-schaffhausen.ch/dergrossestadtrat/28655,stadt-schaffhausen.ch,local
parliament,Q131731590,https://www.stadt-schaffhausen.ch/dergrossestadtrat/28655,stadt-schaffhausen.ch,local
constitutional_court,Zurich City Council,https://www.stadt-zuerich.ch/stadtrat,stadt-zuerich.ch,local
supreme_court,Cantonal Council of Schwyz,https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/auf-einen-blick.html/72-416-375-365-357,sz.ch,central-1
parliament,Cantonal Council of Schwyz,https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/auf-einen-blick.html/72-416-375-365-357,sz.ch,central-1
supreme_court,Cantonal Council of Schwyz,https://www.sz.ch,sz.ch,central-1
parliament,Cantonal Council of Schwyz,https://www.sz.ch,sz.ch,central-1
ministry,"Federal Department of Environment, Transport, Energy and Communications",https://www.uvek.admin.ch,uvek.admin.ch,
ministry,"Federal Department of Defence, Civil Protection and Sports",https://www.vbs.admin.ch/,vbs.admin.ch,
ministry,"Federal Department of Economic Affairs, Education and Research",https://www.wbf.admin.ch/,wbf.admin.ch,
parliament,World Health Assembly,https://www.who.int/about/governance/world-health-assembly,who.int,
supreme_court,Grand Council of Ticino,http://www4.ti.ch/index.php?id=36534,www4.ti.ch,central-1
parliament,Grand Council of Ticino,http://www4.ti.ch/index.php?id=36534,www4.ti.ch,central-1
supreme_court,Cantonal Council of Zug,https://www.zg.ch/behoerden/kr,zg.ch,central-1
parliament,Cantonal Council of Zug,https://www.zg.ch/behoerden/kr,zg.ch,central-1
