type,label,website,hostname,level
parliament,Grand Council of Aargau,https://www.ag.ch/grossrat/grweb/,ag.ch,
parliament,Grand Council of Fribourg,https://www.fr.ch/de/gr,fr.ch,
parliament,Grand Council of Fribourg,https://www.fr.ch/gc,fr.ch,
parliament,Landrat of Nidwalden,https://www.nw.ch/landratmain/2114,nw.ch,
parliament,Winterthur Municipal Council,https://gemeinderat.winterthur.ch/,gemeinderat.winterthur.ch,
parliament,Landrat of Basel-Landschaft,https://www.baselland.ch/politik-und-behorden/landrat-parlament,baselland.ch,
parliament,Grand Council of Valais,https://parlement.vs.ch/app/fr/home,parlement.vs.ch,
parliament,Federal Assembly of Switzerland,https://www.parlament.ch,parlament.ch,
parliament,Grand Council of Grisons,https://www.gr.ch/DE/institutionen/parlament/Seiten/GrosserRat.aspx,gr.ch,
parliament,Zurich City Parliament,http://www.gemeinderat-zuerich.ch/,gemeinderat-zuerich.ch,
parliament,Cantonal Council of Zug,https://www.zg.ch/behoerden/kr,zg.ch,
parliament,Q137886745,https://www.biel-bienne.ch/fr/conseil-ville.html/746,biel-bienne.ch,
parliament,Cantonal Council of Appenzell Ausserrhoden,https://www.ar.ch/kantonsrat/,ar.ch,
parliament,Landrat of Glarus,https://www.gl.ch/parlament/landrat.html/250,gl.ch,
parliament,Q71801799,https://www.lausanne.ch/officiel/conseil-communal.html,lausanne.ch,
parliament,Landsgemeinde Appenzell Innerrhoden,https://www.ai.ch/politik/landsgemeinde,ai.ch,
parliament,Grand Council of Appenzell Innerrhoden,https://www.ai.ch/politik/grosser-rat,ai.ch,
parliament,Q131731590,https://www.stadt-schaffhausen.ch/dergrossestadtrat/28655,stadt-schaffhausen.ch,
parliament,Grand Council of Ticino,http://www4.ti.ch/index.php?id=36534,www4.ti.ch,
parliament,Grand Council of Geneva,https://ge.ch/grandconseil/,ge.ch,
parliament,Landsgemeinde Glarus,https://www.landsgemeinde.gl.ch,landsgemeinde.gl.ch,
parliament,Cantonal Council of Sankt Gallen,https://www.sg.ch/politik-verwaltung/kantonsrat.html,sg.ch,
parliament,World Health Assembly,https://www.who.int/about/governance/world-health-assembly,who.int,
parliament,Q114859480,https://www.allschwil.ch/de/politik/einwohnerrat/,allschwil.ch,
parliament,Q114859480,https://www.allschwil.ch/en/politics/,allschwil.ch,
parliament,Cantonal Council of Schwyz,https://www.sz.ch,sz.ch,
parliament,Cantonal Council of Lucerne,http://www.lu.ch/kantonsrat,lu.ch,
parliament,Cantonal Council of Schaffhausen,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat-40609-DE.html,sh.ch,
parliament,Cantonal Council of Obwalden,https://www.ow.ch/de/politik/kantonsratmain/kantonsratview/,ow.ch,
parliament,Cantonal Council of Schwyz,https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/auf-einen-blick.html/72-416-375-365-357,sz.ch,
constitutional_court,Jesuit Province of Central Europe,https://www.jesuiten.org/,jesuiten.org,
constitutional_court,Zurich City Council,https://www.stadt-zuerich.ch/stadtrat,stadt-zuerich.ch,
constitutional_court,Q135560728,https://www.sion.ch/conseilmunicipal/13728,sion.ch,
supreme_court,Grand Council of Aargau,https://www.ag.ch/grossrat/grweb/,ag.ch,
supreme_court,Grand Council of Fribourg,https://www.fr.ch/de/gr,fr.ch,
supreme_court,Grand Council of Fribourg,https://www.fr.ch/gc,fr.ch,
supreme_court,Landrat of Nidwalden,https://www.nw.ch/landratmain/2114,nw.ch,
supreme_court,Winterthur Municipal Council,https://gemeinderat.winterthur.ch/,gemeinderat.winterthur.ch,
supreme_court,Landrat of Basel-Landschaft,https://www.baselland.ch/politik-und-behorden/landrat-parlament,baselland.ch,
supreme_court,Grand Council of Valais,https://parlement.vs.ch/app/fr/home,parlement.vs.ch,
supreme_court,Federal Assembly of Switzerland,https://www.parlament.ch,parlament.ch,
supreme_court,Grand Council of Grisons,https://www.gr.ch/DE/institutionen/parlament/Seiten/GrosserRat.aspx,gr.ch,
supreme_court,Zurich City Parliament,http://www.gemeinderat-zuerich.ch/,gemeinderat-zuerich.ch,
supreme_court,Cantonal Council of Zug,https://www.zg.ch/behoerden/kr,zg.ch,
supreme_court,Q137886745,https://www.biel-bienne.ch/fr/conseil-ville.html/746,biel-bienne.ch,
supreme_court,Cantonal Council of Appenzell Ausserrhoden,https://www.ar.ch/kantonsrat/,ar.ch,
supreme_court,Landrat of Glarus,https://www.gl.ch/parlament/landrat.html/250,gl.ch,
supreme_court,Q71801799,https://www.lausanne.ch/officiel/conseil-communal.html,lausanne.ch,
supreme_court,Grand Council of Appenzell Innerrhoden,https://www.ai.ch/politik/grosser-rat,ai.ch,
supreme_court,Q131731590,https://www.stadt-schaffhausen.ch/dergrossestadtrat/28655,stadt-schaffhausen.ch,
supreme_court,Grand Council of Ticino,http://www4.ti.ch/index.php?id=36534,www4.ti.ch,
supreme_court,Grand Council of Geneva,https://ge.ch/grandconseil/,ge.ch,
supreme_court,Cantonal Council of Sankt Gallen,https://www.sg.ch/politik-verwaltung/kantonsrat.html,sg.ch,
supreme_court,Q114859480,https://www.allschwil.ch/de/politik/einwohnerrat/,allschwil.ch,
supreme_court,Q114859480,https://www.allschwil.ch/en/politics/,allschwil.ch,
supreme_court,Cantonal Council of Schwyz,https://www.sz.ch,sz.ch,
supreme_court,Cantonal Council of Lucerne,http://www.lu.ch/kantonsrat,lu.ch,
supreme_court,Cantonal Council of Schaffhausen,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat-40609-DE.html,sh.ch,
supreme_court,Cantonal Council of Obwalden,https://www.ow.ch/de/politik/kantonsratmain/kantonsratview/,ow.ch,
supreme_court,Cantonal Council of Schwyz,https://www.sz.ch/behoerden/regierung-parlament-gerichte/parlament/auf-einen-blick.html/72-416-375-365-357,sz.ch,
