hostname,score,sources,label,level
goretarapaca.gov.cl,8,wikidata;wikidata,Regional Council of Tarapacá,central-1
corecoquimbo.cl,7,wikidata;wikidata,Regional Council of Coquimbo,central-1
coredelosrios.cl,7,wikidata;wikidata,Regional Council of Los Ríos,central-1
coremagallanes.cl,7,wikidata;wikidata,Regional Council of Magallanes y la Antártica Chilena,central-1
corevalparaiso.cl,7,wikidata;wikidata,Regional Council of Valparaíso,central-1
dellibertador.cl,7,wikidata;wikidata,Regional Council of O'Higgins,central-1
gobiernosantiago.cl,7,wikidata;wikidata,Regional Council of the Metropolitan Region of Santiago,central-1
goreantofagasta.cl,7,wikidata;wikidata,Regional Council of Antofagasta,central-1
gorearaucania.cl,7,wikidata;wikidata,Regional Council of La Araucanía,central-1
gorearicayparinacota.cl,7,wikidata;wikidata,Regional Council of Arica and Parinacota,central-1
goreaysen.cl,7,wikidata;wikidata,Regional Council of Aysén,central-1
goremaule.cl,7,wikidata;wikidata,Regional Council of Maule,central-1
regiondeloslagos.cl,7,wikidata;wikidata,Regional Council of Los Lagos,central-1
sitio.gorebiobio.cl,7,wikidata;wikidata,Regional Council of Biobío,central-1
uchile.cl,7,wikidata;wikidata;wikidata,University of Chile,university
uantof.cl,4,wikidata,University of Antofagasta,university
ubiobio.cl,4,wikidata,University of the Bío-Bío,university
usach.cl,4,wikidata,University of Santiago,university
utalca.cl,4,wikidata,University of Talca,university
uv.cl,4,wikidata,University of Valparaíso,university
pichilemu.cl,7,wikidata;wikidata,Pichilemu Municipal Council,local
cbms.cl,4,wikidata,"Metropolitan Fire Department, South",local
cbpv.cl,4,wikidata,Q102420501,local
ssmc.cl,4,wikidata,Central Metropolitan Health Service,local
ssmn.cl,4,wikidata,Servicio de Salud Metropolitano Norte,local
