subdomain,http_status
034000.gov.cn,"Connection timed out after 3000 milliseconds"
10000.gxdx.gov.cn,"Resolving timed out after 3001 milliseconds"
10086.gxdx.gov.cn,"Could not resolve host: 10086.gxdx.gov.cn"
122.gov.cn,"Could not resolve host: 122.gov.cn"
12309.gov.cn,"Connection timed out after 3001 milliseconds"
12333net.wzhrss.gov.cn,"Could not resolve host: 12333net.wzhrss.gov.cn"
12333sh.gov.cn,"Could not resolve host: 12333sh.gov.cn"
12333zjg.gov.cn,"Could not resolve host: 12333zjg.gov.cn"
12345.foshan.gov.cn,"Connection timed out after 3000 milliseconds"
12348.justice.gov.cn,"Could not resolve host: 12348.justice.gov.cn"
12349.tysq.gov.cn,"Could not resolve host: 12349.tysq.gov.cn"
12365.gov.cn,"Resolving timed out after 3000 milliseconds"
12366.cqsw.gov.cn,"Resolving timed out after 3000 milliseconds"
12366.gs-n-tax.gov.cn,"Resolving timed out after 3000 milliseconds"
12388.gov.cn,"Could not resolve host: 12388.gov.cn"
2016.tajy.gov.cn,"Could not resolve host: 2016.tajy.gov.cn"
2018.lzsjcy.gov.cn,"Could not resolve host: 2018.lzsjcy.gov.cn"
315.gxdx.gov.cn,"Could not resolve host: 315.gxdx.gov.cn"
3g.gxdx.gov.cn,"Could not resolve host: 3g.gxdx.gov.cn"
3np.yunji.gov.cn,"Could not resolve host: 3np.yunji.gov.cn"
4g.gxdx.gov.cn,"Could not resolve host: 4g.gxdx.gov.cn"
5001.gzjjzd.gov.cn,"Could not resolve host: 5001.gzjjzd.gov.cn"
51lian.dtczj.gov.cn,"Could not resolve host: 51lian.dtczj.gov.cn"
520.gxdx.gov.cn,"Could not resolve host: 520.gxdx.gov.cn"
521.gxdx.gov.cn,"Could not resolve host: 521.gxdx.gov.cn"
5g.gxdx.gov.cn,"Could not resolve host: 5g.gxdx.gov.cn"
8083.gzjjzd.gov.cn,"Could not resolve host: 8083.gzjjzd.gov.cn"
8084.gzjjzd.gov.cn,"Could not resolve host: 8084.gzjjzd.gov.cn"
8086.gzjjzd.gov.cn,"Could not resolve host: 8086.gzjjzd.gov.cn"
888.glqz.gov.cn,"Could not resolve host: 888.glqz.gov.cn"
962727.gov.cn,"Could not resolve host: 962727.gov.cn"
a.gwxf.gov.cn,"Resolving timed out after 3000 milliseconds"
a.gxdx.gov.cn,"Could not resolve host: a.gxdx.gov.cn"
a.rakj.gov.cn,"Could not resolve host: a.rakj.gov.cn"
a.rast.gov.cn,"Could not resolve host: a.rast.gov.cn"
a.szfb.gov.cn,"Could not resolve host: a.szfb.gov.cn"
a.tmfda.gov.cn,"Could not resolve host: a.tmfda.gov.cn"
a.tmjjjc.gov.cn,"Could not resolve host: a.tmjjjc.gov.cn"
a.ts.gxdx.gov.cn,"Could not resolve host: a.ts.gxdx.gov.cn"
a.tst.gov.cn,"Could not resolve host: a.tst.gov.cn"
abof.gov.cn,"Could not resolve host: abof.gov.cn"
acc.szfb.gov.cn,"Could not resolve host: acc.szfb.gov.cn"
ad-ds-0.jnfda.gov.cn,"Could not resolve host: ad-ds-0.jnfda.gov.cn"
ad-ds-1.jnfda.gov.cn,"Could not resolve host: ad-ds-1.jnfda.gov.cn"
ad-ds-2.jnfda.gov.cn,"Could not resolve host: ad-ds-2.jnfda.gov.cn"
admin.blzq.gov.cn,"Could not resolve host: admin.blzq.gov.cn"
admin.blzqjjjc.gov.cn,"Could not resolve host: admin.blzqjjjc.gov.cn"
admin.dg.gov.cn,"Resolving timed out after 3000 milliseconds"
admin.dingcheng.gov.cn,"Could not resolve host: admin.dingcheng.gov.cn"
admin.dmfy.gov.cn,"Resolving timed out after 3000 milliseconds"
admin.fjylbz.gov.cn,"Could not resolve host: admin.fjylbz.gov.cn"
admin.gazxfz.gov.cn,"Connection timed out after 3001 milliseconds"
admin.gc.luohu.gov.cn,"Could not resolve host: admin.gc.luohu.gov.cn"
