subdomain,http_status,mx
034000.gov.cn,Connection timed out after 3000 milliseconds,none
10000.gxdx.gov.cn,Resolving timed out after 3001 milliseconds,none
10086.gxdx.gov.cn,Could not resolve host: 10086.gxdx.gov.cn,none
122.gov.cn,Could not resolve host: 122.gov.cn,none
12309.gov.cn,Connection timed out after 3001 milliseconds,none
12333net.wzhrss.gov.cn,Could not resolve host: 12333net.wzhrss.gov.cn,none
12333sh.gov.cn,Could not resolve host: 12333sh.gov.cn,none
12333zjg.gov.cn,Could not resolve host: 12333zjg.gov.cn,none
12345.foshan.gov.cn,Connection timed out after 3000 milliseconds,none
12348.justice.gov.cn,Could not resolve host: 12348.justice.gov.cn,none
12349.tysq.gov.cn,Could not resolve host: 12349.tysq.gov.cn,none
12365.gov.cn,Resolving timed out after 3000 milliseconds,none
12366.cqsw.gov.cn,Resolving timed out after 3000 milliseconds,dig error
12366.gs-n-tax.gov.cn,Resolving timed out after 3000 milliseconds,none
12388.gov.cn,Could not resolve host: 12388.gov.cn,none
2016.tajy.gov.cn,Could not resolve host: 2016.tajy.gov.cn,none
2018.lzsjcy.gov.cn,Could not resolve host: 2018.lzsjcy.gov.cn,none
315.gxdx.gov.cn,Could not resolve host: 315.gxdx.gov.cn,none
3g.gxdx.gov.cn,Could not resolve host: 3g.gxdx.gov.cn,none
3np.yunji.gov.cn,Could not resolve host: 3np.yunji.gov.cn,none
4g.gxdx.gov.cn,Could not resolve host: 4g.gxdx.gov.cn,none
5001.gzjjzd.gov.cn,Could not resolve host: 5001.gzjjzd.gov.cn,none
51lian.dtczj.gov.cn,Could not resolve host: 51lian.dtczj.gov.cn,none
520.gxdx.gov.cn,Could not resolve host: 520.gxdx.gov.cn,none
521.gxdx.gov.cn,Could not resolve host: 521.gxdx.gov.cn,none
5g.gxdx.gov.cn,Could not resolve host: 5g.gxdx.gov.cn,none
8083.gzjjzd.gov.cn,Could not resolve host: 8083.gzjjzd.gov.cn,none
8084.gzjjzd.gov.cn,Could not resolve host: 8084.gzjjzd.gov.cn,none
8086.gzjjzd.gov.cn,Could not resolve host: 8086.gzjjzd.gov.cn,none
888.glqz.gov.cn,Could not resolve host: 888.glqz.gov.cn,none
962727.gov.cn,Could not resolve host: 962727.gov.cn,none
a.gwxf.gov.cn,Resolving timed out after 3000 milliseconds,none
a.gxdx.gov.cn,Could not resolve host: a.gxdx.gov.cn,none
a.rakj.gov.cn,Could not resolve host: a.rakj.gov.cn,none
a.rast.gov.cn,Could not resolve host: a.rast.gov.cn,none
a.szfb.gov.cn,Could not resolve host: a.szfb.gov.cn,none
a.tmfda.gov.cn,Could not resolve host: a.tmfda.gov.cn,none
a.tmjjjc.gov.cn,Could not resolve host: a.tmjjjc.gov.cn,none
a.ts.gxdx.gov.cn,Could not resolve host: a.ts.gxdx.gov.cn,none
a.tst.gov.cn,Could not resolve host: a.tst.gov.cn,none
abof.gov.cn,Could not resolve host: abof.gov.cn,none
acc.szfb.gov.cn,Could not resolve host: acc.szfb.gov.cn,none
ad-ds-0.jnfda.gov.cn,Could not resolve host: ad-ds-0.jnfda.gov.cn,none
ad-ds-1.jnfda.gov.cn,Could not resolve host: ad-ds-1.jnfda.gov.cn,none
ad-ds-2.jnfda.gov.cn,Could not resolve host: ad-ds-2.jnfda.gov.cn,none
