hostname,score,sources,label,level
cm.usembassy.gov,7,wikidata;wikidata,"embassy of the United States in Cameroon | Embassy Branch Office of the United States in Douala, Cameroon",central
diplocam.cm,7,wikidata;wikidata,Ministry of External Relations,central
minader.cm,7,wikidata;wikidata,Ministry of Agriculture and rural development,central
minas.cm,7,wikidata;wikidata,Ministry of Social Affairs,central
minedub.cm,7,wikidata;wikidata,Ministry of Basic Education,central
minmap.cm,7,wikidata;wikidata,Ministry of Public Procurement,central
minpmeesa.cm,7,wikidata;wikidata,"Ministry of small and medium-sized enterprises, social economy and handicrafts",central
minsante.cm,7,wikidata;wikidata,Ministry of Public Health,central
minsep.cm,7,wikidata;wikidata,Ministry of Sports in Cameroon,central
mintss.cm,7,wikidata;wikidata,Ministry of Labour and Social Security,central
campack-cm.com,6,wikidata;wikidata,Ministry of Scientific Research and Innovation,central
ccaa.aero,6,wikidata;wikidata,CCAA,
coursupreme.cm,6,wikidata,Supreme Court of Cameroon,central
minmidt.net,6,wikidata;wikidata,"Ministry of Mines, Industry and Technological Development",central
piaristesafriquecentrale.org,6,wikidata;wikidata,Piarist province of Central Africa,
antic.cm,4,wikidata,Agence Nationale des Technologies de l'Information et de la Communication,
apn.cm,4,wikidata,Q137164175,
archivesnationales.cm,4,wikidata,National Archives of Cameroon,
assnat.cm,4,wikidata,National Assembly of Cameroon,central
ccousp.cm,4,wikidata,Q109056172,
cnls.cm,4,wikidata,Comité National de Lutte contre le SIDA,
conac.cm,4,wikidata,National Anti-Corruption Commission,
ins-cameroun.cm,4,wikidata,Cameroon's National Institute of Statistics,central
senat.cm,4,wikidata,Senate of Cameroon,central
cameroun.mid.ru,3,wikidata,"Embassy of Russia, Yaoundé",central
cm.ambafrance.org,3,wikidata,"Embassy of France, Yaounde",central
douala.consulfrance.org,3,wikidata,consulat général de France à Douala,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Cameroon,
jaunde.diplo.de,3,wikidata,"Embassy of Germany, Yaounde",central
yaounde.consulfrance.org,3,wikidata,Q114377838,
minjustice.cm,2,wikidata;wikidata;wikidata;wikidata,Q133253362 | Q133254175 | Q133253226 | Q133253141,
mintransports.net,1,wikidata;wikidata;wikidata;wikidata,Ministry of Transport of Cameroon,central
