subdomain,parent_domain,http_status,mx
abs-cameroon.minepded.gov.cm,gov.cm,Failed to connect to abs-cameroon.minepded.gov.cm port 443 after 2274 ms: Could not connect to server,none
actes.minfopra.gov.cm,gov.cm,SSL certificate problem: self-signed certificate in certificate chain,none
adminavi.mincom.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
aigles.gov.cm,gov.cm,Could not resolve host: aigles.gov.cm,none
apvcameroun.gov.cm,gov.cm,200,none
authentifie.minfopra.gov.cm,gov.cm,302,none
autodiscover.minpostel.gov.cm,gov.cm,Could not resolve host: autodiscover.minpostel.gov.cm,none
avi.mincom.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
bourse-des-dechets.minepded.gov.cm,gov.cm,200,none
carte.mintoul.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
carto.minfopra.gov.cm,gov.cm,SSL certificate problem: self-signed certificate in certificate chain,none
cartographie.gov.cm,gov.cm,200,none
cloud.minepat.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,none
cnc.gov.cm,gov.cm,200,10 mail.cnc.gov.cm.
conafe.gov.cm,gov.cm,200,10 mail.conafe.gov.cm.
concoursonline.minfopra.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,none
cpanel.cnc.gov.cm,gov.cm,Could not resolve host: cpanel.cnc.gov.cm,none
divcoop.mindef.gov.cm,gov.cm,200,none
dossier.minfopra.gov.cm,gov.cm,302,none
ecommerce.gov.cm,gov.cm,SSL certificate problem: certificate has expired,10 ecommerce.gov.cm.
fichier.minfopra.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'fichier.minfopra.gov.cm',none
files.minesec.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,none
ftp.apvcameroun.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,dig error
ftp.conafe.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,dig error
ftp.minac.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 165.210.33.60.minac.gov.cm.; 10 mail.minac.gov.cm.
ftp.minfof.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,dig error
gov.cm,gov.cm,ConnectException,none
jitsi.mincom.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,none
mail.aigles.gov.cm,gov.cm,Could not resolve host: mail.aigles.gov.cm,none
mail.cnc.gov.cm,gov.cm,301,none
mail.conafe.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,dig error
mail.minac.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'mail.minac.gov.cm',none
mail.mincom.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mail.minddevel.gov.cm,gov.cm,200,none
mail.mindef.gov.cm,gov.cm,200,none
mail.minepat.gov.cm,gov.cm,Operation timed out after 3000 milliseconds with 0 bytes received,none
mail.minepded.gov.cm,gov.cm,Could not resolve host: mail.minepded.gov.cm,none
mail.minesec.gov.cm,gov.cm,200,none
mail.minesup.gov.cm,gov.cm,SSL certificate problem: certificate has expired,none
mail.minfopra.gov.cm,gov.cm,Operation timed out after 3002 milliseconds with 0 bytes received,none
mail.minjec.gov.cm,gov.cm,Could not resolve host: mail.minjec.gov.cm,none
mail.minpostel.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,dig error
mail.spm.gov.cm,gov.cm,Operation timed out after 3000 milliseconds with 0 bytes received,none
meteocameroon.gov.cm,gov.cm,200,5 mx1.hostinger.com.; 10 mx2.hostinger.com.
minac.gov.cm,gov.cm,301,10 165.210.33.60.minac.gov.cm.; 10 mail.minac.gov.cm.
minat.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,10 webhostingzmg.camnet.cm.
mincom.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
mincommerce.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 webhostingzmg.camnet.cm.
mindcaf.gov.cm,gov.cm,Operation timed out after 3002 milliseconds with 0 bytes received,none
minddevel.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,10 mail.minddevel.gov.cm.
mindef.gov.cm,gov.cm,200,10 mail.mindef.gov.cm.
minee.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,none
minepat.gov.cm,gov.cm,200,10 mail.minepat.gov.cm.
minepded.gov.cm,gov.cm,200,10 webmail.minepded.gov.cm.
minesec.gov.cm,gov.cm,200,10 mail.minesec.gov.cm.
minesup.gov.cm,gov.cm,301,10 mail.minesup.gov.cm.
minfi.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 mail.minfi.gov.cm.
minfof.gov.cm,gov.cm,301,none
minfopra.gov.cm,gov.cm,301,10 mail.minfopra.gov.cm.
minhdu.gov.cm,gov.cm,Operation timed out after 3001 milliseconds with 0 bytes received,10 minhdu.gov.cm.
minjec.gov.cm,gov.cm,200,10 mail.minjec.gov.cm.
minmidt.gov.cm,gov.cm,Failed to connect to minmidt.gov.cm port 443 after 2872 ms: Could not connect to server,none
minpostel.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 exch2010.minpostel.gov.cm.
minproff.gov.cm,gov.cm,Operation timed out after 3002 milliseconds with 0 bytes received,none
minresi.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 mail.minresi.gov.cm.
mintoul.gov.cm,gov.cm,SSL certificate problem: certificate has expired,10 mail.mintoul.gov.cm.
pcavi.mincom.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
perso.minpostel.gov.cm,gov.cm,Could not resolve host: perso.minpostel.gov.cm,none
phd.census.minesup.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,dig error
pop.minac.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'pop.minac.gov.cm',dig error
portail.mintoul.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
portailaigles.gov.cm,gov.cm,Operation timed out after 3000 milliseconds with 0 bytes received,none
postal.mincom.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
recrutement-special-2000minesup.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,10 wum.spm.gov.cm.
rh.minesec.gov.cm,gov.cm,Operation timed out after 3000 milliseconds with 0 bytes received,none
servicepublic.gov.cm,gov.cm,200,none
services.minesec.gov.cm,gov.cm,Operation timed out after 3000 milliseconds with 0 bytes received,none
smartcampus.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
smtp.minac.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'smtp.minac.gov.cm',10 165.210.33.60.minac.gov.cm.; 10 mail.minac.gov.cm.
solde.minepat.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
spm.gov.cm,gov.cm,200,10 wum.spm.gov.cm.
storage.mincom.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,none
support.aigles.gov.cm,gov.cm,Could not resolve host: support.aigles.gov.cm,none
support.gov.cm,gov.cm,Could not resolve host: support.gov.cm,none
svrmail.aigles.gov.cm,gov.cm,Could not resolve host: svrmail.aigles.gov.cm,none
sygerme.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,none
systra.gov.cm,gov.cm,SSL certificate problem: unable to get local issuer certificate,none
video-gec-divcoop.mindef.gov.cm,gov.cm,302,none
visio.minepat.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
visio.minfopra.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'visio.minfopra.gov.cm',none
webmail.cnc.gov.cm,gov.cm,500,dig error
webmail.minepded.gov.cm,gov.cm,503,none
webmin.mail.mindef.gov.cm,gov.cm,200,none
workspace.minfopra.gov.cm,gov.cm,SSL certificate problem: certificate has expired,none
wum.spm.gov.cm,gov.cm,SSL: no alternative certificate subject name matches target hostname 'wum.spm.gov.cm',none
www.abs-cameroon.minepded.gov.cm,gov.cm,Could not resolve host: www.abs-cameroon.minepded.gov.cm,none
www.apvcameroun.gov.cm,gov.cm,200,none
www.cnc.gov.cm,gov.cm,301,10 mail.cnc.gov.cm.
www.conafe.gov.cm,gov.cm,200,10 mail.conafe.gov.cm.
www.ecommerce.gov.cm,gov.cm,SSL certificate problem: certificate has expired,10 ecommerce.gov.cm.
www.eiforces.gov.cm,gov.cm,SSL certificate problem: certificate has expired,none
www.mail.mincom.gov.cm,gov.cm,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
www.mail.minddevel.gov.cm,gov.cm,Could not resolve host: www.mail.minddevel.gov.cm,none
www.mail.spm.gov.cm,gov.cm,SSL certificate problem: self-signed certificate,none
www.meteocameroon.gov.cm,gov.cm,Operation timed out after 3002 milliseconds with 0 bytes received,5 mx1.hostinger.com.; 10 mx2.hostinger.com.
www.minac.gov.cm,gov.cm,301,10 165.210.33.60.minac.gov.cm.; 10 mail.minac.gov.cm.
www.minat.gov.cm,gov.cm,Connection timed out after 3000 milliseconds,none
www.mincom.gov.cm,gov.cm,SSL certificate problem: certificate has expired,10 mail.mincom.gov.cm.
www.mincommerce.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
www.mindcaf.gov.cm,gov.cm,Operation timed out after 3002 milliseconds with 0 bytes received,none
www.minddevel.gov.cm,gov.cm,200,10 mail.minddevel.gov.cm.
www.mindef.gov.cm,gov.cm,301,10 mail.mindef.gov.cm.
www.minee.gov.cm,gov.cm,Failed to connect to www.minee.gov.cm port 443 after 2741 ms: Could not connect to server,none
www.minefop.gov.cm,gov.cm,Connection timed out after 3002 milliseconds,none
www.minepat.gov.cm,gov.cm,301,10 mail.minepat.gov.cm.
www.minesec.gov.cm,gov.cm,200,none
www.minesup.gov.cm,gov.cm,200,10 mail.minesup.gov.cm.
www.minfi.gov.cm,gov.cm,Connection timed out after 3000 milliseconds,10 mail.minfi.gov.cm.
www.minfof.gov.cm,gov.cm,200,none
www.minfopra.gov.cm,gov.cm,301,10 mail.minfopra.gov.cm.
www.minhdu.gov.cm,gov.cm,200,10 minhdu.gov.cm.
www.minjec.gov.cm,gov.cm,200,10 mail.minjec.gov.cm.
www.minmidt.gov.cm,gov.cm,Connection timed out after 3000 milliseconds,none
www.minpostel.gov.cm,gov.cm,301,none
www.minproff.gov.cm,gov.cm,Could not resolve host: www.minproff.gov.cm,none
www.minresi.gov.cm,gov.cm,Connection timed out after 3001 milliseconds,10 mail.minresi.gov.cm.
www.mintoul.gov.cm,gov.cm,SSL certificate problem: certificate has expired,10 mail.mintoul.gov.cm.
www.recrutement-special-2000minesup.gov.cm,gov.cm,Could not resolve host: www.recrutement-special-2000minesup.gov.cm,10 wum.spm.gov.cm.
www.spm.gov.cm,gov.cm,200,none
www.supportaigles.gov.cm,gov.cm,Could not resolve host: www.supportaigles.gov.cm,none
www.sygerme.gov.cm,gov.cm,Failed to connect to www.sygerme.gov.cm port 443 after 2336 ms: Could not connect to server,none
www.systra.gov.cm,gov.cm,SSL certificate problem: unable to get local issuer certificate,none
www.wum.spm.gov.cm,gov.cm,Could not resolve host: www.wum.spm.gov.cm,none
