subdomain,http_status
api.numerique.gouv.cd,"Could not resolve host: api.numerique.gouv.cd"
administration.lemba.gouv.cd,"Could not resolve host: administration.lemba.gouv.cd"
affaires-coutumieres.gouv.cd,"403"
app.minfin.gouv.cd,"Could not resolve host: app.minfin.gouv.cd"
are.gouv.cd,"200"
back.evisa.gouv.cd,"Could not resolve host: back.evisa.gouv.cd"
autodiscover.plan.gouv.cd,"Could not resolve host: autodiscover.plan.gouv.cd"
communication.gouv.cd,"200"
autodiscover.minfin.gouv.cd,"Could not resolve host: autodiscover.minfin.gouv.cd"
common.dgi.gouv.cd,"Could not resolve host: common.dgi.gouv.cd"
cpanel.douane.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'cpanel.douane.gouv.cd'"
autodiscover.jeunesse-inc.gouv.cd,"Could not resolve host: autodiscover.jeunesse-inc.gouv.cd"
cpanel.finances.gouv.cd,"Could not resolve host: cpanel.finances.gouv.cd"
cpanel.fonctionpublique.gouv.cd,"Could not resolve host: cpanel.fonctionpublique.gouv.cd"
barumbu.gouv.cd,"Could not resolve host: barumbu.gouv.cd"
cooperation.gouv.cd,"Could not resolve host: cooperation.gouv.cd"
cpanel.igf.gouv.cd,"Could not resolve host: cpanel.igf.gouv.cd"
cpanel.cadastre.gouv.cd,"Could not resolve host: cpanel.cadastre.gouv.cd"
autodiscover.minptntic.gouv.cd,"Could not resolve host: autodiscover.minptntic.gouv.cd"
cpanel.affaires-foncieres.gouv.cd,"Could not resolve host: cpanel.affaires-foncieres.gouv.cd"
autodiscover.affaires-coutumieres.gouv.cd,"400"
aniciis.sante.gouv.cd,"Could not resolve host: aniciis.sante.gouv.cd"
autodiscover.minetatminider.gouv.cd,"Could not resolve host: autodiscover.minetatminider.gouv.cd"
annuaire.medd.gouv.cd,"Could not resolve host: annuaire.medd.gouv.cd"
cadastre.gouv.cd,"Could not resolve host: cadastre.gouv.cd"
cpanel.lemba.gouv.cd,"Could not resolve host: cpanel.lemba.gouv.cd"
cpanel.jeunesse-inc.gouv.cd,"Could not resolve host: cpanel.jeunesse-inc.gouv.cd"
autodiscover.mindecentralisation-ri.gouv.cd,"Could not resolve host: autodiscover.mindecentralisation-ri.gouv.cd"
autodiscover.sgicr.gouv.cd,"Could not resolve host: autodiscover.sgicr.gouv.cd"
autodiscover.finances.gouv.cd,"Failed to connect to autodiscover.finances.gouv.cd port 443 after 192 ms: Could not connect to server"
cpanel.communication.gouv.cd,"200"
autodiscover.cadastre.gouv.cd,"Could not resolve host: autodiscover.cadastre.gouv.cd"
chrono.minesu.gouv.cd,"Could not resolve host: chrono.minesu.gouv.cd"
cpanel.itpr.gouv.cd,"Could not resolve host: cpanel.itpr.gouv.cd"
autodiscover.vc.gouv.cd,"Could not resolve host: autodiscover.vc.gouv.cd"
cpanel.energie.gouv.cd,"200"
carstu.mindecentralisation-ri.gouv.cd,"Could not resolve host: carstu.mindecentralisation-ri.gouv.cd"
cpanel.logirad.gouv.cd,"Could not resolve host: cpanel.logirad.gouv.cd"
affaires-foncieres.gouv.cd,"302"
cpanel.maniema.gouv.cd,"Could not resolve host: cpanel.maniema.gouv.cd"
cpanel.affaires-coutumieres.gouv.cd,"200"
cpanel.minfin.gouv.cd,"Could not resolve host: cpanel.minfin.gouv.cd"
autodiscover.tourisme.gouv.cd,"500"
cpanel.minetatminider.gouv.cd,"Could not resolve host: cpanel.minetatminider.gouv.cd"
autodiscover.ptntic.gouv.cd,"500"
cpanel.plan-dcre.gouv.cd,"Could not resolve host: cpanel.plan-dcre.gouv.cd"
cpanel.ptntic.kongocentral.gouv.cd,"Could not resolve host: cpanel.ptntic.kongocentral.gouv.cd"
app.minesu.gouv.cd,"Could not resolve host: app.minesu.gouv.cd"
cpanel.interieur.gouv.cd,"Could not resolve host: cpanel.interieur.gouv.cd"
cpanel.tourisme.gouv.cd,"Could not resolve host: cpanel.tourisme.gouv.cd"
cpanel.sgicr.gouv.cd,"Could not resolve host: cpanel.sgicr.gouv.cd"
cpanel.nordubangi.gouv.cd,"SSL certificate problem: certificate has expired"
cpanel.minptntic.gouv.cd,"Could not resolve host: cpanel.minptntic.gouv.cd"
cpcalendars.affaires-foncieres.gouv.cd,"Could not resolve host: cpcalendars.affaires-foncieres.gouv.cd"
