subdomain,http_status,mx
archive.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
baccarat-online.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
cpanel.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
cpcalendars.gouvernement.cg,401,none
cpcontacts.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
gouvernement.cg,Resolving timed out after 3001 milliseconds,0 mail.gouvernement.cg.
mail.gouvernement.cg,301,none
sitenconstruction.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
test.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
test2.gouvernement.cg,Resolving timed out after 3001 milliseconds,none
webdisk.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
webmail.gouvernement.cg,Resolving timed out after 3001 milliseconds,none
www.archive.gouvernement.cg,Resolving timed out after 3001 milliseconds,dig error
www.baccarat-online.gouvernement.cg,Resolving timed out after 3001 milliseconds,dig error
www.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
www.mail.gouvernement.cg,Resolving timed out after 3002 milliseconds,dig error
www.sitenconstruction.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
www.test.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
www.test2.gouvernement.cg,Resolving timed out after 3000 milliseconds,dig error
www.webmail.gouvernement.cg,Resolving timed out after 3000 milliseconds,none
