type,label,website,hostname,level
government_agency,Colombian Civil Aviation Authority,http://www.aerocivil.gov.co,aerocivil.gov.co,
government_agency,Q120061989,https://ainteractivo.net/cedaesite/,ainteractivo.net,central-1
government_agency,Embassy of Italy in Colombia,https://ambbogota.esteri.it,ambbogota.esteri.it,central
government_agency,National Hydrocarbons Agency,http://www.anh.gov.co,anh.gov.co,
government_agency,National Infrastructure Agency,https://www.ani.gov.co/,ani.gov.co,
government_agency,General Archive of the Nation of Colombia,http://www.archivogeneral.gov.co,archivogeneral.gov.co,
government_agency,Office of the Auditor General of Colombia,http://www.auditoria.gov.co,auditoria.gov.co,
government_agency,Bancóldex,http://www.bancoldex.com/,bancoldex.com,
government_agency,Banco de la República,https://www.banrep.gov.co,banrep.gov.co,
government_agency,National Library of Colombia,https://bibliotecanacional.gov.co/,bibliotecanacional.gov.co,
government_agency,"Embassy of Austria, Bogotá",https://www.bmeia.gv.at/oeb-bogota/,bmeia.gv.at,central
government_agency,"Embassy of Turkey, Bogotá",https://bogota-be.mfa.gov.tr,bogota-be.mfa.gov.tr,central
government_agency,"Embassy of Germany, Bogotá",https://bogota.diplo.de,bogota.diplo.de,central
government_agency,embassy of Portugal in Colombia,https://bogota.embaixadaportugal.mne.gov.pt,bogota.embaixadaportugal.mne.gov.pt,central
government_agency,"Embassy of Brazil, Bogotá",http://bogota.itamaraty.gov.br,bogota.itamaraty.gov.br,central
government_agency,embassy of Romania in Colombia,http://bogota.mae.ro,bogota.mae.ro,central
government_agency,"Embassy of Hungary, Bogotá",https://bogota.mfa.gov.hu/,bogota.mfa.gov.hu,central
government_agency,"Embassy of Lebanon, Bogotá",http://bogota.mfa.gov.lb,bogota.mfa.gov.lb,central
government_agency,Chamber of Representatives of Colombia,https://www.camara.gov.co/,camara.gov.co,central
government_agency,"Embassy of Canada, Bogotá",https://www.canadainternational.gc.ca/colombia-colombie,canadainternational.gc.ca,central
government_agency,Ministry of Foreign Affairs of the Republic of Colombia,http://www.cancilleria.gov.co/,cancilleria.gov.co,central
ministry,Ministry of Foreign Affairs of the Republic of Colombia,http://www.cancilleria.gov.co/,cancilleria.gov.co,
government_agency,Cámara de Comercio de Santiago de Cali,https://www.ccc.org.co/,ccc.org.co,
government_agency,Cámara de Comercio de Cúcuta,https://www.cccucuta.org.co/,cccucuta.org.co,
government_agency,Colombian Space Commission,https://cce.igac.gov.co/,cce.igac.gov.co,
government_agency,National Center for Historical Memory,http://www.centrodememoriahistorica.gov.co/,centrodememoriahistorica.gov.co,
government_agency,embassy of Chile in Colombia,https://chile.gob.cl/colombia/,chile.gob.cl,central
government_agency,National Electoral Council of Colombia,http://www.cne.gov.co,cne.gov.co,central
government_agency,"Embassy of France, Bogotá",https://co.ambafrance.org/,co.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Bogotá",http://co.china-embassy.org,co.china-embassy.org,central
government_agency,"Embassy of the United States, Bogotá",https://co.usembassy.gov/,co.usembassy.gov,central
government_agency,Coldeportes,http://www.coldeportes.gov.co/,coldeportes.gov.co,
government_agency,"Embassy of Belgium, Bogotá",https://colombia.diplomatie.belgium.be,colombia.diplomatie.belgium.be,central
government_agency,"Embassy of Japan, Bogotá",https://www.colombia.emb-japan.go.jp,colombia.emb-japan.go.jp,central
government_agency,embassy of Australia in Colombia,https://colombia.embassy.gov.au/,colombia.embassy.gov.au,central
government_agency,embassy of Belarus in Colombia,https://colombia.mfa.gov.by,colombia.mfa.gov.by,central
government_agency,embassy of Iran in Colombia,https://colombia.mfa.gov.ir/,colombia.mfa.gov.ir,central
government_agency,embassy of Russia in Colombia,https://colombia.mid.ru,colombia.mid.ru,central
government_agency,embassy of Denmark in Colombia,https://colombia.um.dk/,colombia.um.dk,central
government_agency,Colpensiones,https://www.colpensiones.gov.co/,colpensiones.gov.co,
parliament,City council of Barranquilla,http://www.concejodebarranquilla.gov.co/,concejodebarranquilla.gov.co,local
supreme_court,City council of Barranquilla,http://www.concejodebarranquilla.gov.co/,concejodebarranquilla.gov.co,local
government_agency,Q124800472,https://www.concejodebello.gov.co/web/,concejodebello.gov.co,
parliament,Bogotá city council,http://concejodebogota.gov.co/,concejodebogota.gov.co,central-1
supreme_court,Bogotá city council,http://concejodebogota.gov.co/,concejodebogota.gov.co,central-1
supreme_court,city council of Cali,http://www.concejodecali.gov.co/,concejodecali.gov.co,local
parliament,city council of Cali,http://www.concejodecali.gov.co/,concejodecali.gov.co,local
supreme_court,district council of Cartagena de Indias,http://concejodecartagena.com/concejo/,concejodecartagena.com,local
parliament,district council of Cartagena de Indias,http://concejodecartagena.com/concejo/,concejodecartagena.com,local
supreme_court,city council of Medellín,http://www.concejodemedellin.gov.co,concejodemedellin.gov.co,local
parliament,city council of Medellín,http://www.concejodemedellin.gov.co,concejodemedellin.gov.co,local
