type,label,website,hostname,level
university,Saint Martin University,http://190.254.23.166/index.php,190.254.23.166,university
government_agency,Q120061989,https://ainteractivo.net/cedaesite/,ainteractivo.net,central-1
university,Institución Universitaria Americana,https://americana.edu.co/barranquilla,americana.edu.co,university
university,National University of Colombia at Arauca,http://www.arauca.unal.edu.co,arauca.unal.edu.co,university
university,Corporación Escuela de Artes y Letras,https://www.artesyletras.edu.co/,artesyletras.edu.co,university
university,Autonomous University of Manizales,http://www.autonoma.edu.co,autonoma.edu.co,university
government_agency,Bancóldex,http://www.bancoldex.com/,bancoldex.com,
university,Bellas Artes Institución Universitaria del Valle,https://bellasartes.edu.co,bellasartes.edu.co,university
university,Fundación Universitaria Bellas Artes,https://bellasartesmed.edu.co/,bellasartesmed.edu.co,university
government_agency,"Embassy of Germany, Bogotá",https://bogota.diplo.de,bogota.diplo.de,central
government_agency,embassy of Romania in Colombia,http://bogota.mae.ro,bogota.mae.ro,central
government_agency,"Embassy of Hungary, Bogotá",https://bogota.mfa.gov.hu/,bogota.mfa.gov.hu,central
university,Universidad Nacional de Colombia. Sede Caribe,http://www.caribe.unal.edu.co/,caribe.unal.edu.co,university
government_agency,Cámara de Comercio de Santiago de Cali,https://www.ccc.org.co/,ccc.org.co,
government_agency,Cámara de Comercio de Cúcuta,https://www.cccucuta.org.co/,cccucuta.org.co,
university,Corporación Universitaria del Caribe,https://cecar.edu.co/,cecar.edu.co,university
university,CES University,http://www.ces.edu.co/,ces.edu.co,university
university,Colegio de Estudios Superiores de Administración,http://www.cesa.edu.co/,cesa.edu.co,university
university,Corporación de Educación Tecnológica Colsubsidio EADS,https://cetcolsubsidio.edu.co/,cetcolsubsidio.edu.co,university
government_agency,"Embassy of France, Bogotá",https://co.ambafrance.org/,co.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Bogotá",http://co.china-embassy.org,co.china-embassy.org,central
government_agency,"Embassy of the United States, Bogotá",https://co.usembassy.gov/,co.usembassy.gov,central
government_agency,embassy of Russia in Colombia,https://colombia.mid.ru,colombia.mid.ru,central
government_agency,embassy of Denmark in Colombia,https://colombia.um.dk/,colombia.um.dk,central
supreme_court,district council of Cartagena de Indias,http://concejodecartagena.com/concejo/,concejodecartagena.com,local
parliament,district council of Cartagena de Indias,http://concejodecartagena.com/concejo/,concejodecartagena.com,local
university,Fundación Centro Universitario de Bienestar Rural,http://www.cubr.edu.co/,cubr.edu.co,university
university,Universidad de la Costa,https://www.cuc.edu.co/,cuc.edu.co,university
university,Corporación Unificada Nacional de Educación Superior,https://cun.edu.co/,cun.edu.co,university
university,Institución Universitaria EAM,http://www.eam.edu.co,eam.edu.co,university
university,Institución Universitaria Politécnico Grancolombiano,https://editorial.poligran.edu.co,editorial.poligran.edu.co,university
government_agency,Q100879971,https://www.educacionbogota.edu.co/,educacionbogota.edu.co,
government_agency,Delegation of the European Union to Colombia,https://eeas.europa.eu/delegations/colombia_en,eeas.europa.eu,
government_agency,embassy of Bolivia in Colombia,https://embajadaboliviacolombia.org,embajadaboliviacolombia.org,central
government_agency,embassy of Honduras in Colombia,https://www.embajadadehonduras.org.co,embajadadehonduras.org.co,central
university,Institución Universitaria Escuela Nacional del Deporte,https://www.endeporte.edu.co/,endeporte.edu.co,university
university,Institución Universitaria Escuela Nacional del Deporte,http://www.endeporte.edu.co/,endeporte.edu.co,university
university,High School of Public Administration of Colombia. (ESAP),http://www.esap.edu.co,esap.edu.co,university
government_agency,Nazareth piarist province,https://www.escolapios.org.co,escolapios.org.co,
constitutional_court,Nazareth piarist province,https://www.escolapios.org.co,escolapios.org.co,
university,Escuela de Arte Eladio Vélez,http://www.escuelaeladiovelez.edu.co/,escuelaeladiovelez.edu.co,university
university,Escuela Colombiana de Ingeniería,https://www.escuelaing.edu.co/es/,escuelaing.edu.co,university
university,Escuela Naval de Cadetes “Almirante Padilla”,https://www.escuelanaval.edu.co,escuelanaval.edu.co,university
university,José María Córdova Military Academy,http://www.esmic.edu.co/esmic,esmic.edu.co,university
university,Superior Academy of Arts of Bogotá,http://fasab.udistrital.edu.co:8080/,fasab.udistrital.edu.co,university
university,FESC University,http://www.fesc.edu.co,fesc.edu.co,university
government_agency,embassy of Finland in Colombia,https://finlandabroad.fi/web/col,finlandabroad.fi,central
university,Tecnológica FITEC,http://www.fitec.edu.co/,fitec.edu.co,university
university,Maria Cano University Foundation,http://www.fumc.edu.co/,fumc.edu.co,university
university,Luis Amigó Catholic University,http://www.funlam.edu.co/,funlam.edu.co,university
government_agency,Alexander von Humboldt Biological Resources Research Institute,http://www.humboldt.org.co/,humboldt.org.co,
university,Universidad Icesi,http://www.icesi.edu.co,icesi.edu.co,university
university,IDEAS University,http://www.ideas.edu.co/,ideas.edu.co,university
university,National University of Colombia at Leticia,http://www.imani.unal.edu.co,imani.unal.edu.co,university
government_agency,"Marine and Coastal Research Institute ""José Benito Vives de Andreis""",http://www.invemar.org.co/,invemar.org.co,
university,Institución Universitaria ITM,http://www.itm.edu.co/,itm.edu.co,university
university,Q29052717,http://www.itsa.edu.co/,itsa.edu.co,university
university,CESMAG University,http://www.iucesmag.edu.co/,iucesmag.edu.co,university
university,Q136006357,https://www.javerianacali.edu.co/,javerianacali.edu.co,university
university,Fundación Universitaria Juan de Castellanos,http://www.jdc.edu.co/,jdc.edu.co,university
government_agency,jesuit province of Colombia,https://jesuitas.co/,jesuitas.co,
constitutional_court,jesuit province of Colombia,https://jesuitas.co/,jesuitas.co,
university,"La Salle University, Colombia",https://www.lasalle.edu.co,lasalle.edu.co,university
university,National University of Colombia at Manizales,http://www.manizales.unal.edu.co/,manizales.unal.edu.co,university
university,National University of Colombia at Medellín,http://medellin.unal.edu.co,medellin.unal.edu.co,university
government_agency,"Embassy of the United Arab Emirates, Bogota",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=5974c9cb-157a-4353-b9b5-a0e3ee49b8ef,mofaic.gov.ae,central
government_agency,"Embassy of the Czech Republic, Bogotá",https://www.mzv.cz/bogota,mzv.cz,central
government_agency,"Embassy of the Netherlands, Bogotá",https://www.nederlandwereldwijd.nl/landen/colombia/over-ons/ambassade-in-bogota,nederlandwereldwijd.nl,central
government_agency,Embassy of Norway in Colombia,https://www.norway.no/colombia,norway.no,central
government_agency,Apostolic Nunciature to Colombia,http://nunciatura.org.co/,nunciatura.org.co,central
university,National University of Colombia at Palmira,http://www.palmira.unal.edu.co,palmira.unal.edu.co,university
university,University Institution Pascual Bravo,http://www.pascualbravo.edu.co/,pascualbravo.edu.co,university
university,National Pedagogic University,http://www.pedagogica.edu.co/,pedagogica.edu.co,university
university,Institución Universitaria Politécnico Grancolombiano,http://www.poli.edu.co/idi,poli.edu.co,university
university,Institución Universitaria Politécnico Grancolombiano,http://www.poli.edu.co/editorial,poli.edu.co,university
university,Institución Universitaria Politécnico Grancolombiano,http://www.poli.edu.co,poli.edu.co,university
university,Universidad Dirección Nacional de Escuelas y Educación Policial DIEPO,https://policia.edu.co/,policia.edu.co,university
government_agency,ProColombia,http://www.procolombia.co/,procolombia.co,
university,Q136307540,https://sanagustin.edu.co,sanagustin.edu.co,university
government_agency,Secretaría de Educación de Soacha,https://www.soachaeducativa.edu.co,soachaeducativa.edu.co,
university,Autonomous University of Colombia,https://soyautonoma.com/,soyautonoma.com,university
government_agency,"Embassy of Sweden, Bogota",https://www.swedenabroad.se/bogota,swedenabroad.se,central
university,Tecnológico de Antioquia,http://www.tdea.edu.co,tdea.edu.co,university
university,Comfenalco Technological University Foundation,http://www.tecnologicocomfenalco.edu.co/,tecnologicocomfenalco.edu.co,university
university,Universidad Nacional de Colombia sede Tumaco,http://www.tumaco-pacifico.unal.edu.co/,tumaco-pacifico.unal.edu.co,university
university,Universidad Autónoma del Caribe,https://www.uac.edu.co/,uac.edu.co,university
university,Universidad Autónoma Indígena Intercultural,https://uaiinpebi-cric.edu.co/,uaiinpebi-cric.edu.co,university
university,University of America,http://www.uamerica.edu.co/,uamerica.edu.co,university
university,Universidad Antonio Nariño,https://www.uan.edu.co/,uan.edu.co,university
university,Corporación Colegiatura Autónoma del Norte,https://uanorte.edu.co/web/,uanorte.edu.co,university
university,University of Caldas,http://www.ucaldas.edu.co,ucaldas.edu.co,university
university,Catholic University of Colombia,http://www.ucatolica.edu.co/easyWeb/,ucatolica.edu.co,university
university,Universidad Cooperativa de Colombia,http://www.ucc.edu.co,ucc.edu.co,university
university,Central University,http://www.ucentral.edu.co/,ucentral.edu.co,university
university,Central University of Valle del Cauca,https://www.uceva.edu.co/,uceva.edu.co,university
university,Catholic University of Manizales,http://www.ucm.edu.co,ucm.edu.co,university
university,Universidad Católica de Oriente,http://www.uco.edu.co/,uco.edu.co,university
university,Fundación Universitaria Compensar,https://www.ucompensar.edu.co,ucompensar.edu.co,university
university,Universidad Católica de Pereira,http://www.ucp.edu.co,ucp.edu.co,university
university,University of Cundinamarca,http://www.ucundinamarca.edu.co/,ucundinamarca.edu.co,university
university,University of Applied and Environmental Sciences,http://www.udca.edu.co,udca.edu.co,university
university,University of Antioquia,https://www.udea.edu.co/,udea.edu.co,university
university,University of Nariño,http://www.udenar.edu.co,udenar.edu.co,university
university,University of Santander,http://www.udes.edu.co,udes.edu.co,university
university,Universitaria de Investigación y Desarrollo,http://www.udi.edu.co,udi.edu.co,university
university,District University of Bogotá,http://www.udistrital.edu.co,udistrital.edu.co,university
university,University of the Amazoneishon,https://www.udla.edu.co/v10/,udla.edu.co,university
university,Universidad Externado de Colombia,http://www.uexternado.edu.co,uexternado.edu.co,university
university,Francisco de Paula Santander University,http://www.ufps.edu.co,ufps.edu.co,university
university,La Gran Colombia University,https://www.ugc.edu.co,ugc.edu.co,university
university,Industrial University of Santander,http://www.uis.edu.co/,uis.edu.co,university
university,Los Libertadores University Foundation,https://www.ulibertadores.edu.co/,ulibertadores.edu.co,university
