hostname,score,sources,label,level
justica.gov.cv,8,wikidata;wikidata,Ministry of Justice of Cape Verde,central
mai.gov.cv,8,wikidata;wikidata,Ministry of Internal Affairs,central
mesci.gov.cv,8,wikidata;wikidata,"Ministry of Higher Education, Science and Innovation",central
parlamento.cv,8,wikidata;wikidata,National Assembly of Cape Verde,central
ine.cv,7,wikidata;wikidata;wikidata,National Statistics Institute,central
dgesc.gov.cv,5,wikidata,Direcção Geral de Ensino Superior Ciencia,
insp.gov.cv,5,wikidata,Instituto Nacional de Saúde Pública,
minsaude.gov.cv,5,wikidata,Ministério da Saúde,
arme.cv,4,wikidata,Q136356251,
arquivonacional.cv,4,wikidata,Institute of National Archives of Cabo Verde,
bcv.cv,4,wikidata,Bank of Cape Verde,
cv.usembassy.gov,4,wikidata,"Embassy of the United States, Praia",central
iefp.cv,4,wikidata,Institute of Employment and Professional Training (Cape Verde),
stj.cv,4,wikidata,Cabo Verde. Supremo Tribunal de Justiça,
capeverde.mid.ru,3,wikidata,Embassy of Russia in Cape Verde,central
cv.ambafrance.org,3,wikidata,"Embassy of France, Praia",central
cv.chineseembassy.org,3,wikidata,"Embassy of the People's Republic of China, Praia",central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Cabo Verde,
praia.mae.lu,3,wikidata,embassy of Luxembourg in Cape Verde,central
