subdomain,http_status,mx
api.governo.cv,Could not resolve host: api.governo.cv,none
boletimoficial.governo.cv,Could not resolve host: boletimoficial.governo.cv,dig error
cpanel.governo.cv,Could not resolve host: cpanel.governo.cv,none
cpcalendars.governo.cv,Could not resolve host: cpcalendars.governo.cv,none
cpcontacts.governo.cv,Could not resolve host: cpcontacts.governo.cv,none
governo.cv,301,none
inae.governo.cv,Could not resolve host: inae.governo.cv,none
mail.governo.cv,Could not resolve host: mail.governo.cv,none
min-financas.governo.cv,Could not resolve host: min-financas.governo.cv,none
mne.governo.cv,Could not resolve host: mne.governo.cv,none
pemsmaa.governo.cv,SSL certificate problem: self-signed certificate in certificate chain,none
portais.governo.cv,Could not resolve host: portais.governo.cv,dig error
webdisk.governo.cv,Could not resolve host: webdisk.governo.cv,none
webmail.governo.cv,Could not resolve host: webmail.governo.cv,none
www.governo.cv,200,dig error
www.pemsmaa.governo.cv,Could not resolve host: www.pemsmaa.governo.cv,none
