hostname,score,sources,label,level,http_status,mx
centroamericaribeschp.com,6,wikidata;wikidata,Piarist province Central America- Caribbean,,400,none
jesuitascam.org,6,wikidata;wikidata,Jesuit Province of Central America,,200,10 mx.zoho.com.; 50 mx3.zoho.com.; 20 mx2.zoho.com.
procomer.com,6,wikidata;wikidata,Costa Rican Foreign Trade Promoter,,200,0 procomer-com.mail.protection.outlook.com.
ane.cr,4,wikidata,Agencia Nacional de Empleo,,200,1 mail2.ane.cr.; 0 mail1.ane.cr.
bccr.fi.cr,4,wikidata,Central Bank of Costa Rica,,404,10 bccr-fi-cr.mail.protection.outlook.com.
comisionunesco.cr,4,wikidata,Costa Rica National Commission for Cooperation with UNESCO,,301,0 comisionunesco-cr.mail.protection.outlook.com.; 20 ms59819022.msv1.invalid.outlook.com.
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, San Jose",central,IOException: HTTP/1.1 header parser received no bytes,20 smartmail2.fednet.gov.ae.; 10 smartmail1.fednet.gov.ae.
sen.inec.cr,4,wikidata,Sistema Estadístico Nacional,,200,none
ccecr.aecid.es,3,wikidata,Q141100276,,200,none
costarica.mid.ru,3,wikidata,embassy of Russia in Costa Rica,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cr.ambafrance.org,3,wikidata,"Embassy of France, San José",central,301,none
cr.chineseembassy.org,3,wikidata,"Embassy of the People's Republic of China, San José",central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching cr.chineseembassy.org found.,none
eeas.europa.eu,3,wikidata,Delegation of the European Union to Costa Rica,,200,10 mxb-00338601.gslb.pphosted.com.; 10 mxa-00338601.gslb.pphosted.com.
embocr.com,3,wikidata,embassy of Bolivia in Costa Rica,central,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,none
san-jose.diplo.de,3,wikidata,"Embassy of Germany, San José",central,200,10 mx2.bund.de.; 10 mx1.bund.de.
san-jose.embassy.qa,3,wikidata,embassy of Qatar in Costa Rica,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
