subdomain,mx
access.recope.go.cr,none
acosta.go.cr,0 acosta-go-cr.mail.protection.outlook.com.
activesync.recope.go.cr,none
adel.municanas.go.cr,none
admin.cne.go.cr,none
admin.inec.go.cr,none
admin.muni-carta.go.cr,dig error
admin.senasa.go.cr,none
agenciavirtual.cnfl.go.cr,none
agenda-azul.go.cr,none
agf.presidencia.go.cr,none
ambiente.go.cr,5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
ampoweb.hacienda.go.cr,none
antispam.meic.go.cr,none
app.meic.go.cr,none
app.sfe.go.cr,none
app.sinirube.go.cr,none
apps.aresep.go.cr,none
apps.comex.go.cr,none
apps.conavi.go.cr,none
apps.da.go.cr,none
apps.icafe.go.cr,10 telemaco.interamerica.net.
apps.icd.go.cr,dig error
apps.jps.go.cr,none
apps01n.ministeriodesalud.go.cr,none
appsweb.mopt.go.cr,none
appt.conavi.go.cr,none
aresep.go.cr,5 aresep-go-cr.mail.protection.outlook.com.
asamblea.go.cr,0 asamblea-go-cr.mail.protection.outlook.com.
atenasmuni.go.cr,0 atenasmuni-go-cr.mail.protection.outlook.com.
audiovideo.recope.go.cr,none
auth.procomer.go.cr,none
autodiscover.911.go.cr,none
autodiscover.aya.go.cr,none
autodiscover.comex.go.cr,none
autodiscover.correos.go.cr,none
autodiscover.costaricapropone.go.cr,none
autodiscover.ctp.go.cr,none
autodiscover.flores.go.cr,none
autodiscover.fonafifo.go.cr,none
autodiscover.ice.go.cr,none
autodiscover.ict.go.cr,none
autodiscover.ifam.go.cr,none
autodiscover.imas.go.cr,none
autodiscover.incop.go.cr,none
autodiscover.inder.go.cr,none
autodiscover.japdeva.go.cr,none
autodiscover.meic.go.cr,none
autodiscover.mh.hacienda.go.cr,none
autodiscover.micit.go.cr,none
autodiscover.munialajuela.go.cr,none
autodiscover.munialajuelita.go.cr,none
autodiscover.munileco.go.cr,none
autodiscover.net.incop.go.cr,none
autodiscover.netcor.correos.go.cr,none
autodiscover.procomer.go.cr,none
autodiscover.recope.go.cr,none
autodiscover.rnp.go.cr,none
autodiscover.senasa.go.cr,none
autodiscover.sfe.go.cr,none
autodiscover.sinac.go.cr,none
autodiscover.sinirube.go.cr,none
av.aya.go.cr,none
av.hacienda.go.cr,none
av.recope.go.cr,none
av.senasa.go.cr,none
aya-vsrv-cas1.intranet.aya.go.cr,none
aya-vsrv-cas2.intranet.aya.go.cr,none
aya-vsrv-mbxa.intranet.aya.go.cr,none
aya-vsrv-mbxb.intranet.aya.go.cr,none
aya.go.cr,10 aya-go-cr-1.fortimailcloud.com.; 10 aya-go-cr-2.fortimailcloud.com.
babilonia.ifam.go.cr,none
bagaces.go.cr,0 bagaces-go-cr.mail.protection.outlook.com.
be.fondospinn.go.cr,none
belen.go.cr,none
bibliotecaeca-intra.mac.go.cr,none
bibliotecaeca.mac.go.cr,none
blog.hacienda.go.cr,none
boruka1.ida.go.cr,none
bus.controlpas.go.cr,none
callcenter1311.go.cr,none
casapres.go.cr,none
catalogo.tramites.go.cr,none
cdn.cuentasatelitecultura.go.cr,none
ceci.go.cr,none
celac2015.go.cr,none
cenarec.go.cr,none
centrodecine.go.cr,none
cgr.go.cr,none
cgrw01.cgr.go.cr,none
cilindros.ice.go.cr,none
ciudadgobierno.go.cr,1 _dc-mx.15ee87135522.ciudadgobierno.go.cr.
clais.heredia.go.cr,none
cne.go.cr,none
cnfl.go.cr,0 cnfl-go-cr.mail.protection.outlook.com.; 10 inbound-smtp.us-east-1.amazonaws.com.
cnm.go.cr,none
cnp.go.cr,none
cnrv.go.cr,none
codexdigital.meic.go.cr,none
colorado.go.cr,none
comex.go.cr,none
comitecultura.municanas.go.cr,none
comitedeportes.municanas.go.cr,none
comitedeportes.muniliberia.go.cr,none
comprobanteselectronicos.go.cr,none
conamaj.go.cr,none
conapam.go.cr,none
concursos.aresep.go.cr,none
confluencias.go.cr,none
connections.conavi.go.cr,none
consulta.tse.go.cr,none
consultaindigena.go.cr,none
consultas.moravia.go.cr,none
contraloria.conape.go.cr,none
contraloria.inder.go.cr,none
contribuimos.go.cr,none
controlpas.go.cr,none
controlprevio.meic.go.cr,none
correo.aresep.go.cr,none
correo.bomberos.go.cr,none
correo.cgr.go.cr,none
correo.cnfl.go.cr,none
correo.conavi.go.cr,none
correo.ctp.go.cr,none
correo.gobierno-digital.go.cr,none
correo.hacienda.go.cr,none
correo.ida.go.cr,none
correo.imas.go.cr,none
correo.inder.go.cr,none
correo.jps.go.cr,none
correo.mcj.go.cr,none
correo.mopt.go.cr,none
correo.munialajuela.go.cr,none
correo.muniesparza.go.cr,none
correo.pgr.go.cr,none
correo.poder-judicial.go.cr,none
correo.recope.go.cr,none
correo1.ice.go.cr,none
correointerno.aya.go.cr,none
correos.go.cr,0 correos-go-cr.mail.protection.outlook.com.
correspondencia.mgp.go.cr,none
costaricacinefest.go.cr,none
costaricapropone.go.cr,0 costaricapropone.go.cr.
cpac.go.cr,none
cpanel.atenasmuni.go.cr,none
cpanel.bagaces.go.cr,none
cpanel.cenarec.go.cr,none
cpanel.cnrv.go.cr,none
cpanel.colorado.go.cr,none
cpanel.comex.go.cr,none
cpanel.consultaindigena.go.cr,none
cpanel.costaricapropone.go.cr,none
