type,label,website,hostname,level
government_agency,embassy of Italy in Costa Rica,https://ambsanjose.esteri.it,ambsanjose.esteri.it,central
government_agency,Agencia Nacional de Empleo,https://www.ane.cr,ane.cr,
government_agency,National Archives of Costa Rica,https://www.archivonacional.go.cr,archivonacional.go.cr,
supreme_court,Legislative Assembly of Costa Rica,http://www.asamblea.go.cr,asamblea.go.cr,central
parliament,Legislative Assembly of Costa Rica,http://www.asamblea.go.cr,asamblea.go.cr,central
government_agency,Central Bank of Costa Rica,http://www.bccr.fi.cr/,bccr.fi.cr,
government_agency,embassy of Canada in Costa Rica,https://www.canadainternational.gc.ca/costa_rica,canadainternational.gc.ca,central
government_agency,Q141100276,https://ccecr.aecid.es/,ccecr.aecid.es,
constitutional_court,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,embassy of Chile in Costa Rica,https://chile.gob.cl/costa-rica/,chile.gob.cl,central
government_agency,Q5779158,https://www.cne.go.cr/,cne.go.cr,
ministry,Ministry of Foreign Trade of Costa Rica,http://www.comex.go.cr/,comex.go.cr,central
government_agency,Ministry of Foreign Trade of Costa Rica,http://www.comex.go.cr/,comex.go.cr,central
government_agency,Costa Rica National Commission for Cooperation with UNESCO,https://www.comisionunesco.cr/,comisionunesco.cr,
government_agency,embassy of Colombia in Costa Rica,https://costarica.embajada.gov.co,costarica.embajada.gov.co,central
government_agency,embassy of Russia in Costa Rica,https://costarica.mid.ru,costarica.mid.ru,central
government_agency,"Embassy of France, San José",https://cr.ambafrance.org,cr.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, San José",http://cr.china-embassy.gov.cn/,cr.china-embassy.gov.cn,central
government_agency,"Embassy of the People's Republic of China, San José",http://cr.chineseembassy.org,cr.chineseembassy.org,central
government_agency,embassy of Japan in Costa Rica,https://www.cr.emb-japan.go.jp,cr.emb-japan.go.jp,central
government_agency,embassy of the United States in Costa Rica,https://cr.usembassy.gov,cr.usembassy.gov,central
government_agency,Municipal Council of Desamparados,https://www.desamparados.go.cr,desamparados.go.cr,
parliament,Municipal Council of Desamparados,https://www.desamparados.go.cr,desamparados.go.cr,
government_agency,Dirección General de Aviación Civil,http://www.dgac.go.cr/index.html,dgac.go.cr,
