type,label,website,hostname,level
government_agency,ACDAM,http://www.acdam.cu/,acdam.cu,
government_agency,Cuban News Agency,https://www.acn.cu,acn.cu,
government_agency,Environmental Agency of Cuba,http://www.ama.cu/,ama.cu,
government_agency,embassy of Italy in Cuba,https://amblavana.esteri.it,amblavana.esteri.it,central
government_agency,National Archive of the Republic of Cuba,http://www.arnac.cu/,arnac.cu,
government_agency,Embassy of the Bahamas in Cuba,https://bahamasembcuba.com/,bahamasembcuba.com,central
government_agency,Central Bank of Cuba,http://www.bc.gob.cu/,bc.gob.cu,
government_agency,embassy of Austria in Cuba,https://www.bmeia.gv.at/oeb-havanna/,bmeia.gv.at,central
government_agency,National Library José Martí,http://www.bnjm.cu/,bnjm.cu,
government_agency,Embassy of Canada in Cuba,https://www.canadainternational.gc.ca/cuba,canadainternational.gc.ca,central
government_agency,Centro de Desarrollo de la Montaña,https://www.cdm.gtmo.inf.cu,cdm.gtmo.inf.cu,
government_agency,CECMED,https://www.cecmed.cu/,cecmed.cu,
government_agency,Centro de Isotopos,https://www.centis.cu,centis.cu,
constitutional_court,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,embassy of Chile in Cuba,https://chile.gob.cl/cuba,chile.gob.cl,central
ministry,"Ministry of Science, Technology and the Environment of Cuba",https://www.citma.gob.cu/,citma.gob.cu,
government_agency,"Ministry of Science, Technology and the Environment of Cuba",https://www.citma.gob.cu/,citma.gob.cu,central
government_agency,Centro de Ingeniería Ambiental de Camagüey,https://www.citmacam.gob.cu/ciac/,citmacam.gob.cu,
government_agency,Centro de Investigaciones y Servicios Ambientales Ecovida,http://www.citmapri.gob.cu/?page_id=1474,citmapri.gob.cu,
government_agency,"Embassy of France, Havana",https://cu.ambafrance.org,cu.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Havana",http://cu.chineseembassy.org/chn/,cu.chineseembassy.org,central
government_agency,"Embassy of Japan, Havana",https://www.cu.emb-japan.go.jp,cu.emb-japan.go.jp,central
government_agency,"Embassy of the United States, Havana",https://cu.usembassy.gov/,cu.usembassy.gov,central
government_agency,"Embassy of Belgium, Havana",https://cuba.diplomatie.belgium.be,cuba.diplomatie.belgium.be,central
government_agency,embassy of Colombia in Cuba,https://cuba.embajada.gov.co,cuba.embajada.gov.co,central
government_agency,embassy of Belarus in Cuba,http://cuba.mfa.gov.by,cuba.mfa.gov.by,central
government_agency,"Embassy of Ukraine, Havana",http://cuba.mfa.gov.ua/,cuba.mfa.gov.ua,central
government_agency,"Embassy of Russia, Havana",https://cuba.mid.ru,cuba.mid.ru,central
government_agency,Q116796288,http://www.cubagob.cu/otras_info/minfar/defcivil/defensa_civil.htm,cubagob.cu,
parliament,Council of State of Cuba,http://www.cubagob.cu/,cubagob.cu,
ministry,Ministry of Foreign Affairs,https://cubaminrex.cu/,cubaminrex.cu,
government_agency,Ministry of Foreign Affairs,https://cubaminrex.cu/,cubaminrex.cu,central
government_agency,Province of Hispania of the Order of Preachers,https://www.dominicoshispania.org/,dominicoshispania.org,
constitutional_court,Province of Hispania of the Order of Preachers,https://www.dominicoshispania.org/,dominicoshispania.org,
government_agency,embassy of Argentina in Cuba,https://ecuba.cancilleria.gob.ar/,ecuba.cancilleria.gob.ar,central
government_agency,embassy of Switzerland in Cuba,https://www.eda.admin.ch/havana,eda.admin.ch,central
government_agency,Delegation of the European Union to Cuba,https://eeas.europa.eu/delegations/cuba_en,eeas.europa.eu,
government_agency,National Electoral Council of Cuba,https://www.eleccionesencuba.cu/,eleccionesencuba.cu,central
government_agency,Embassy of El Salvador in Havana,http://embajadacuba.rree.gob.sv/,embajadacuba.rree.gob.sv,central
government_agency,embassy of Mexico in Cuba,https://embamex.sre.gob.mx/cuba,embamex.sre.gob.mx,central
government_agency,embassy of Peru in Cuba,http://embaperu.org/,embaperu.org,central
government_agency,"Embassy of India, Havana",https://eoi.gov.in/havana/,eoi.gov.in,central
government_agency,embassy of Spain in Cuba,http://www.exteriores.gob.es/Embajadas/LAHABANA,exteriores.gob.es,central
government_agency,Institute of Tropical Geography,http://www.geotech.cu,geotech.cu,
government_agency,embassy of Ghana in Cuba,https://www.ghanaembassy-cuba.com/,ghanaembassy-cuba.com,central
government_agency,embassy of Peru in Cuba,https://www.gob.pe/embajada-del-peru-en-cuba,gob.pe,central
government_agency,"Embassy of Poland, Havana",https://www.gov.pl/web/kuba,gov.pl,central
government_agency,British Embassy Havana,https://www.gov.uk/world/organisations/british-embassy-havana,gov.uk,central
government_agency,"Embassy of Turkey, Havana",https://havana-be.mfa.gov.tr,havana-be.mfa.gov.tr,central
government_agency,embassy of Portugal in Cuba,https://havana.embaixadaportugal.mne.gov.pt,havana.embaixadaportugal.mne.gov.pt,central
government_agency,embassy of Mongolia in Cuba,http://www.havana.embassy.mn,havana.embassy.mn,central
government_agency,embassy of Brazil in Cuba,http://havana.itamaraty.gov.br,havana.itamaraty.gov.br,central
government_agency,embassy of Romania in Cuba,http://havana.mae.ro,havana.mae.ro,central
government_agency,embassy of Serbia in Cuba,http://havana.mfa.gov.rs,havana.mfa.gov.rs,central
government_agency,"Embassy of Germany, Havana",https://havanna.diplo.de/,havanna.diplo.de,central
government_agency,"Hungarian embassy, Havana",https://havanna.mfa.gov.hu/,havanna.mfa.gov.hu,central
government_agency,National Institute of Hydraulic Resources of Cuba,https://www.hidro.gob.cu/,hidro.gob.cu,central
government_agency,Cuban Institute of Radio and Television,https://www.icrt.gob.cu/,icrt.gob.cu,
government_agency,Institute of Information and Social Communication,http://www.ics.gob.cu/,ics.gob.cu,
government_agency,Instituto de Investigaciones Agro-Forestales,https://www.inaf.co.cu,inaf.co.cu,
government_agency,National Institute of Agricultural Sciences,http://www.inca.edu.cu/,inca.edu.cu,
government_agency,Instituto Nacional de Metrologia,https://www.inimet.cu,inimet.cu,
government_agency,"embassy of Indonesia, Havana",https://kemlu.go.id/havana,kemlu.go.id,central
government_agency,"Embassy of Malaysia, Havana",https://www.kln.gov.my/web/cub_havana/home,kln.gov.my,central
government_agency,Committees for the Defense of the Revolution,http://www.lacalle.cubaweb.cu/,lacalle.cubaweb.cu,
ministry,Ministry of Economy and Planning of Cuba,https://www.mep.gob.cu/,mep.gob.cu,
government_agency,Ministry of Economy and Planning of Cuba,https://www.mep.gob.cu/,mep.gob.cu,central
ministry,Ministry of Higher Education of Cuba,http://www.mes.edu.cu/,mes.edu.cu,
government_agency,Ministry of Higher Education of Cuba,http://www.mes.edu.cu/,mes.edu.cu,central
