type,label,website,hostname,level
government_agency,ACDAM,http://www.acdam.cu/,acdam.cu,
government_agency,Cuban News Agency,https://www.acn.cu,acn.cu,
government_agency,Environmental Agency of Cuba,http://www.ama.cu/,ama.cu,
government_agency,National Archive of the Republic of Cuba,http://www.arnac.cu/,arnac.cu,
government_agency,Embassy of the Bahamas in Cuba,https://bahamasembcuba.com/,bahamasembcuba.com,central
government_agency,National Library José Martí,http://www.bnjm.cu/,bnjm.cu,
government_agency,Centro de Desarrollo de la Montaña,https://www.cdm.gtmo.inf.cu,cdm.gtmo.inf.cu,
government_agency,CECMED,https://www.cecmed.cu/,cecmed.cu,
government_agency,Centro de Isotopos,https://www.centis.cu,centis.cu,
constitutional_court,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,Piarist province Central America- Caribbean,https://www.centroamericaribeschp.com,centroamericaribeschp.com,
government_agency,"Embassy of France, Havana",https://cu.ambafrance.org,cu.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Havana",http://cu.chineseembassy.org/chn/,cu.chineseembassy.org,central
government_agency,"Embassy of the United States, Havana",https://cu.usembassy.gov/,cu.usembassy.gov,central
government_agency,"Embassy of Russia, Havana",https://cuba.mid.ru,cuba.mid.ru,central
government_agency,Q116796288,http://www.cubagob.cu/otras_info/minfar/defcivil/defensa_civil.htm,cubagob.cu,
parliament,Council of State of Cuba,http://www.cubagob.cu/,cubagob.cu,
ministry,Ministry of Foreign Affairs,https://cubaminrex.cu/,cubaminrex.cu,
government_agency,Ministry of Foreign Affairs,https://cubaminrex.cu/,cubaminrex.cu,central
university,Universidad de la Isla de la Juventud,http://www.cuij.edu.cu/,cuij.edu.cu,university
university,Polytechnic José Antonio Echeverría,http://cujae.edu.cu/,cujae.edu.cu,university
government_agency,Province of Hispania of the Order of Preachers,https://www.dominicoshispania.org/,dominicoshispania.org,
constitutional_court,Province of Hispania of the Order of Preachers,https://www.dominicoshispania.org/,dominicoshispania.org,
university,University of Pedagogical Sciences,https://www.ecured.cu/Universidad_de_Ciencias_Pedag%C3%B3gicas_%22H%C3%A9ctor_Alfredo_Pineda_Zald%C3%ADvar%22,ecured.cu,university
government_agency,Delegation of the European Union to Cuba,https://eeas.europa.eu/delegations/cuba_en,eeas.europa.eu,
government_agency,National Electoral Council of Cuba,https://www.eleccionesencuba.cu/,eleccionesencuba.cu,central
government_agency,embassy of Peru in Cuba,http://embaperu.org/,embaperu.org,central
government_agency,Institute of Tropical Geography,http://www.geotech.cu,geotech.cu,
government_agency,embassy of Ghana in Cuba,https://www.ghanaembassy-cuba.com/,ghanaembassy-cuba.com,central
government_agency,embassy of Mongolia in Cuba,http://www.havana.embassy.mn,havana.embassy.mn,central
government_agency,embassy of Romania in Cuba,http://havana.mae.ro,havana.mae.ro,central
government_agency,"Embassy of Germany, Havana",https://havanna.diplo.de/,havanna.diplo.de,central
government_agency,"Hungarian embassy, Havana",https://havanna.mfa.gov.hu/,havanna.mfa.gov.hu,central
government_agency,Instituto de Investigaciones Agro-Forestales,https://www.inaf.co.cu,inaf.co.cu,
government_agency,National Institute of Agricultural Sciences,http://www.inca.edu.cu/,inca.edu.cu,
government_agency,Instituto Nacional de Metrologia,https://www.inimet.cu,inimet.cu,
university,Universidad de Ciencias Médicas de Santiago de Cuba,https://instituciones.sld.cu/feumed/,instituciones.sld.cu,university
university,Universidad de Ciencias Médicas de la Habana,https://instituciones.sld.cu/ucmh/,instituciones.sld.cu,university
university,Universidad de Ciencias Médicas de Villa Clara,https://instituciones.sld.cu/ucmvc/,instituciones.sld.cu,university
university,Instituto Superior de Arte,http://www.isa.cult.cu/,isa.cult.cu,university
government_agency,Committees for the Defense of the Revolution,http://www.lacalle.cubaweb.cu/,lacalle.cubaweb.cu,
ministry,Ministry of Higher Education of Cuba,http://www.mes.edu.cu/,mes.edu.cu,
government_agency,Ministry of Higher Education of Cuba,http://www.mes.edu.cu/,mes.edu.cu,central
government_agency,embassy of Bulgaria in Cuba,https://www.mfa.bg/embassies/kuba,mfa.bg,central
government_agency,embassy of Greece in Cuba,https://www.mfa.gr/missionsabroad/cuba.html,mfa.gr,central
government_agency,"Embassy of the United Arab Emirates, Havana",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=9bfadc2f-4b91-4988-9bfd-1ab816ad9d95,mofaic.gov.ae,central
government_agency,embassy of the Czech republic in Cuba,https://www.mzv.cz/havana,mzv.cz,central
government_agency,embassy of Slovakia in Cuba,https://www.mzv.sk/web/havana,mzv.sk,central
government_agency,embassy of Namibia in Cuba,http://www.namembassycuba.co.cu,namembassycuba.co.cu,central
government_agency,"Embassy of Norway, Havana",https://www.norway.no/es/cuba/,norway.no,central
university,University of Camagüey,https://www.reduc.edu.cu/,reduc.edu.cu,university
university,Universidad de Camagüey,https://www.reduc.edu.cu/,reduc.edu.cu,university
ministry,Ministry of Public Health,https://www.sld.cu/,sld.cu,
government_agency,Ministry of Public Health,https://www.sld.cu/,sld.cu,central
government_agency,National Center for Protected Areas,http://www.snap.cu/,snap.cu,
government_agency,embassy of Sri Lanka in Cuba,http://srilankaembcuba.org/,srilankaembcuba.org,central
university,Universidad de Sancti Spíritus José Martí Pérez,http://www.suss.co.cu,suss.co.cu,university
government_agency,"Embassy of Sweden, Havana",https://www.swedenabroad.se/sv/utlandsmyndigheter/kuba-havanna/,swedenabroad.se,central
university,University of Cienfuegos,http://www.ucf.edu.cu/,ucf.edu.cu,university
university,University of Information Science,http://www.uci.cu/,uci.cu,university
university,"University ""Marta Abreu"" of Las Villas",http://www.uclv.edu.cu/,uclv.edu.cu,university
university,"University of Medical Sciences, Cienfuegos",http://www.ucm.cfg.sld.cu/,ucm.cfg.sld.cu,university
university,University of Granma,https://www.udg.co.cu,udg.co.cu,university
university,University of Havana,https://www.uh.cu,uh.cu,university
university,University of Holguín,https://www.uho.edu.cu/,uho.edu.cu,university
university,University of Holguín,http://www.uho.edu.cu/,uho.edu.cu,university
university,University of Las Tunas,http://www.ult.edu.cu/,ult.edu.cu,university
university,University of Matanzas,http://www.umcc.cu/,umcc.cu,university
university,Agricultural University of Havana,https://www.unah.edu.cu/,unah.edu.cu,university
university,University of Ciego de Ávila,http://www.unica.cu/,unica.cu,university
university,University of Santiago de Cuba,https://www.uo.edu.cu/,uo.edu.cu,university
university,University of Pinar del Río Hermanos Saíz Montes de Oca,http://www.upr.edu.cu/,upr.edu.cu,university
university,Universidad Teológica Pentecostal de Cuba,https://www.utpccuba.org/,utpccuba.org,university
