type,label,website,hostname
ministry,Deputy Ministry of Culture of Cyprus,http://www.wikidata.org/.well-known/genid/60eedd5d8f3a3c9c0f9d627bb7859c46,wikidata.org
parliament,House of Representatives,https://www.parliament.cy/,parliament.cy
constitutional_court,Communal Council of Ayia Varvara,http://ayiavarvara.com/genikes-plirofories/kinotiko-symvoulio/,ayiavarvara.com
constitutional_court,Communal Council of Ayia Marinoudha,http://www.ayiamarinouda.org/el/koinotiko-symvoylio,ayiamarinouda.org
constitutional_court,Communal Council of Ayia Marina Chrysochous,http://agiamarinachrysochous.org/koinotiko-symvoulio/,agiamarinachrysochous.org
constitutional_court,Communal Council of Lysos,http://www.lyssos.org.cy/gr/general-info-tgr/council-tgr,lyssos.org.cy
constitutional_court,Communal Council of Argaka,http://www.argaka.org/gr/council-tgr,argaka.org
constitutional_court,Communal Council of Anarita,http://www.anarita.org/gr/council-tgr,anarita.org
constitutional_court,Communal Council of Drinia,http://www.drinia.org/gr/council-tgr,drinia.org
constitutional_court,Communal Council of Drymou,http://www.drymou.org/gr/council-tgr,drymou.org
constitutional_court,Communal Council of Kritou Terra,http://www.kritouterra.org/gr/council-tgr,kritouterra.org
constitutional_court,Communal Council of Amargeti,http://amargeti.org/koinotiko-symvoulio/,amargeti.org
constitutional_court,Communal Council of Kouklia,http://www.kouklia.org.cy/communitycouncil.shtm,kouklia.org.cy
constitutional_court,Communal Council of Kissonerga,http://www.kissonerga.org/gr/council-tgr,kissonerga.org
constitutional_court,Communal Council of Letymvou,http://www.letymbou.org/gr/council-tgr,letymbou.org
constitutional_court,Communal Council of Pelendri,http://www.pelendri.org/council.shtm,pelendri.org
constitutional_court,Communal Council of Goudi,http://www.goudi.org/communityCouncil.shtm,goudi.org
constitutional_court,Communal Council of Lempa,https://www.lemba.org.cy/%ce%ba%ce%bf%ce%b9%ce%bd%ce%bf%cf%84%ce%b9%ce%ba%cf%8c-%cf%83%cf%85%ce%bc%ce%b2%ce%bf%cf%8d%ce%bb%ce%b9%ce%bf/,lemba.org.cy
constitutional_court,Custodian of the Holy Land,http://www.custodia.org/,custodia.org
supreme_court,House of Representatives,https://www.parliament.cy/,parliament.cy
