subdomain,parent_domain,http_status,mx
1420.gov.cy,gov.cy,Could not resolve host: 1420.gov.cy,none
25years.cysec.gov.cy,gov.cy,SSL: no alternative certificate subject name matches target hostname '25years.cysec.gov.cy',none
50chrona.moec.gov.cy,gov.cy,403,none
acc-api.eudcc.gov.cy,gov.cy,Could not resolve host: acc-api.eudcc.gov.cy,none
acc-helpdesk.eudcc.gov.cy,gov.cy,Could not resolve host: acc-helpdesk.eudcc.gov.cy,none
acc-issuer.eudcc.gov.cy,gov.cy,Could not resolve host: acc-issuer.eudcc.gov.cy,none
acc-issuersrv.eudcc.gov.cy,gov.cy,Could not resolve host: acc-issuersrv.eudcc.gov.cy,none
acc-verifier.eudcc.gov.cy,gov.cy,Could not resolve host: acc-verifier.eudcc.gov.cy,none
acc-wiki.eudcc.gov.cy,gov.cy,Could not resolve host: acc-wiki.eudcc.gov.cy,none
acc.eudcc.gov.cy,gov.cy,Could not resolve host: acc.eudcc.gov.cy,none
access.gdw.intranet.gov.cy,gov.cy,Could not resolve host: access.gdw.intranet.gov.cy,none
admin.cystat.gov.cy,gov.cy,403,none
adminbiblio.cypruslibrary.gov.cy,gov.cy,200,none
adminopac.cypruslibrary.gov.cy,gov.cy,200,none
airquality.dli.mlsi.gov.cy,gov.cy,200,none
airquality.gov.cy,gov.cy,200,none
anticorruption.pias.gov.cy,gov.cy,302,none
anticorruption.police.gov.cy,gov.cy,Could not resolve host: anticorruption.police.gov.cy,none
apcy01.eessi.mlsi.gov.cy,gov.cy,Could not resolve host: apcy01.eessi.mlsi.gov.cy,none
api-eid.crmd.moi.gov.cy,gov.cy,SSL certificate problem: certificate has expired,none
api-oers.elections.moi.gov.cy,gov.cy,200,none
api.elections.moi.gov.cy,gov.cy,404,none
apis.police.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
app.nba.gov.cy,gov.cy,Operation timed out after 3002 milliseconds with 0 bytes received,none
app.podilato.gov.cy,gov.cy,Could not resolve host: app.podilato.gov.cy,none
appcy01.eessi-test.mlsi.gov.cy,gov.cy,Could not resolve host: appcy01.eessi-test.mlsi.gov.cy,none
apply.podilato.gov.cy,gov.cy,SSL: no alternative certificate subject name matches target hostname 'apply.podilato.gov.cy',none
applyamea.podilato.gov.cy,gov.cy,Could not resolve host: applyamea.podilato.gov.cy,none
aps.crmd.moi.gov.cy,gov.cy,SSL certificate problem: self-signed certificate,none
aps.elections.moi.gov.cy,gov.cy,302,none
aps.moi.gov.cy,gov.cy,200,none
aps.ymape.moi.gov.cy,gov.cy,SSL certificate problem: self-signed certificate,none
arcgis.da.mcw.gov.cy,gov.cy,Could not resolve host: arcgis.da.mcw.gov.cy,none
autodiscover.capo.gov.cy,gov.cy,200,none
autodiscover.cpa.gov.cy,gov.cy,Could not resolve host: autodiscover.cpa.gov.cy,none
autodiscover.filmingincyprus.gov.cy,gov.cy,Could not resolve host: autodiscover.filmingincyprus.gov.cy,none
beta.cystat.gov.cy,gov.cy,302,none
betterregulation.gov.cy,gov.cy,301,none
borgway.cysec.gov.cy,gov.cy,403,none
borgwayacc.cysec.gov.cy,gov.cy,403,none
businessincyprus.gov.cy,gov.cy,301,none
capo.gov.cy,gov.cy,Could not resolve host: capo.gov.cy,none
case.gdw.intranet.gov.cy,gov.cy,Could not resolve host: case.gdw.intranet.gov.cy,none
census.cystat.mof.gov.cy,gov.cy,200,none
census2021.cystat.gov.cy,gov.cy,Could not resolve host: census2021.cystat.gov.cy,none
centralbank.gov.cy,gov.cy,Could not resolve host: centralbank.gov.cy,none
cge.cyprus.gov.cy,gov.cy,200,none
chiefscientist.gov.cy,gov.cy,200,none
child-birth-grant.staging.service.gov.cy,gov.cy,Could not resolve host: child-birth-grant.staging.service.gov.cy,none
cixp-mgt.mfa.gov.cy,gov.cy,Could not resolve host: cixp-mgt.mfa.gov.cy,none
cixp-staging-mgt.mfa.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
cixp-staging.mfa.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
cixp.mfa.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
cmp.cpa.gov.cy,gov.cy,Connection timed out after 3001 milliseconds,none
collab-edge.nba.gov.cy,gov.cy,Could not resolve host: collab-edge.nba.gov.cy,none
companies.gov.cy,gov.cy,Could not resolve host: companies.gov.cy,none
conf.moec.gov.cy,gov.cy,403,none
connect2cy.gov.cy,gov.cy,301,none
coronavirus.mlsi.gov.cy,gov.cy,404,none
covid19.moh.intranet.gov.cy,gov.cy,Could not resolve host: covid19.moh.intranet.gov.cy,none
cpa.gov.cy,gov.cy,SSL: no alternative certificate subject name matches target hostname 'cpa.gov.cy',none
cpanel.50chrona.moec.gov.cy,gov.cy,Could not resolve host: cpanel.50chrona.moec.gov.cy,none
cpanel.chiefscientist.gov.cy,gov.cy,Could not resolve host: cpanel.chiefscientist.gov.cy,none
cpanel.conf.moec.gov.cy,gov.cy,Could not resolve host: cpanel.conf.moec.gov.cy,none
cpanel.diorisimoi.moec.gov.cy,gov.cy,Could not resolve host: cpanel.diorisimoi.moec.gov.cy,none
cpanel.epd.moec.gov.cy,gov.cy,Could not resolve host: cpanel.epd.moec.gov.cy,none
cpanel.filmingincyprus.gov.cy,gov.cy,Could not resolve host: cpanel.filmingincyprus.gov.cy,none
cpanel.geonoma.gov.cy,gov.cy,Resolving timed out after 3001 milliseconds,none
cpanel.kypros1821.gov.cy,gov.cy,Resolving timed out after 3001 milliseconds,none
cpanel.kyvernitikes.moec.gov.cy,gov.cy,Could not resolve host: cpanel.kyvernitikes.moec.gov.cy,none
cpanel.mdet.moec.gov.cy,gov.cy,Could not resolve host: cpanel.mdet.moec.gov.cy,none
cpanel.mepaa.moec.gov.cy,gov.cy,Could not resolve host: cpanel.mepaa.moec.gov.cy,none
cpanel.moecsy.gov.cy,gov.cy,Could not resolve host: cpanel.moecsy.gov.cy,none
cpanel.mpeeaa.moec.gov.cy,gov.cy,Could not resolve host: cpanel.mpeeaa.moec.gov.cy,none
cpanel.nba.gov.cy,gov.cy,Could not resolve host: cpanel.nba.gov.cy,none
cpanel.nbri.gov.cy,gov.cy,Could not resolve host: cpanel.nbri.gov.cy,none
cpanel.nop.moec.gov.cy,gov.cy,Could not resolve host: cpanel.nop.moec.gov.cy,none
cpanel.panexams.moec.gov.cy,gov.cy,Could not resolve host: cpanel.panexams.moec.gov.cy,none
cpanel.responsiblegaming.gov.cy,gov.cy,Could not resolve host: cpanel.responsiblegaming.gov.cy,none
cpanel.responsiblegamingweek.gov.cy,gov.cy,Could not resolve host: cpanel.responsiblegamingweek.gov.cy,none
cpanel.safergambling.gov.cy,gov.cy,Resolving timed out after 3001 milliseconds,none
cpcalendars.50chrona.moec.gov.cy,gov.cy,Resolving timed out after 3001 milliseconds,none
cpcalendars.chiefscientist.gov.cy,gov.cy,Could not resolve host: cpcalendars.chiefscientist.gov.cy,none
cpcalendars.conf.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.conf.moec.gov.cy,none
cpcalendars.diorisimoi.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.diorisimoi.moec.gov.cy,none
cpcalendars.epd.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.epd.moec.gov.cy,none
cpcalendars.filmingincyprus.gov.cy,gov.cy,Could not resolve host: cpcalendars.filmingincyprus.gov.cy,none
cpcalendars.geonoma.gov.cy,gov.cy,Could not resolve host: cpcalendars.geonoma.gov.cy,none
cpcalendars.kypros1821.gov.cy,gov.cy,Could not resolve host: cpcalendars.kypros1821.gov.cy,none
cpcalendars.kyvernitikes.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.kyvernitikes.moec.gov.cy,none
cpcalendars.mdet.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.mdet.moec.gov.cy,none
cpcalendars.mepaa.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.mepaa.moec.gov.cy,none
cpcalendars.moecsy.gov.cy,gov.cy,Could not resolve host: cpcalendars.moecsy.gov.cy,none
cpcalendars.mpeeaa.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.mpeeaa.moec.gov.cy,none
cpcalendars.nba.gov.cy,gov.cy,Could not resolve host: cpcalendars.nba.gov.cy,none
cpcalendars.nbri.gov.cy,gov.cy,Could not resolve host: cpcalendars.nbri.gov.cy,none
cpcalendars.nop.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.nop.moec.gov.cy,none
cpcalendars.panexams.moec.gov.cy,gov.cy,Could not resolve host: cpcalendars.panexams.moec.gov.cy,none
cpcalendars.responsiblegaming.gov.cy,gov.cy,Could not resolve host: cpcalendars.responsiblegaming.gov.cy,none
cpcalendars.responsiblegamingweek.gov.cy,gov.cy,Could not resolve host: cpcalendars.responsiblegamingweek.gov.cy,none
cpcalendars.safergambling.gov.cy,gov.cy,Could not resolve host: cpcalendars.safergambling.gov.cy,none
cpcontacts.50chrona.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.50chrona.moec.gov.cy,none
cpcontacts.chiefscientist.gov.cy,gov.cy,Could not resolve host: cpcontacts.chiefscientist.gov.cy,none
cpcontacts.conf.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.conf.moec.gov.cy,none
cpcontacts.diorisimoi.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.diorisimoi.moec.gov.cy,none
cpcontacts.epd.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.epd.moec.gov.cy,none
cpcontacts.filmingincyprus.gov.cy,gov.cy,Could not resolve host: cpcontacts.filmingincyprus.gov.cy,none
cpcontacts.geonoma.gov.cy,gov.cy,Could not resolve host: cpcontacts.geonoma.gov.cy,none
cpcontacts.kypros1821.gov.cy,gov.cy,Could not resolve host: cpcontacts.kypros1821.gov.cy,none
cpcontacts.kyvernitikes.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.kyvernitikes.moec.gov.cy,none
cpcontacts.mdet.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.mdet.moec.gov.cy,none
cpcontacts.mepaa.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.mepaa.moec.gov.cy,none
cpcontacts.moecsy.gov.cy,gov.cy,Could not resolve host: cpcontacts.moecsy.gov.cy,none
cpcontacts.mpeeaa.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.mpeeaa.moec.gov.cy,none
cpcontacts.nba.gov.cy,gov.cy,Could not resolve host: cpcontacts.nba.gov.cy,none
cpcontacts.nbri.gov.cy,gov.cy,Could not resolve host: cpcontacts.nbri.gov.cy,none
cpcontacts.nop.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.nop.moec.gov.cy,none
cpcontacts.panexams.moec.gov.cy,gov.cy,Could not resolve host: cpcontacts.panexams.moec.gov.cy,none
cpcontacts.responsiblegaming.gov.cy,gov.cy,Could not resolve host: cpcontacts.responsiblegaming.gov.cy,none
cpcontacts.responsiblegamingweek.gov.cy,gov.cy,Could not resolve host: cpcontacts.responsiblegamingweek.gov.cy,none
cpcontacts.safergambling.gov.cy,gov.cy,Could not resolve host: cpcontacts.safergambling.gov.cy,none
customs.mof.gov.cy,gov.cy,Could not resolve host: customs.mof.gov.cy,none
cvts-survey.cystat.mof.gov.cy,gov.cy,Could not resolve host: cvts-survey.cystat.mof.gov.cy,none
cybercrime.police.gov.cy,gov.cy,SSL certificate problem: unable to get local issuer certificate,none
cyeures.dl.mlsi.gov.cy,gov.cy,200,none
cyineu.gov.cy,gov.cy,Could not resolve host: cyineu.gov.cy,none
cyineu.pio.gov.cy,gov.cy,Could not resolve host: cyineu.pio.gov.cy,none
cylogin.staging.service.gov.cy,gov.cy,Could not resolve host: cylogin.staging.service.gov.cy,none
cypaob.gov.cy,gov.cy,200,none
cyprusflightpass.gov.cy,gov.cy,Could not resolve host: cyprusflightpass.gov.cy,none
