hostname,score,sources,label,level
ofm.cz,7,wikidata;wikidata,Province of the Franciscan Brothers in the Czech Republic | Province of Saint Wenceslaus of the Friars Minor in Czech Republic,
vlada.cz,6,un_desa,UN/DESA national portal,
mpsv.cz,5,linkgraph,Linked from 7 public-sector domains,
congregatio-jesu.tode.cz,4,wikidata,Czech province Congregatio Jesu,
hedvicky.cz,4,wikidata,Czech Province Congregation of the Sisters of St. Hedwig,
justice.cz,4,linkgraph,Linked from 4 public-sector domains,
mdcr.cz,4,linkgraph,Linked from 4 public-sector domains,
mfcr.cz,4,linkgraph,Linked from 4 public-sector domains,
mzcr.cz,4,linkgraph,Linked from 4 public-sector domains,
oblati.cz,4,wikidata,Central European Province O. M. I.,
sdb.cz,4,wikidata,Salesian Province of Prague,
pijarzy.pl,3,wikidata,Piarist province of Poland,
