hostname,score,sources,label,level,http_status,mx
justice.cz,10,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,District Court in Teplice | District Court in Kutná Hora | District Court in Ústí nad Labem | District Court in Ostrava | District Court in Zlín | District Court in Jihlava | District Court for Prague 9 | Regional Court in Plzeň | District Court in Vsetín | District Court in Český Krumlov | District Court for Prague 6 | District Court in Příbram | District Court for Prague 1 | District Court in Hradec Králové | District Court for Prague 3 | District Court in Hodonín | District Court in Louny | District Court in Liberec | District Court Plzeň-jih | District Court in Karlovy Vary | District Court in Břeclav | District Court Plzeň-sever | District Court in Cheb | District Court in Mladá Boleslav | District Court in Kroměříž | District Court in Nymburk | District Court in Svitavy | District Court in Náchod | District Court in Znojmo | District Court in Jindřichův Hradec | District Court for Prague 10 | District Court in Litoměřice | Prague-West District Court | District Court in Frýdek-Místek | District Court in Prostějov | District Court in Olomouc | District Court in Uherské Hradiště | District Court in Most | District Court in Jablonec nad Nisou | District Court in Strakonice | District Court in Jeseník | District Court in Děčín | District Court in Prachatice | District Court in Chomutov | High Court in Olomouc | District Court in Vyškov | District Court in Bruntál | District Court in Jičín | District Court in Havlíčkův Brod | District Court in Trutnov | District Court in Žďár nad Sázavou | District Court in Tachov | Prague-East District Court | District Court in Blansko | District Court in Šumperk | Regional Court in Ostrava | District Court in Opava | District Court of Pardubice | District Court Brno-venkov | Regional Court in České Budějovice | District Court for Prague 5 | District Court for Prague 2 | District Court in Semily | High Court in Prague | District Court in Chrudim | District Court in Rokycany | Regional Court in Prague | District Court in Klatovy | District Court in Pelhřimov | District Court in Česká Lípa | Regional Court in Hradec Králové | District Court for Prague 4 | District Court in Nový Jičín | District Court in Třebíč | District Court in Domažlice | District Court in České Budějovice | Municipal Court in Prague | District Court in Rychnov nad Kněžnou | District Court in Mělník | Municipal Court in Brno | District Court in Přerov | District Court of Plzeň-City District | District Court for Prague 8 | District Court in Beroun | District Court in Kolín | District Court in Benešov | District Court in Rakovník | Regional Court in Ústí nad Labem | Regional Court in Brno | District Court in Sokolov | District Court for Prague 7 | District Court in Ústí nad Orlicí | District Court in Kladno | District Court in Karviná | District Court in Písek | District Court in Tábor,central-1,302,none
antee.cz,7,wikidata;wikidata,Vidice | Němčice,,301,20 backup.antee.cz.; 10 mail.antee.cz.
congregatio-jesu.tode.cz,7,wikidata;wikidata,Czech province Congregatio Jesu,,200,10 mail.endora.cz.
czechspace.cz,7,wikidata;wikidata,Czech Space Office,,200,100 mx20.active24.cz.; 10 mx10.active24.cz.
eagri.cz,7,wikidata;wikidata,Národní Agentura pro Zemědělský Výzkum | State Phytosanitary Administration,,302,5 smtp-mze.gov.cz.
hedvicky.cz,7,wikidata;wikidata,Czech Province Congregation of the Sisters of St. Hedwig,,301,1 wes1-mx1.wedos.net.; 1 wes1-mx2.wedos.net.
hostka.cz,7,wikidata;wikidata,Q12049095 | Hoštka,,302,10 hostka-cz.mail.protection.outlook.com.
idpk.cz,7,wikidata;wikidata,Integrated Transport of the Pilsen Region,,301,10 mxavas.forpsi.com.
idsjmk.cz,7,wikidata;wikidata,Integrated transport system of the South Moravian region,,301,10 mail.kordis-jmk.cz.
ivanovicenahane.cz,7,wikidata;wikidata,Ivanovice na Hané | Q12022068,,302,0 ivanovicenahane-cz.mail.protection.outlook.com.; 15 ivanovicenahane-cz.mail.protection.outlook.com.; 10 meu.ivanovicenahane.cz.; 20 proxy.ivanovicenahane.cz.
jaromericenr.cz,7,wikidata;wikidata,Q12049657 | Jaroměřice nad Rokytnou,,200,100 mail.jaromericenr.cz.
jevisovice.cz,7,wikidata;wikidata,Jevišovice | Q11812799,,301,20 backup.antee.cz.; 10 mail.antee.cz.
kralicenosl.cz,7,wikidata;wikidata,Kralice nad Oslavou | Q11730729,,302,none
mbudejovice.cz,7,wikidata;wikidata,Moravskobudějovický microregion | Moravské Budějovice,,405,5 mbudejovice-cz.mail.protection.outlook.com.
mzcr.cz,7,wikidata;linkgraph,Q45898143,,301,10 mzcr-cz.k-v1.mx.microsoft.
nechanicko.cz,7,wikidata;wikidata,Třesovice | Mžany,,301,20 backup.antee.cz.; 10 mail.antee.cz.
obec-lidice.cz,7,wikidata;wikidata,Lidice | Q12037054,,302,0 obeclidice-cz01b.mail.protection.outlook.com.
oblati.cz,7,wikidata;wikidata,Central European Province O. M. I.,,301,30 aspmx4.googlemail.com.; 20 alt2.aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 20 alt1.aspmx.l.google.com.; 30 aspmx3.googlemail.com.; 10 aspmx.l.google.com.
pid.cz,7,wikidata;wikidata,Q12048433,,200,0 pid-cz.mail.protection.outlook.com.
pmscr.cz,7,wikidata;wikidata,Probační a mediační služba | Q122828118,,301,none
pocernice.cz,7,wikidata;wikidata,Prague 20 | Municipal district office of Prague 20,central-1,302,50 pocernice-cz.mail.eo.outlook.com.
praha10.cz,7,wikidata;wikidata,Municipal District Office of Prague 10 | Prague 10,central-1,200,5 praha10-cz.mail.protection.outlook.com.
praha11.cz,7,wikidata;wikidata,Prague 11 municipal district office | Prague 11,central-1,301,12801 ax.virusfree.cz.; 12833 cx.spamfree.cz.; 12817 bx.virusfree.cz.; 12849 dx.spamfree.cz.
praha12.cz,7,wikidata;wikidata,Úřad městské části Praha 12 | Prague 12,central-1,301,10 ms11.mepnet.cz.; 10 ms10.mepnet.cz.
praha22.cz,7,wikidata;wikidata,Úřad městské části Praha 22 | Prague 22,central-1,302,1 ms11.mepnet.cz.; 1 ms10.mepnet.cz.
praha4.cz,7,wikidata;wikidata,Prague 4 | Prague 4 Municipal District Office,central-1,200,10 smtp.praha4.cz.; 20 ms11.mepnet.cz.; 30 ms10.mepnet.cz.
praha6.cz,7,wikidata;wikidata,Úřad městské části Praha 6 | Prague 6,central-1,200,10 smtp.google.com.
praha7.cz,7,wikidata;wikidata,Prague 7 | Úřad městské části Praha 7,central-1,301,0 praha7-cz.mail.protection.outlook.com.
psp.cz,7,wikidata;wikidata,Office of the Chamber of Deputies | Chamber of Deputies of the Parliament of the Czech Republic,central,302,10 smg2.psp.cz.; 10 smg1.psp.cz.
sdb.cz,7,wikidata;wikidata,Salesian Province of Prague,,301,10 aspmx2.googlemail.com.; 1 aspmx.l.google.com.; 10 aspmx3.googlemail.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
slusovice.cz,7,wikidata;wikidata,Slušovice | Q11812783,,301,15 mx1.avonet.cz.; 10 ms.avonet.cz.; 20 spool.avonet.cz.
stonarov.cz,7,wikidata;wikidata,Q12056464 | Stonařov,,301,0 stonarov-cz.mail.protection.outlook.com.
uradprace.cz,7,wikidata;wikidata,Úřad práce Benešov | Úřad práce Mladá Boleslav,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 uradprace-cz.f-v1.mx.microsoft.
vejprty.cz,7,wikidata;wikidata,Q12057548 | Vejprty,,301,10 mail.origine.cz.
velke-prilepy.cz,7,wikidata;wikidata,Q12036983 | Velké Přílepy,,302,20 e50f1b4725dcd295.mx1.emailprofi.seznam.cz.; 10 e50f1b4725dcd295.mx2.emailprofi.seznam.cz.
idok.info,6,wikidata;wikidata,Q134447369 | Integrated transport of the Karlovy Vary region,,301,10 mail.antee.cz.; 20 backup.antee.cz.
iom.int,6,wikidata;wikidata;wikidata,International Organization for Migration,,301,10 iom-int.mail.protection.outlook.com.
nsoud.cz,6,wikidata,Supreme Court of the Czech Republic,central,301,10 ms.justice.cz.
nssoud.cz,6,wikidata,Supreme Administrative Court of the Czech Republic,central,301,10 ms.justice.cz.
pijarzy.pl,6,wikidata;wikidata,Piarist province of Poland,,200,10 poczta.pijarzy.pl.
praha.eu,6,wikidata;wikidata;wikidata,Prague | Prague City Hall | Prague City Assembly,central-1,200,1 ms11.mepnet.cz.; 1 ms10.mepnet.cz.
roc-taiwan.org,6,wikidata;wikidata,"Taipei Economic and Cultural Office, Prague, Czech Republic",,302,none
tschechien.ahk.de,6,wikidata;wikidata,German-Czech Chamber of Industry and Commerce,,302,none
usoud.cz,6,wikidata,Constitutional Court of the Czech Republic,central,HttpConnectTimeoutException: HTTP connect timed out,10 osus2.usoud.cz.; 50 osus2.concourt.cz.; 110 bmx.cz.net.
vlada.cz,6,un_desa,UN/DESA national portal,,302,10 vlada-cz.q-v1.mx.microsoft.
mpsv.cz,5,linkgraph,Linked from 7 public-sector domains,,301,0 mpsv-cz.u-v1.mx.microsoft.
adamov.cz,4,wikidata,Adamov,,301,10 mail.adamov.cz.; 20 mx.ada-net.cz.
akreditacnikomise.cz,4,wikidata,Q8184549,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 akreditacnikomise-cz.mail.protection.outlook.com.
albrechtice-jh.cz,4,wikidata,Albrechtice v Jizerských horách,,302,10 posta.gc-system.cz.
albrechtice-nad-orlici.cz,4,wikidata,Albrechtice nad Orlicí,,301,20 backup.antee.cz.; 10 mail.antee.cz.
albrechticenadvltavou.cz,4,wikidata,Albrechtice nad Vltavou,,302,0 albrechticenadvltavou-cz.mail.protection.outlook.com.
