hostname,mentions,evidence
abvt.wsv.de,1,Amt für Binnen-Verkehrstechnik
acatech.de,1,Deutsche Akademie der Technikwissenschaften
adenauerhaus.de,1,Stiftung Bundeskanzler-Adenauer-Haus
adk.de,1,Akademie der Künste
agdd.de,1,Arbeitsgemeinschaft der Entwicklungsdienste e. V. - Förderungswerk -
agj.de,1,Arbeitsgemeinschaft für Kinder- und Jugendhilfe e. V.
aif.de,1,AIF-Allianz für Industrie und Forschung e. V.
aip.de,1,Leibniz-Institut für Astrophysik Potsdam
alliiertenmuseum.de,1,AlliiertenMuseum e. V.
antidiskriminierungsstelle.de,2,Antidiskriminierungsstelle des Bundes | Unabhängige Bundesbeauftragte für Antidiskriminierung
aok.de,11,AOK Rheinland-Pfalz/Saarland | AOK- Bundesverband | Allgemeine Ortskrankenkasse Baden-Württemberg | Allgemeine Ortskrankenkasse Bayern | Allgemeine...
apasbafa.bund.de,1,Abschlussprüferaufsichtsstelle
arbeitsagentur.de,3,Bundesagentur für Arbeit | Bundesagentur für Arbeit - Regionaldirektion Berlin Brandenburg | Bundesagentur für Arbeit - Regionaldirektion Nordrhein...
arl-net.de,1,Akademie für Raumentwicklung in der Leibniz-Gemeinschaft
arolsen-archives.org,1,International Tracing Service
ata-dag.de,1,Deutsche Atlantische Gesellschaft e. V.
atb-potsdam.de,1,Leibniz-Institut für Agrartechnik und Bioökonomie e. V.
aussiedlerbeauftragte.de,1,Beauftragter der Bundesregierung für Aussiedlerfragen und nationale Minderheiten
auswaertiges-amt.de,7,Auswärtiges Amt | Beauftragte der Bundesregierung für Fragen der Abrüstung und Rüstungskontrolle | Beauftragter der Bundesregierung für Menschenrec...
autobahn.de,1,Die Autobahn GmbH des Bundes
awi.de,1,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
awv-net.de,1,Arbeitsgemeinschaft für wirtschaftliche Verwaltung e. V.
baainbw.de,5,Wehrtechnische Dienststelle für Informationstechnologie und Elektronik | Wehrtechnische Dienststelle für Waffen und Munition | Wehrtechnische Studi...
badv.bund.de,2,Bundesamt für zentrale Dienste und offene Vermögensfragen | Bundesausgleichsamt
baf.bund.de,1,Bundesaufsichtsamt für Flugsicherung
