subdomain,parent_domain,http_status
accounts.dev.newscenter.bundesregierung.de,bundesregierung.de,SSL certificate problem: unable to get local issuer certificate
accounts.prod.newscenter.bundesregierung.de,bundesregierung.de,SSL certificate problem: unable to get local issuer certificate
akkreditierung.bundesregierung.de,bundesregierung.de,301
akkreditierung.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,403
analytics.bundesregierung.de,bundesregierung.de,403
analytics.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,403
archiv.bundesregierung.de,bundesregierung.de,SSL: no alternative certificate subject name matches target hostname 'archiv.bundesregierung.de'
aussenredaktion.bundesregierung.de,bundesregierung.de,Could not resolve host: aussenredaktion.bundesregierung.de
bildwortmarkenassistent.de.stage.bundesregierung.de,bundesregierung.de,403
bpa2011.bundesregierung.de,bundesregierung.de,Could not resolve host: bpa2011.bundesregierung.de
bpaadmin.bundesregierung.de,bundesregierung.de,403
bpaadmin.bundesregierung.de.schulung.bundesregierung.de,bundesregierung.de,403
bpaadmin.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,403
bpaq.de.prod.bundesregierung.de,bundesregierung.de,SSL: no alternative certificate subject name matches target hostname 'bpaq.de.prod.bundesregierung.de'
bpaq.de.stage.bundesregierung.de,bundesregierung.de,403
buergerdialog.gut-leben.de.schulung.bundesregierung.de,bundesregierung.de,403
buergerdialog.gut-leben.de.stage.bundesregierung.de,bundesregierung.de,403
bundeskanzler.de.schulung.bundesregierung.de,bundesregierung.de,301
bundeskanzler.de.stage.bundesregierung.de,bundesregierung.de,301
bundesregierung.de,bundesregierung.de,301
bundesregierung.de.schulung.bundesregierung.de,bundesregierung.de,301
bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,301
content-export-import.bundesregierung.de,bundesregierung.de,Could not resolve host: content-export-import.bundesregierung.de
contentportierung.bundesregierung.de,bundesregierung.de,401
contentportierung.bundesregierung.de.schulung.bundesregierung.de,bundesregierung.de,401
contentportierung.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,401
cvd.bundesregierung.de,bundesregierung.de,302
cvd.bundesregierung.de.schulung.bundesregierung.de,bundesregierung.de,302
cvd.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,302
darksite.bundeskanzler.de.stage.bundesregierung.de,bundesregierung.de,403
darksite.bundesregierung.de.stage.bundesregierung.de,bundesregierung.de,403
dev.newscenter.bundesregierung.de,bundesregierung.de,Could not resolve host: dev.newscenter.bundesregierung.de
dieglorreichen17.de.schulung.bundesregierung.de,bundesregierung.de,301
dieglorreichen17.de.stage.bundesregierung.de,bundesregierung.de,301
einbuergerung.de.schulung.bundesregierung.de,bundesregierung.de,Could not resolve host: einbuergerung.de.schulung.bundesregierung.de
einbuergerung.de.stage.bundesregierung.de,bundesregierung.de,Could not resolve host: einbuergerung.de.stage.bundesregierung.de
eu-gleichbehandlungsstelle.de.schulung.bundesregierung.de,bundesregierung.de,301
eu-gleichbehandlungsstelle.de.stage.bundesregierung.de,bundesregierung.de,301
